DATE,PRCP,TAVG
19860301,-9999.0,-5.7
19860303,-9999.0,-0.1
19860304,0.5,0.9
19911129,-9999.0,5.3
19911201,-9999.0,5.1
19911206,-9999.0,2.1
19911213,-9999.0,-2.8
19911217,-9999.0,-3.3
19911218,-9999.0,-4.5
19920122,-9999.0,-1.8
19920128,-9999.0,-2.3
19920227,-9999.0,2.2
19920411,15.0,3.4
19920412,-9999.0,4.5
19920418,-9999.0,8.7
19920421,-9999.0,10.6
19920422,-9999.0,14.4
19920423,-9999.0,17.3
19920424,-9999.0,15.3
19920428,-9999.0,19.1
19920429,0.0,20.7
19920501,0.0,14.1
19920506,-9999.0,13.0
19920718,-9999.0,24.3
19920807,-9999.0,25.1
19921124,-9999.0,15.8
19921210,-9999.0,6.6
19930313,-9999.0,3.9
19930321,-9999.0,14.4
19930323,-9999.0,18.5
19930325,-9999.0,10.9
19930422,-9999.0,8.2
19930430,-9999.0,15.8
19930501,-9999.0,12.9
19930527,-9999.0,23.2
19930614,-9999.0,20.1
19930617,-9999.0,19.5
19930714,-9999.0,17.2
19930720,-9999.0,27.9
19930722,-9999.0,22.5
19930810,-9999.0,18.8
19930813,-9999.0,21.2
19930814,-9999.0,20.6
19930820,-9999.0,20.8
19930825,-9999.0,27.5
19930829,7.9,17.5
19930902,-9999.0,17.8
19930905,-9999.0,15.9
19930913,3.0,20.6
19930921,-9999.0,16.6
19930927,-9999.0,21.2
19930928,-9999.0,17.4
19930929,-9999.0,12.8
19930930,-9999.0,11.4
19931001,-9999.0,9.9
19931002,-9999.0,11.4
19931003,0.0,14.5
19931004,-9999.0,14.5
19931006,-9999.0,15.8
19931007,-9999.0,14.7
19931008,-9999.0,15.4
19931009,0.0,16.8
19931011,-9999.0,16.5
19931012,-9999.0,15.7
19931013,-9999.0,19.5
19931014,0.0,17.0
19931015,0.0,19.1
19931016,-9999.0,20.8
19931017,-9999.0,15.9
19931018,0.0,18.8
19931019,-9999.0,11.1
19931021,0.0,12.3
19931022,-9999.0,14.5
19931026,-9999.0,14.1
19931027,-9999.0,7.6
19931028,-9999.0,5.1
19931030,0.0,4.4
19931031,0.0,7.4
19931102,-9999.0,3.3
19931103,-9999.0,3.3
19931104,-9999.0,9.3
19931105,1.0,9.1
19931107,-9999.0,11.7
19931108,-9999.0,10.4
19931110,-9999.0,8.2
19931111,-9999.0,-3.0
19931112,0.0,-5.9
19931113,0.0,-5.7
19931114,-9999.0,-0.1
19931115,-9999.0,-0.7
19931116,29.0,0.3
19931117,7.9,-1.3
19931118,-9999.0,-3.1
19931119,-9999.0,-11.1
19931120,3.0,-5.7
19931121,20.1,-3.6
19931122,0.0,-1.6
19931123,0.5,-2.4
19931124,0.0,-2.2
19931125,-9999.0,-3.6
19931126,-9999.0,-8.9
19931127,-9999.0,-7.2
19931128,0.5,-4.6
19931129,0.0,-2.7
19931130,-9999.0,-4.1
19931201,2.0,-5.3
19931202,0.0,-5.0
19931203,0.0,-1.1
19931204,0.0,-1.3
19931205,-9999.0,-7.5
19931206,0.0,-5.8
19931207,-9999.0,-1.4
19931208,-9999.0,0.2
19931209,-9999.0,-2.2
19931210,-9999.0,-0.2
19931211,-9999.0,-2.4
19931212,6.1,3.2
19931213,0.0,1.8
19931214,-9999.0,-4.8
19931215,2.0,1.6
19931216,0.0,0.7
19931217,0.0,4.4
19931218,0.0,5.2
19931219,-9999.0,-0.1
19931220,-9999.0,2.0
19931221,-9999.0,10.8
19931222,-9999.0,8.2
19931223,0.0,-0.7
19931224,0.0,-1.6
19931225,-9999.0,-0.1
19931226,-9999.0,-0.4
19931227,-9999.0,5.1
19931228,-9999.0,3.0
19931229,0.0,3.1
19931230,0.0,0.6
19931231,-9999.0,0.6
19940101,-9999.0,-3.7
19940102,-9999.0,-1.9
19940103,-9999.0,3.2
19940104,-9999.0,2.4
19940105,-9999.0,1.2
19940106,1.0,0.3
19940107,0.0,1.6
19940108,-9999.0,0.7
19940109,-9999.0,1.5
19940110,9.1,4.1
19940111,-9999.0,6.6
19940112,-9999.0,5.3
19940113,-9999.0,5.5
19940114,-9999.0,2.9
19940115,0.0,4.6
19940116,0.0,3.9
19940117,1.0,3.8
19940118,0.0,2.5
19940119,7.1,2.2
19940120,0.0,0.6
19940121,8.9,0.6
19940122,7.9,0.8
19940123,0.0,1.0
19940124,-9999.0,4.9
19940125,-9999.0,6.5
19940126,-9999.0,6.9
19940127,0.3,4.7
19940128,0.0,1.2
19940129,-9999.0,4.1
19940130,-9999.0,3.1
19940131,-9999.0,4.3
19940201,-9999.0,4.9
19940202,0.0,3.1
19940203,0.0,9.0
19940204,0.0,11.2
19940205,0.0,4.1
19940206,0.0,4.4
19940207,2.0,5.2
19940208,3.0,4.9
19940209,0.0,2.7
19940210,0.0,2.6
19940211,-9999.0,1.2
19940212,-9999.0,-1.1
19940213,1.0,-9.2
19940214,1.0,-9.9
19940215,0.0,-7.9
19940216,0.0,-7.3
19940217,0.0,-4.4
19940218,5.1,-1.5
19940219,0.0,0.4
19940220,1.0,1.7
19940221,-9999.0,2.1
19940222,-9999.0,3.8
19940223,-9999.0,0.7
19940224,-9999.0,3.7
19940225,-9999.0,7.8
19940226,-9999.0,8.9
19940227,-9999.0,4.4
19940228,-9999.0,7.3
19940301,-9999.0,12.5
19940302,-9999.0,9.7
19940303,0.0,9.1
19940304,-9999.0,8.3
19940305,-9999.0,6.9
19940306,-9999.0,7.9
19940307,-9999.0,10.4
19940308,-9999.0,10.6
19940309,-9999.0,9.4
19940310,-9999.0,6.1
19940311,0.0,7.8
19940312,-9999.0,8.1
19940313,-9999.0,5.1
19940314,-9999.0,11.5
19940315,-9999.0,13.0
19940316,-9999.0,11.2
19940317,-9999.0,11.4
19940318,2.0,8.1
19940319,0.0,7.4
19940320,0.0,11.4
19940321,0.3,10.5
19940322,0.0,7.7
19940323,1.0,4.9
19940324,0.0,8.9
19940325,0.0,14.8
19940326,0.0,17.1
19940327,-9999.0,10.3
19940328,3.0,7.1
19940329,1.0,5.8
19940330,0.0,6.7
19940331,0.0,8.9
19940401,0.0,10.7
19940402,-9999.0,12.9
19940403,0.0,11.7
19940404,1.0,8.3
19940405,-9999.0,7.2
19940406,7.1,9.6
19940407,0.0,7.4
19940408,0.0,8.8
19940409,2.0,8.1
19940410,5.1,9.2
19940411,1.0,11.3
19940412,0.5,13.9
19940413,1.0,13.1
19940414,1.0,10.7
19940415,0.0,13.3
19940416,-9999.0,14.4
19940417,-9999.0,16.2
19940418,-9999.0,15.7
19940419,-9999.0,13.2
19940420,0.0,13.7
19940421,2.0,13.9
19940422,0.0,12.0
19940423,20.1,13.7
19940424,0.8,15.7
19940425,0.0,15.9
19940426,0.3,17.0
19940427,0.0,16.4
19940428,1.0,14.9
19940429,15.0,14.7
19940430,0.5,14.2
19940501,0.0,18.8
19940502,-9999.0,15.6
19940503,-9999.0,13.0
19940504,-9999.0,10.5
19940505,-9999.0,13.6
19940506,0.0,13.0
19940507,6.1,12.8
19940508,15.0,10.9
19940509,13.0,11.8
19940510,0.0,12.3
19940511,-9999.0,14.6
19940512,-9999.0,12.8
19940513,-9999.0,17.1
19940514,0.0,18.7
19940515,-9999.0,19.7
19940516,-9999.0,20.8
19940517,0.0,24.3
19940518,-9999.0,23.9
19940519,-9999.0,20.9
19940520,0.0,20.6
19940521,-9999.0,21.4
19940522,0.0,21.8
19940523,-9999.0,23.6
19940524,-9999.0,26.1
19940525,0.0,23.8
19940526,1.0,23.7
19940527,0.0,22.2
19940528,0.5,18.2
19940529,0.0,20.2
19940530,0.0,20.1
19940531,0.0,18.1
19940601,-9999.0,16.1
19940602,-9999.0,21.1
19940603,0.0,23.2
19940604,-9999.0,24.1
19940605,-9999.0,17.2
19940606,0.0,14.6
19940607,-9999.0,14.4
19940608,0.0,17.2
19940609,20.1,19.7
19940610,0.0,17.4
19940611,2.0,17.5
19940612,-9999.0,21.2
19940613,-9999.0,19.0
19940614,4.1,18.4
19940615,0.0,17.9
19940616,0.0,20.3
19940617,-9999.0,18.4
19940618,0.0,20.3
19940619,-9999.0,21.8
19940620,-9999.0,27.1
19940621,-9999.0,22.9
19940622,1.3,21.9
19940623,-9999.0,23.9
19940624,-9999.0,23.2
19940625,-9999.0,21.6
19940626,-9999.0,20.4
19940627,0.0,23.2
19940628,-9999.0,24.5
