DATE,PRCP,TAVG
19800101,10.1,1.5
19800102,0.0,-0.8
19800103,6.7,-1.5
19800104,0.4,-9999.0
19800105,0.2,-9999.0
19800106,0.0,-9999.0
19800107,0.0,-9999.0
19800108,0.0,-9999.0
19800109,1.6,-9999.0
19800110,0.0,-9999.0
19800111,0.0,-9999.0
19800112,0.0,-9999.0
19800113,0.0,-9999.0
19800114,0.0,-9999.0
19800115,0.0,-7.0
19800116,0.0,-3.3
19800117,0.0,-9999.0
19800118,0.0,-9999.0
19800119,0.0,-9999.0
19800120,0.0,-9999.0
19800121,0.0,-3.8
19800122,0.0,-7.0
19800123,0.0,-3.8
19800124,0.0,-0.7
19800125,2.0,-0.3
19800126,0.0,-1.6
19800127,0.0,-2.7
19800128,0.0,-9999.0
19800129,0.0,-9999.0
19800130,0.0,-7.0
19800131,0.0,-9999.0
19800201,0.0,2.3
19800202,1.2,-9999.0
19800203,0.0,-2.5
19800204,0.0,0.3
19800205,0.0,-9999.0
19800206,0.0,-0.3
19800207,0.0,-9999.0
19800208,0.6,-9999.0
19800209,0.6,-9999.0
19800210,0.0,-9999.0
19800211,0.7,-9999.0
19800212,0.0,0.4
19800213,0.0,-3.8
19800214,0.0,-9999.0
19800215,0.9,-4.5
19800216,0.0,-4.7
19800217,0.0,-1.0
19800218,0.0,-2.0
19800219,0.0,-9999.0
19800220,0.0,-9999.0
19800221,0.0,-9999.0
19800222,0.0,-9999.0
19800223,0.0,-9999.0
19800224,0.0,-9999.0
19800225,0.2,-9999.0
19800226,0.0,-9999.0
19800227,1.3,-9999.0
19800228,0.6,-5.8
19800229,0.0,-5.8
19800301,0.0,-9999.0
19800302,0.0,-9999.0
19800303,0.0,-9999.0
19800304,0.0,-9999.0
19800305,0.0,-3.3
19800306,0.0,-9999.0
19800307,0.3,-9999.0
19800308,2.4,-9999.0
19800309,4.9,1.8
19800310,3.2,-9999.0
19800311,0.0,-9999.0
19800312,0.0,-3.3
19800313,3.3,-9999.0
19800314,0.3,-9999.0
19800315,0.4,-9999.0
19800316,0.0,-9999.0
19800317,0.0,-9999.0
19800318,0.0,0.0
19800319,0.9,-1.4
19800320,8.6,-9999.0
19800321,0.6,-9999.0
19800322,0.0,-9999.0
19800323,12.5,-9999.0
19800324,2.7,-0.4
19800325,4.3,-0.2
19800326,0.0,0.6
19800327,0.0,0.3
19800328,0.0,0.4
19800329,0.0,-9999.0
19800330,0.0,-9999.0
19800331,6.9,4.6
19800401,0.0,6.8
19800402,0.0,-9999.0
19800403,0.0,5.3
19800404,1.3,-9999.0
19800405,17.7,-9999.0
19800406,3.5,-9999.0
19800407,25.4,3.3
19800408,6.6,-9999.0
19800409,0.5,5.3
19800410,0.0,5.0
19800411,0.6,5.0
19800412,0.9,-9999.0
19800413,1.4,-9999.0
19800414,3.0,5.3
19800415,0.7,-9999.0
19800416,0.0,9.5
19800417,0.0,8.5
19800418,0.0,11.5
19800419,0.0,-9999.0
19800420,0.0,-9999.0
19800421,0.0,9.6
19800422,1.2,11.5
19800423,6.7,8.3
19800424,0.0,9.7
19800425,0.0,-9999.0
19800426,0.0,-9999.0
19800427,0.0,14.5
19800428,0.0,-9999.0
19800429,0.0,16.0
19800430,0.1,13.8
19800501,0.0,-9999.0
19800502,0.0,-9999.0
19800503,0.0,-9999.0
19800504,0.5,9.8
19800505,0.0,16.3
19800506,0.0,16.8
19800507,6.1,14.0
19800508,0.0,15.0
19800509,0.0,-9999.0
19800510,0.0,18.4
19800511,0.7,13.0
19800512,0.0,9.2
19800513,0.0,7.0
19800514,4.0,5.7
19800515,0.5,9.4
19800516,0.0,11.2
19800517,0.4,11.8
19800518,4.0,11.6
19800519,2.6,13.6
19800520,20.0,12.8
19800521,25.3,10.0
19800522,0.0,-9999.0
19800523,0.4,9.2
19800524,5.5,10.4
19800525,16.1,-9999.0
19800526,3.7,-9999.0
19800527,0.0,16.8
19800528,0.0,17.0
19800529,0.0,15.8
19800530,0.0,15.6
19800531,0.0,19.6
19800601,0.0,15.7
19800602,0.0,17.8
19800603,0.0,-9999.0
19800604,9.6,11.2
19800605,4.2,12.8
19800606,0.0,16.2
19800607,11.5,13.4
19800608,2.1,15.0
19800609,0.0,-9999.0
19800610,0.0,18.4
19800611,11.9,-9999.0
19800612,14.2,19.6
19800613,0.1,18.5
19800614,0.0,17.8
19800615,0.0,-9999.0
19800616,10.8,15.6
19800617,15.6,13.8
19800618,2.9,16.3
19800619,0.0,17.8
19800620,0.0,18.7
19800621,0.0,20.0
19800622,0.0,20.8
19800623,0.0,22.3
19800624,0.0,22.5
19800625,0.0,22.3
19800626,5.9,20.3
19800627,7.8,19.6
19800628,8.1,-9999.0
19800629,0.0,-9999.0
19800630,11.3,19.4
19800701,1.1,-9999.0
19800702,0.0,-9999.0
19800703,8.5,16.5
19800704,0.0,18.0
19800705,0.0,18.0
19800706,0.0,19.8
19800707,0.0,19.0
19800708,0.0,21.4
19800709,0.0,25.2
19800710,0.0,27.4
19800711,0.0,24.5
19800712,10.7,18.3
19800713,22.9,19.0
19800714,0.0,18.4
19800715,0.0,18.8
19800716,0.0,20.0
19800717,0.0,-9999.0
19800718,0.0,-9999.0
19800719,1.1,18.6
19800720,0.0,-9999.0
19800721,0.0,23.4
19800722,0.0,19.7
19800723,0.0,17.0
19800724,0.8,15.5
19800725,12.8,18.2
19800726,0.0,-9999.0
19800727,2.0,20.2
19800728,7.2,19.7
19800729,0.0,-9999.0
19800730,0.0,-9999.0
19800731,0.0,-9999.0
19800801,13.8,20.8
19800802,0.0,20.3
19800803,0.0,-9999.0
19800804,0.0,22.3
19800805,0.0,25.0
19800806,0.0,25.7
19800807,0.0,22.3
19800808,0.0,24.1
19800809,8.1,23.8
19800810,0.0,18.9
19800811,0.0,17.3
19800812,0.0,17.2
19800813,0.0,-9999.0
19800814,20.1,15.6
19800815,0.5,-9999.0
19800816,0.0,17.8
19800817,0.0,18.6
19800818,0.0,14.0
19800819,0.0,14.7
19800820,0.0,17.3
19800821,0.0,19.8
19800822,0.0,18.4
19800823,0.0,16.0
19800824,0.0,17.6
19800825,0.0,13.8
19800826,0.0,12.0
19800827,0.0,18.2
19800828,0.0,17.0
19800829,0.0,18.2
19800830,0.0,19.7
19800831,0.0,20.5
19800901,1.2,17.0
19800902,0.0,14.2
19800903,0.3,-9999.0
19800904,0.0,-9999.0
19800905,0.0,-9999.0
19800906,0.0,19.0
19800907,0.0,19.8
19800908,0.0,19.3
19800909,0.0,18.0
19800910,0.0,-9999.0
19800911,1.1,-9999.0
19800912,0.0,14.6
19800913,0.0,14.0
19800914,6.8,16.0
19800915,3.2,14.7
19800916,4.2,10.5
19800917,0.0,13.5
19800918,0.0,12.5
19800919,0.0,13.8
19800920,0.0,-9999.0
19800921,0.0,16.0
19800922,0.0,18.0
19800923,0.0,14.0
19800924,0.0,11.0
19800925,0.0,-9999.0
19800926,0.0,12.2
19800927,0.6,12.2
19800928,0.0,14.0
19800929,1.5,10.0
19800930,0.0,-9999.0
19801001,8.9,-9999.0
19801002,14.5,7.8
19801003,2.2,8.5
19801004,0.0,-9999.0
19801005,0.0,6.5
19801006,1.6,8.7
19801007,0.0,10.5
19801008,0.0,17.2
19801009,0.0,15.5
19801010,0.0,15.4
19801011,0.5,14.8
19801012,0.0,12.8
19801013,0.0,12.6
19801014,9.0,15.4
19801015,2.4,12.2
19801016,0.0,-9999.0
19801017,0.0,16.0
19801018,0.0,-9999.0
19801019,1.7,13.0
19801020,0.6,12.5
19801021,3.8,8.8
19801022,0.0,3.8
19801023,0.0,9.2
19801024,0.0,12.4
19801025,0.0,10.5
19801026,0.0,11.0
19801027,0.0,-9999.0
19801028,0.0,4.5
19801029,0.0,9.8
19801030,0.0,11.0
19801031,1.0,6.0
19801101,0.0,-9999.0
19801102,0.0,-1.5
19801103,26.1,-1.8
19801104,0.0,-2.3
19801105,0.6,-0.6
19801106,10.3,-9999.0
19801107,7.9,4.0
19801108,0.9,-0.6
19801109,0.0,-9999.0
19801110,7.8,-9999.0
19801111,2.0,-1.8
19801112,0.0,-9999.0
19801113,0.0,-9999.0
19801114,1.6,1.0
19801115,0.0,1.8
19801116,0.0,5.3
19801117,0.0,8.8
19801118,0.0,8.8
19801119,11.0,7.0
19801120,1.5,1.8
19801121,0.0,-1.8
19801122,0.0,-1.0
19801123,0.0,5.4
19801124,0.0,7.2
19801125,0.0,8.0
19801126,0.0,7.8
19801127,0.0,-9999.0
19801128,0.3,6.8
19801129,0.0,7.0
19801130,10.4,5.4
19801201,0.0,1.0
19801202,10.1,-4.5
19801203,0.0,-3.8
19801204,10.0,-2.8
19801205,2.3,-5.6
19801206,0.0,-6.7
19801207,0.0,-1.2
19801208,0.2,-8.2
19801209,0.0,-7.8
19801210,0.0,-4.3
19801211,0.0,0.8
19801212,1.8,1.3
19801213,0.0,2.0
19801214,0.4,-0.2
19801215,0.0,0.0
19801216,0.0,1.4
19801217,1.5,2.2
19801218,2.1,-0.4
19801219,0.2,3.3
19801220,2.1,-9999.0
19801221,0.0,6.5
19801222,2.5,6.8
19801223,19.5,4.3
