DATE,PRCP,TAVG
19840101,0.4,-9999.0
19840102,0.0,-9999.0
19840103,0.0,-9999.0
19840104,0.0,-9999.0
19840105,0.9,-9999.0
19840106,0.5,-9999.0
19840107,0.4,-9999.0
19840108,0.3,-9999.0
19840109,0.3,-9999.0
19840110,6.0,-9999.0
19840111,0.6,-9999.0
19840112,0.0,-9999.0
19840113,0.0,-9999.0
19840114,0.0,-9999.0
19840115,0.9,-9999.0
19840116,4.4,-9999.0
19840117,0.0,-9999.0
19840118,0.0,-9999.0
19840119,0.0,-9999.0
19840120,0.1,-9999.0
19840121,2.6,-9999.0
19840122,0.1,-9999.0
19840123,0.3,-9999.0
19840124,1.0,-9999.0
19840125,3.8,-9999.0
19840126,6.6,-9999.0
19840127,1.4,-9999.0
19840128,0.1,-9999.0
19840129,0.2,-9999.0
19840130,3.6,-9999.0
19840131,0.6,-9999.0
19840201,2.6,-9999.0
19840202,2.8,-9999.0
19840203,0.0,-9999.0
19840204,0.0,-9999.0
19840205,1.7,-9999.0
19840206,1.5,-9999.0
19840207,0.4,-9999.0
19840208,0.5,-9999.0
19840209,7.4,-9999.0
19840210,19.1,-9999.0
19840211,2.2,-9999.0
19840212,3.5,-9999.0
19840213,3.4,-9999.0
19840214,2.5,-9999.0
19840215,0.4,-9999.0
19840216,0.0,-9999.0
19840217,0.2,-9999.0
19840218,0.0,-9999.0
19840219,1.0,-9999.0
19840220,7.5,-9999.0
19840221,0.2,-9999.0
19840222,4.6,-9999.0
19840223,2.5,-9999.0
19840224,0.5,-9999.0
19840225,0.0,-9999.0
19840226,0.0,-9999.0
19840227,0.0,-9999.0
19840228,3.3,-9999.0
19840229,0.0,-9999.0
19840301,0.0,-9999.0
19840302,10.5,-9999.0
19840303,3.8,-9999.0
19840304,13.5,-9999.0
19840305,0.2,-9999.0
19840306,0.4,-9999.0
19840307,4.7,-9999.0
19840308,0.4,-9999.0
19840309,0.0,-9999.0
19840310,3.5,-9999.0
19840311,9.0,-9999.0
19840312,8.5,-9999.0
19840313,4.1,-9999.0
19840314,2.0,-9999.0
19840315,0.7,-9999.0
19840316,0.3,-9999.0
19840317,1.1,-9999.0
19840318,0.0,-9999.0
19840319,3.9,-9999.0
19840320,0.0,-9999.0
19840321,0.0,-9999.0
19840322,0.8,-9999.0
19840323,6.0,-9999.0
19840324,1.6,-9999.0
19840325,0.0,-9999.0
19840326,0.0,-9999.0
19840327,2.9,-9999.0
19840328,0.0,-9999.0
19840329,0.0,-9999.0
19840330,0.0,-9999.0
19840331,1.0,-9999.0
19840401,0.0,-9999.0
19840402,0.0,-9999.0
19840403,0.0,-9999.0
19840404,0.0,-9999.0
19840405,0.0,-9999.0
19840406,0.0,-9999.0
19840407,0.0,-9999.0
19840408,12.9,-9999.0
19840409,5.7,-9999.0
19840410,13.1,-9999.0
19840411,0.0,-9999.0
19840412,0.0,-9999.0
19840413,0.0,-9999.0
19840414,0.0,-9999.0
19840415,0.0,-9999.0
19840416,0.0,-9999.0
19840417,1.0,-9999.0
19840418,1.3,-9999.0
