DATE,PRCP,TAVG
19800101,7.3,-9999.0
19800102,9.1,-9999.0
19800103,0.0,-9999.0
19800104,0.0,-9999.0
19800105,0.3,-9999.0
19800106,0.0,-9999.0
19800107,0.0,-9999.0
19800108,2.6,-9999.0
19800109,0.1,-9999.0
19800110,0.1,-9999.0
19800111,0.0,-9999.0
19800112,0.0,-9999.0
19800113,0.0,-9999.0
19800114,0.0,-9999.0
19800115,0.0,-9999.0
19800116,0.0,-9999.0
19800117,0.0,-9999.0
19800118,0.0,-9999.0
19800119,0.0,-9999.0
19800120,0.0,-9999.0
19800121,0.0,-9999.0
19800122,0.0,-9999.0
19800123,0.0,-9999.0
19800124,5.8,-9999.0
19800125,4.7,-9999.0
19800126,2.8,-9999.0
19800127,0.3,-9999.0
19800128,0.5,-9999.0
19800129,0.0,-9999.0
19800130,0.7,-9999.0
19800131,0.1,-9999.0
19800201,0.3,-9999.0
19800202,4.6,-9999.0
19800203,0.8,-9999.0
19800204,0.8,-9999.0
19800205,6.8,-9999.0
19800206,5.3,-9999.0
19800207,0.9,-9999.0
19800208,0.0,-9999.0
19800209,0.4,-9999.0
19800210,0.0,-9999.0
19800211,0.0,-9999.0
19800212,0.1,-9999.0
19800213,0.0,-9999.0
19800214,0.0,-9999.0
19800215,0.0,-9999.0
19800216,0.0,-9999.0
19800217,0.0,-9999.0
19800218,0.0,-9999.0
19800219,0.0,-9999.0
19800220,0.0,-9999.0
19800221,0.0,-9999.0
19800222,0.0,-9999.0
19800223,0.0,-9999.0
19800224,0.0,-9999.0
19800225,0.0,-9999.0
19800226,0.0,-9999.0
19800227,0.0,-9999.0
19800228,0.0,-9999.0
19800229,0.0,-9999.0
19800301,0.4,-9999.0
19800302,3.3,-9999.0
19800303,0.5,-9999.0
19800304,5.2,-9999.0
19800305,0.1,-9999.0
19800306,0.0,-9999.0
19800307,0.0,-9999.0
19800308,0.9,-9999.0
19800309,2.3,-9999.0
19800310,3.9,-9999.0
19800311,0.3,-9999.0
19800312,0.0,-9999.0
19800313,0.0,-9999.0
19800314,0.0,-9999.0
19800315,0.0,-9999.0
19800316,0.0,-9999.0
19800317,0.0,-9999.0
19800318,0.0,-9999.0
19800319,0.1,-9999.0
19800320,3.5,-9999.0
19800321,9.7,-9999.0
19800322,4.3,-9999.0
19800323,0.0,-9999.0
19800324,5.8,-9999.0
19800325,0.0,-9999.0
19800326,1.0,-9999.0
19800327,0.0,-9999.0
19800328,0.0,-9999.0
19800329,0.0,-9999.0
19800330,4.5,-9999.0
19800331,3.0,-9999.0
19800401,0.0,-9999.0
19800402,2.6,-9999.0
19800403,8.2,-9999.0
19800404,17.5,-9999.0
19800405,3.3,-9999.0
19800406,3.5,-9999.0
19800407,1.0,-9999.0
19800408,0.0,-9999.0
19800409,0.0,-9999.0
19800410,3.3,-9999.0
19800411,0.0,-9999.0
19800412,0.0,-9999.0
19800413,0.0,-9999.0
19800414,0.0,-9999.0
19800415,0.0,-9999.0
19800416,0.0,-9999.0
19800417,0.0,-9999.0
19800418,0.0,-9999.0
19800419,3.0,-9999.0
19800420,4.1,-9999.0
19800421,15.1,-9999.0
19800422,1.6,-9999.0
19800423,0.0,-9999.0
19800424,0.0,-9999.0
19800425,3.8,-9999.0
19800426,0.0,-9999.0
19800427,0.3,-9999.0
19800428,0.0,-9999.0
19800429,0.6,-9999.0
19800430,0.0,-9999.0
19800501,0.0,-9999.0
19800502,2.2,-9999.0
19800503,0.1,-9999.0
19800504,1.9,-9999.0
19800505,17.6,-9999.0
19800506,10.8,-9999.0
19800507,18.9,-9999.0
19800508,0.0,-9999.0
19800509,0.0,-9999.0
19800510,0.8,-9999.0
19800511,2.3,-9999.0
19800512,0.0,-9999.0
19800513,0.0,-9999.0
19800514,0.0,-9999.0
19800515,0.0,-9999.0
19800516,2.2,-9999.0
19800517,0.3,-9999.0
19800518,9.7,-9999.0
19800519,10.2,-9999.0
19800520,0.0,-9999.0
19800521,0.0,-9999.0
19800522,0.3,-9999.0
19800523,0.4,-9999.0
19800524,4.8,-9999.0
19800525,1.8,-9999.0
19800526,0.0,-9999.0
19800527,0.0,-9999.0
19800528,0.0,-9999.0
19800529,5.6,-9999.0
19800530,19.6,-9999.0
19800531,7.6,-9999.0
19800601,25.8,-9999.0
19800602,0.0,-9999.0
19800603,0.0,-9999.0
19800604,3.1,-9999.0
19800605,2.9,-9999.0
19800606,1.3,-9999.0
19800607,0.3,-9999.0
19800608,0.0,-9999.0
19800609,0.0,-9999.0
19800610,7.8,-9999.0
19800611,2.4,-9999.0
19800612,0.4,-9999.0
19800613,0.0,-9999.0
19800614,0.0,-9999.0
19800615,0.0,-9999.0
19800616,0.0,-9999.0
19800617,2.3,-9999.0
19800618,0.0,-9999.0
19800619,0.0,-9999.0
19800620,5.0,-9999.0
19800621,0.0,-9999.0
19800622,4.5,-9999.0
19800623,10.1,-9999.0
19800624,1.3,-9999.0
19800625,5.4,-9999.0
19800626,0.0,-9999.0
19800627,5.6,-9999.0
19800628,13.7,-9999.0
19800629,9.6,-9999.0
19800630,5.1,-9999.0
19800701,0.0,-9999.0
19800702,6.2,-9999.0
19800703,18.1,-9999.0
19800704,0.3,-9999.0
19800705,6.3,-9999.0
19800706,7.2,-9999.0
19800707,12.1,-9999.0
19800708,4.9,-9999.0
19800709,0.0,-9999.0
19800710,0.0,-9999.0
19800711,0.4,-9999.0
19800712,1.3,-9999.0
19800713,11.3,-9999.0
19800714,2.6,-9999.0
19800715,0.0,-9999.0
19800716,0.0,-9999.0
19800717,0.1,-9999.0
19800718,0.0,-9999.0
19800719,0.0,-9999.0
19800720,0.0,-9999.0
19800721,3.1,-9999.0
19800722,44.0,-9999.0
19800723,7.5,-9999.0
19800724,8.5,-9999.0
19800725,10.9,-9999.0
19800726,0.0,-9999.0
19800727,0.5,-9999.0
19800728,0.2,-9999.0
19800729,27.1,-9999.0
19800730,0.5,-9999.0
19800731,4.4,-9999.0
19800801,0.0,-9999.0
19800802,0.0,-9999.0
19800803,0.0,-9999.0
19800804,0.0,-9999.0
19800805,0.0,-9999.0
19800806,0.0,-9999.0
19800807,0.0,-9999.0
19800808,0.0,-9999.0
19800809,2.2,-9999.0
19800810,0.0,-9999.0
19800811,0.0,-9999.0
19800812,0.0,-9999.0
19800813,31.8,-9999.0
19800814,0.8,-9999.0
19800815,5.0,-9999.0
19800816,0.0,-9999.0
19800817,0.0,-9999.0
19800818,0.0,-9999.0
19800819,0.0,-9999.0
19800820,0.0,-9999.0
19800821,0.0,-9999.0
19800822,0.0,-9999.0
19800823,0.0,-9999.0
19800824,0.0,-9999.0
19800825,1.5,-9999.0
19800826,0.0,-9999.0
19800827,0.0,-9999.0
19800828,0.0,-9999.0
19800829,0.0,-9999.0
19800830,0.0,-9999.0
19800831,0.5,-9999.0
19800901,9.5,-9999.0
19800902,0.0,-9999.0
19800903,0.0,-9999.0
19800904,0.0,-9999.0
19800905,0.0,-9999.0
19800906,0.0,-9999.0
19800907,0.0,-9999.0
19800908,0.0,-9999.0
19800909,0.0,-9999.0
19800910,0.0,-9999.0
19800911,25.6,-9999.0
19800912,2.1,-9999.0
19800913,0.0,-9999.0
19800914,0.3,-9999.0
19800915,4.2,-9999.0
19800916,0.0,-9999.0
19800917,0.0,-9999.0
19800918,0.0,-9999.0
19800919,0.0,-9999.0
19800920,0.0,-9999.0
19800921,0.0,-9999.0
19800922,0.0,-9999.0
19800923,0.0,-9999.0
19800924,0.0,-9999.0
19800925,0.0,-9999.0
19800926,0.0,-9999.0
19800927,2.6,-9999.0
19800928,0.0,-9999.0
19800929,0.0,-9999.0
19800930,4.1,-9999.0
19801001,7.8,-9999.0
19801002,0.0,-9999.0
19801003,2.5,-9999.0
19801004,0.0,-9999.0
19801005,0.0,-9999.0
19801006,9.4,-9999.0
19801007,0.0,-9999.0
19801008,0.0,-9999.0
19801009,0.1,-9999.0
19801010,11.8,-9999.0
19801011,11.2,-9999.0
19801012,0.0,-9999.0
19801013,5.9,-9999.0
19801014,29.8,-9999.0
19801015,7.5,-9999.0
19801016,6.9,-9999.0
19801017,0.0,-9999.0
19801018,1.5,-9999.0
19801019,3.8,-9999.0
19801020,2.2,-9999.0
19801021,0.2,-9999.0
19801022,0.0,-9999.0
19801023,0.0,-9999.0
19801024,0.0,-9999.0
19801025,0.0,-9999.0
19801026,0.7,-9999.0
19801027,0.0,-9999.0
19801028,0.0,-9999.0
19801029,0.0,-9999.0
19801030,0.0,-9999.0
19801031,1.4,-9999.0
19801101,0.0,-9999.0
19801102,0.0,-9999.0
19801103,6.1,-9999.0
19801104,2.2,-9999.0
19801105,27.1,-9999.0
19801106,4.9,-9999.0
19801107,34.6,-9999.0
19801108,8.3,-9999.0
19801109,0.0,-9999.0
19801110,11.6,-9999.0
19801111,0.0,-9999.0
19801112,0.0,-9999.0
19801113,3.0,-9999.0
19801114,0.9,-9999.0
19801115,1.8,-9999.0
19801116,8.2,-9999.0
19801117,11.3,-9999.0
19801118,0.0,-9999.0
19801119,8.7,-9999.0
19801120,0.0,-9999.0
19801121,0.0,-9999.0
19801122,0.0,-9999.0
19801123,0.0,-9999.0
19801124,0.0,-9999.0
19801125,0.0,-9999.0
19801126,0.0,-9999.0
19801127,0.4,-9999.0
19801128,8.6,-9999.0
19801129,14.9,-9999.0
19801130,0.0,-9999.0
19801201,7.2,-9999.0
19801202,3.1,-9999.0
19801203,1.1,-9999.0
19801204,3.2,-9999.0
19801205,1.6,-9999.0
19801206,9.5,-9999.0
19801207,7.5,-9999.0
19801208,0.2,-9999.0
19801209,0.4,-9999.0
19801210,0.1,-9999.0
19801211,0.3,-9999.0
19801212,4.5,-9999.0
19801213,0.3,-9999.0
19801214,0.4,-9999.0
19801215,0.3,-9999.0
19801216,1.0,-9999.0
19801217,0.3,-9999.0
19801218,0.1,-9999.0
19801219,0.8,-9999.0
19801220,0.3,-9999.0
19801221,1.7,-9999.0
19801222,0.0,-9999.0
19801223,0.0,-9999.0
19801224,0.0,-9999.0
19801225,0.0,-9999.0
19801226,0.0,-9999.0
19801227,0.1,-9999.0
19801228,0.2,-9999.0
19801229,0.0,-9999.0
19801230,0.3,-9999.0
19801231,0.3,-9999.0
19810101,0.0,-9999.0
19810102,1.0,-9999.0
19810103,28.3,-9999.0
19810104,13.4,-9999.0
19810105,2.2,-9999.0
19810106,0.2,-9999.0
19810107,0.0,-9999.0
19810108,0.0,-9999.0
19810109,0.0,-9999.0
19810110,0.0,-9999.0
19810111,0.0,-9999.0
19810112,0.0,-9999.0
19810113,0.1,-9999.0
19810114,15.2,-9999.0
19810115,0.6,-9999.0
19810116,3.0,-9999.0
19810117,0.0,-9999.0
19810118,0.0,-9999.0
19810119,0.0,-9999.0
19810120,0.0,-9999.0
19810121,1.2,-9999.0
19810122,0.0,-9999.0
19810123,0.0,-9999.0
19810124,0.0,-9999.0
19810125,0.0,-9999.0
19810126,10.5,-9999.0
19810127,0.0,-9999.0
19810128,0.0,-9999.0
19810129,0.0,-9999.0
19810130,0.0,-9999.0
19810131,0.0,-9999.0
19810201,0.0,-9999.0
19810202,0.0,-9999.0
19810203,0.0,-9999.0
19810204,1.9,-9999.0
19810205,9.7,-9999.0
19810206,0.8,-9999.0
19810207,0.1,-9999.0
19810208,6.2,-9999.0
19810209,1.2,-9999.0
19810210,0.0,-9999.0
19810211,3.8,-9999.0
19810212,0.3,-9999.0
19810213,0.0,-9999.0
19810214,5.6,-9999.0
19810215,0.7,-9999.0
19810216,3.8,-9999.0
19810217,0.5,-9999.0
19810218,0.4,-9999.0
19810219,0.0,-9999.0
19810220,0.0,-9999.0
19810221,0.0,-9999.0
19810222,0.0,-9999.0
19810223,0.0,-9999.0
19810224,0.0,-9999.0
19810225,0.0,-9999.0
19810226,0.0,-9999.0
19810227,0.0,-9999.0
19810228,0.0,-9999.0
19810301,0.0,-9999.0
19810302,0.0,-9999.0
19810303,6.0,-9999.0
19810304,11.0,-9999.0
19810305,1.5,-9999.0
19810306,0.0,-9999.0
19810307,0.0,-9999.0
19810308,0.0,-9999.0
19810309,0.0,-9999.0
19810310,11.3,-9999.0
19810311,14.9,-9999.0
19810312,24.2,-9999.0
19810313,0.7,-9999.0
19810314,0.0,-9999.0
19810315,1.7,-9999.0
19810316,3.9,-9999.0
19810317,5.8,-9999.0
19810318,0.0,-9999.0
19810319,8.8,-9999.0
19810320,2.0,-9999.0
19810321,0.0,-9999.0
19810322,0.0,-9999.0
19810323,0.0,-9999.0
19810324,0.3,-9999.0
19810325,3.7,-9999.0
19810326,0.0,-9999.0
19810327,1.0,-9999.0
19810328,0.0,-9999.0
19810329,0.0,-9999.0
19810330,0.0,-9999.0
19810331,0.3,-9999.0
19810401,0.0,-9999.0
19810402,0.0,-9999.0
19810403,0.0,-9999.0
19810404,0.0,-9999.0
19810405,0.0,-9999.0
19810406,0.0,-9999.0
19810407,0.0,-9999.0
19810408,0.0,-9999.0
19810409,0.0,-9999.0
19810410,0.5,-9999.0
19810411,0.0,-9999.0
19810412,0.0,-9999.0
19810413,0.0,-9999.0
19810414,0.3,-9999.0
19810415,0.0,-9999.0
19810416,0.0,-9999.0
19810417,0.0,-9999.0
19810418,0.7,-9999.0
19810419,2.7,-9999.0
19810420,8.9,-9999.0
19810421,0.0,-9999.0
19810422,0.0,-9999.0
19810423,0.0,-9999.0
19810424,3.1,-9999.0
19810425,3.1,-9999.0
19810426,1.5,-9999.0
19810427,3.5,-9999.0
19810428,2.6,-9999.0
19810429,6.5,-9999.0
19810430,3.3,-9999.0
19810501,31.3,-9999.0
19810502,6.9,-9999.0
19810503,0.3,-9999.0
19810504,1.7,-9999.0
19810505,11.4,-9999.0
19810506,3.4,-9999.0
19810507,0.0,-9999.0
19810508,0.0,-9999.0
19810509,0.0,-9999.0
19810510,0.0,-9999.0
19810511,0.0,-9999.0
19810512,0.0,-9999.0
19810513,5.3,-9999.0
19810514,1.9,-9999.0
19810515,0.0,-9999.0
19810516,0.0,-9999.0
19810517,0.0,-9999.0
19810518,1.8,-9999.0
19810519,0.9,-9999.0
19810520,1.2,-9999.0
19810521,0.0,-9999.0
19810522,0.0,-9999.0
19810523,0.0,-9999.0
19810524,0.0,-9999.0
19810525,0.0,-9999.0
19810526,0.0,-9999.0
19810527,0.0,-9999.0
19810528,3.3,-9999.0
19810529,13.5,-9999.0
19810530,0.0,-9999.0
19810531,0.0,-9999.0
19810601,0.0,-9999.0
19810602,0.0,-9999.0
19810603,0.0,-9999.0
19810604,0.0,-9999.0
19810605,0.0,-9999.0
19810606,0.0,-9999.0
19810607,0.0,-9999.0
19810608,4.5,-9999.0
19810609,0.0,-9999.0
19810610,0.0,-9999.0
19810611,0.0,-9999.0
19810612,0.0,-9999.0
19810613,0.0,-9999.0
19810614,0.0,-9999.0
19810615,0.2,-9999.0
19810616,1.3,-9999.0
19810617,7.2,-9999.0
19810618,2.3,-9999.0
19810619,22.6,-9999.0
19810620,2.6,-9999.0
19810621,0.0,-9999.0
19810622,0.0,-9999.0
19810623,20.0,-9999.0
19810624,4.4,-9999.0
19810625,0.9,-9999.0
19810626,0.0,-9999.0
19810627,1.2,-9999.0
19810628,0.0,-9999.0
19810629,0.0,-9999.0
19810630,0.0,-9999.0
19810701,0.0,-9999.0
19810702,0.0,-9999.0
19810703,0.0,-9999.0
19810704,6.6,-9999.0
19810705,3.1,-9999.0
19810706,0.0,-9999.0
19810707,0.6,-9999.0
19810708,0.0,-9999.0
19810709,0.0,-9999.0
19810710,5.4,-9999.0
19810711,0.0,-9999.0
19810712,0.0,-9999.0
19810713,0.0,-9999.0
19810714,0.0,-9999.0
19810715,28.1,-9999.0
19810716,0.0,-9999.0
19810717,0.1,-9999.0
19810718,0.0,-9999.0
19810719,0.0,-9999.0
19810720,25.6,-9999.0
19810721,3.2,-9999.0
19810722,1.7,-9999.0
19810723,0.6,-9999.0
19810724,0.0,-9999.0
19810725,0.0,-9999.0
19810726,18.0,-9999.0
19810727,0.9,-9999.0
19810728,17.1,-9999.0
19810729,20.9,-9999.0
19810730,0.8,-9999.0
19810731,2.7,-9999.0
19810801,0.0,-9999.0
19810802,0.0,-9999.0
19810803,0.0,-9999.0
19810804,0.2,-9999.0
19810805,0.0,-9999.0
19810806,0.0,-9999.0
19810807,0.0,-9999.0
19810808,0.0,-9999.0
19810809,0.0,-9999.0
19810810,1.8,-9999.0
19810811,1.5,-9999.0
19810812,2.8,-9999.0
19810813,4.0,-9999.0
19810814,0.0,-9999.0
19810815,0.0,-9999.0
19810816,0.0,-9999.0
19810817,0.2,-9999.0
19810818,4.8,-9999.0
19810819,0.0,-9999.0
19810820,0.0,-9999.0
19810821,0.0,-9999.0
19810822,2.3,-9999.0
19810823,0.0,-9999.0
19810824,0.8,-9999.0
19810825,0.8,-9999.0
19810826,0.0,-9999.0
19810827,14.0,-9999.0
19810828,17.9,-9999.0
19810829,0.0,-9999.0
19810830,0.0,-9999.0
19810831,0.0,-9999.0
19810901,2.0,-9999.0
19810902,14.0,-9999.0
19810903,0.0,-9999.0
19810904,0.0,-9999.0
19810905,0.0,-9999.0
19810906,0.0,-9999.0
19810907,0.0,-9999.0
19810908,0.0,-9999.0
19810909,0.0,-9999.0
19810910,0.0,-9999.0
19810911,1.5,-9999.0
19810912,4.7,-9999.0
19810913,0.0,-9999.0
19810914,6.1,-9999.0
19810915,1.0,-9999.0
19810916,0.0,-9999.0
19810917,0.0,-9999.0
19810918,0.0,-9999.0
19810919,0.0,-9999.0
19810920,0.9,-9999.0
19810921,0.0,-9999.0
19810922,0.0,-9999.0
19810923,0.0,-9999.0
19810924,2.3,-9999.0
19810925,0.0,-9999.0
19810926,2.0,-9999.0
19810927,0.0,-9999.0
19810928,0.0,-9999.0
19810929,0.0,-9999.0
19810930,0.0,-9999.0
19811001,1.8,-9999.0
19811002,6.3,-9999.0
19811003,3.1,-9999.0
19811004,3.6,-9999.0
19811005,1.9,-9999.0
19811006,0.3,-9999.0
19811007,0.0,-9999.0
19811008,0.0,-9999.0
19811009,0.0,-9999.0
19811010,0.0,-9999.0
19811011,1.9,-9999.0
19811012,10.6,-9999.0
19811013,4.8,-9999.0
19811014,0.0,-9999.0
19811015,5.6,-9999.0
