DATE,PRCP,TAVG
19800101,3.8,-9999.0
19800102,0.0,-9999.0
19800103,28.1,-9999.0
19800104,2.5,-9999.0
19800105,0.4,-9999.0
19800106,0.0,-9999.0
19800107,0.3,-9999.0
19800108,23.3,-9999.0
19800109,12.6,-9999.0
19800110,0.0,-9999.0
19800111,0.0,-9999.0
19800112,0.2,-9999.0
19800113,0.5,-9999.0
19800114,0.0,-9999.0
19800115,0.0,-9999.0
19800116,0.0,-9999.0
19800117,4.2,-9999.0
19800118,0.0,-9999.0
19800119,0.0,-9999.0
19800120,0.0,-9999.0
19800121,1.1,-9999.0
19800122,0.0,-9999.0
19800123,0.0,-9999.0
19800124,0.1,-9999.0
19800125,2.9,-9999.0
19800126,7.6,-9999.0
19800127,0.0,-9999.0
19800128,4.0,-9999.0
19800129,0.0,-9999.0
19800130,0.0,-9999.0
19800131,0.0,-9999.0
19800201,0.0,-9999.0
19800202,0.0,-9999.0
19800203,0.0,-9999.0
19800204,0.0,-9999.0
19800205,0.0,-9999.0
19800206,2.2,-9999.0
19800207,0.0,-9999.0
19800208,0.2,-9999.0
19800209,0.0,-9999.0
19800210,0.1,-9999.0
19800211,0.0,-9999.0
19800212,2.9,-9999.0
19800213,1.4,-9999.0
19800214,0.0,-9999.0
19800215,6.1,-9999.0
19800216,0.2,-9999.0
19800217,0.0,-9999.0
19800218,0.0,-9999.0
19800219,0.0,-9999.0
19800220,0.0,-9999.0
19800221,0.2,-9999.0
19800222,0.0,-9999.0
19800223,0.0,-9999.0
19800224,0.0,-9999.0
19800225,0.0,-9999.0
19800226,0.0,-9999.0
19800227,0.1,-9999.0
19800228,2.2,-9999.0
19800229,2.0,-9999.0
19800301,1.1,-9999.0
19800302,0.0,-9999.0
19800303,0.0,-9999.0
19800304,6.8,-9999.0
19800305,0.0,-9999.0
19800306,0.0,-9999.0
19800307,2.4,-9999.0
19800308,0.0,-9999.0
19800309,0.7,-9999.0
19800310,0.0,-9999.0
19800311,0.0,-9999.0
19800312,0.0,-9999.0
19800313,0.0,-9999.0
19800314,0.0,-9999.0
19800315,0.0,-9999.0
19800316,0.0,-9999.0
19800317,0.0,-9999.0
19800318,0.0,-9999.0
19800319,0.0,-9999.0
19800320,0.0,-9999.0
19800321,0.9,-9999.0
19800322,6.9,-9999.0
19800323,7.3,-9999.0
19800324,7.0,-9999.0
19800325,8.8,-9999.0
19800326,0.0,-9999.0
19800327,0.0,-9999.0
19800328,0.0,-9999.0
19800329,0.0,-9999.0
19800330,0.0,-9999.0
19800331,4.8,-9999.0
19800401,0.0,-9999.0
19800402,0.0,-9999.0
19800403,0.0,-9999.0
19800404,13.3,-9999.0
19800405,17.5,-9999.0
19800406,0.0,-9999.0
19800407,10.8,-9999.0
19800408,2.7,-9999.0
19800409,0.0,-9999.0
19800410,0.0,-9999.0
19800411,0.3,-9999.0
19800412,1.7,-9999.0
19800413,0.0,-9999.0
19800414,0.8,-9999.0
19800415,0.0,-9999.0
19800416,0.0,-9999.0
19800417,0.0,-9999.0
19800418,0.0,-9999.0
19800419,0.0,-9999.0
19800420,0.0,-9999.0
19800421,0.1,-9999.0
19800422,7.3,-9999.0
19800423,2.2,-9999.0
19800424,0.0,-9999.0
