DATE,PRCP,TAVG
19800101,0.0,1.4
19800102,0.0,0.1
19800103,17.1,-0.4
19800104,2.0,-1.6
19800105,0.0,-6.5
19800106,0.0,-9.5
19800107,0.0,-1.9
19800108,1.4,-1.9
19800109,0.0,-3.6
19800110,0.6,-5.9
19800111,0.0,-5.6
19800112,0.0,-5.6
19800113,0.0,-9.1
19800114,0.0,-12.1
19800115,0.0,-14.8
19800116,0.0,-7.9
19800117,0.0,-2.8
19800118,0.0,-9.0
19800119,0.0,-6.2
19800120,0.2,-1.9
19800121,4.2,-0.6
19800122,0.0,-4.5
19800123,0.0,-2.3
19800124,0.0,-1.1
19800125,0.0,0.8
19800126,2.2,0.5
19800127,0.0,-2.4
19800128,0.0,-5.6
19800129,0.0,-8.3
19800130,0.0,-6.7
19800131,0.0,-2.6
19800201,0.0,1.0
19800202,0.0,1.4
19800203,0.0,0.0
19800204,0.0,-0.3
19800205,0.0,0.6
19800206,0.0,0.0
19800207,0.0,-0.8
19800208,0.3,0.5
19800209,0.1,1.0
19800210,0.0,-0.9
19800211,0.0,-0.8
19800212,1.4,1.9
19800213,0.0,0.3
19800214,0.0,-1.5
19800215,0.0,0.3
19800216,0.0,0.2
19800217,0.0,-0.9
19800218,0.0,-0.1
19800219,0.0,-0.9
19800220,0.0,-2.3
19800221,0.0,-3.1
19800222,0.0,-1.0
19800223,0.1,-0.6
19800224,0.0,2.0
19800225,0.0,-1.1
19800226,0.0,-1.8
19800227,0.1,-1.7
19800228,0.0,-3.7
19800229,0.1,-3.7
19800301,1.2,-3.4
19800302,0.0,0.6
19800303,0.0,1.8
19800304,1.0,-1.6
19800305,0.0,0.4
19800306,0.0,-1.2
19800307,3.8,0.1
19800308,1.0,2.3
19800309,4.0,3.0
19800310,0.2,4.0
19800311,0.0,3.4
19800312,0.0,2.0
19800313,0.0,-1.5
19800314,0.0,-1.9
19800315,0.0,-1.2
19800316,0.0,0.6
19800317,0.0,2.1
19800318,0.0,3.4
19800319,0.0,3.6
19800320,0.0,2.2
19800321,0.1,5.5
19800322,3.0,2.4
19800323,3.3,1.0
19800324,10.5,2.2
19800325,4.3,2.5
19800326,0.1,4.0
19800327,0.0,3.1
19800328,0.0,5.7
19800329,0.0,6.3
19800330,0.0,7.2
19800331,14.4,7.7
19800401,0.0,8.8
19800402,0.0,8.8
19800403,0.0,7.9
19800404,23.3,5.7
19800405,14.1,5.4
19800406,0.5,6.4
19800407,8.1,5.2
19800408,0.1,6.2
19800409,0.8,7.0
19800410,0.0,8.9
19800411,0.2,7.3
19800412,0.3,6.6
19800413,0.0,6.6
19800414,0.6,9.4
19800415,0.0,11.6
19800416,0.0,10.6
19800417,0.0,9.9
19800418,0.0,14.0
19800419,0.6,14.1
19800420,0.0,16.0
19800421,2.7,12.5
19800422,1.0,11.6
19800423,0.6,8.9
19800424,0.0,8.0
19800425,0.0,11.3
19800426,0.2,11.4
19800427,0.0,13.6
19800428,0.0,13.2
19800429,0.0,13.4
19800430,0.0,14.7
19800501,0.0,15.3
19800502,0.1,13.9
19800503,9.6,12.0
19800504,1.2,12.0
19800505,1.4,16.9
19800506,8.1,15.4
19800507,4.4,16.1
19800508,2.8,17.3
19800509,5.4,18.9
19800510,36.0,18.4
19800511,3.6,14.5
19800512,0.0,13.6
19800513,0.0,10.0
19800514,2.1,8.6
19800515,5.1,8.9
19800516,3.4,11.8
19800517,0.2,13.6
19800518,0.0,15.4
19800519,0.0,16.6
19800520,17.5,12.9
19800521,12.1,12.0
19800522,0.0,11.7
19800523,3.8,10.5
19800524,18.2,11.0
19800525,17.7,11.9
19800526,0.2,15.1
19800527,0.0,17.1
19800528,0.0,16.6
19800529,0.0,18.2
19800530,0.0,19.4
19800531,0.3,19.4
19800601,0.0,15.9
19800602,0.0,19.3
19800603,0.4,16.7
19800604,0.9,14.8
