DATE,PRCP,TAVG
19800101,0.0,-2.8
19800102,1.5,-5.0
19800103,12.3,-7.6
19800104,8.2,-6.6
19800105,0.0,-9.0
19800106,0.1,-15.3
19800107,0.5,-7.8
19800108,4.9,-2.8
19800109,0.0,-3.2
19800110,0.5,-2.5
19800111,0.0,-4.7
19800112,0.0,-10.4
19800113,0.0,-16.8
19800114,0.1,-16.4
19800115,0.0,-19.4
19800116,0.0,-8.0
19800117,0.0,-1.0
19800118,0.0,-5.4
19800119,0.0,-9.5
19800120,0.0,-12.4
19800121,0.0,-8.6
19800122,0.0,-1.4
19800123,0.2,-5.0
19800124,0.0,0.1
19800125,2.5,0.2
19800126,0.5,-0.5
19800127,0.7,-4.5
19800128,0.8,-9.1
19800129,0.0,-15.6
19800130,0.4,-13.4
19800131,0.0,-2.5
19800201,0.1,6.5
19800202,1.4,0.8
19800203,0.0,-0.6
19800204,0.0,1.0
19800205,1.3,2.1
19800206,0.4,1.5
19800207,0.0,2.2
19800208,0.1,-0.3
19800209,0.0,1.0
19800210,0.0,-0.9
19800211,0.1,0.2
19800212,1.1,2.0
19800213,0.0,0.6
19800214,0.0,-1.0
19800215,0.0,-3.8
19800216,0.0,-1.3
19800217,0.0,-2.4
19800218,0.0,0.0
19800219,0.0,1.0
19800220,0.0,-1.2
19800221,0.0,-1.4
19800222,0.0,-0.6
19800223,0.0,0.6
19800224,0.0,-3.2
19800225,0.0,-3.1
19800226,0.0,-4.3
19800227,0.0,-3.5
19800228,0.0,-5.3
19800229,0.0,-5.4
19800301,0.2,-3.0
19800302,0.1,1.0
19800303,0.2,-0.8
19800304,0.3,-3.4
19800305,0.0,-4.7
19800306,0.0,-1.7
19800307,0.0,2.9
19800308,0.6,3.8
19800309,8.9,3.3
19800310,1.6,3.7
19800311,0.1,2.9
19800312,0.0,2.4
19800313,0.8,2.5
19800314,0.0,2.4
19800315,0.0,2.4
19800316,0.0,3.7
19800317,0.0,1.8
19800318,0.0,4.0
19800319,0.0,3.4
19800320,2.5,2.2
19800321,2.3,5.8
19800322,0.5,4.5
19800323,0.7,4.6
19800324,2.6,6.9
19800325,3.5,6.4
19800326,0.0,8.3
19800327,0.0,9.0
19800328,0.0,9.1
19800329,0.6,10.6
19800330,6.8,9.4
19800331,0.1,6.7
19800401,0.0,6.3
19800402,0.8,9.4
19800403,6.4,5.4
19800404,13.4,3.6
19800405,8.9,3.2
19800406,1.4,4.7
19800407,6.2,6.5
19800408,1.3,4.4
19800409,0.0,5.6
19800410,4.9,4.3
19800411,0.0,4.6
19800412,0.4,4.6
19800413,0.0,5.5
19800414,0.0,8.1
19800415,0.0,9.0
19800416,0.0,11.6
19800417,0.0,11.4
19800418,0.0,12.2
19800419,0.2,10.5
19800420,7.4,6.4
19800421,13.0,7.2
19800422,4.3,7.8
19800423,4.8,5.9
19800424,0.4,5.3
19800425,2.3,6.7
19800426,0.0,10.0
19800427,0.0,10.5
19800428,0.0,11.0
19800429,7.9,11.4
19800430,0.0,12.4
19800501,0.0,12.1
19800502,0.0,11.8
19800503,0.0,9.9
19800504,0.0,10.6
19800505,15.4,14.1
19800506,11.2,12.4
19800507,8.3,11.7
19800508,0.0,12.3
19800509,0.2,13.6
19800510,38.8,13.0
19800511,7.4,12.4
19800512,0.0,10.1
19800513,0.0,7.9
19800514,0.0,6.1
19800515,0.0,7.0
19800516,1.9,9.0
19800517,1.7,11.4
19800518,7.2,10.3
19800519,2.4,10.0
19800520,5.2,11.0
19800521,0.2,12.4
19800522,0.2,11.1
19800523,0.0,10.5
19800524,6.6,9.5
19800525,1.6,12.0
19800526,0.0,12.9
19800527,0.0,14.8
19800528,0.0,16.7
19800529,0.1,17.2
19800530,16.1,16.9
19800531,17.3,16.0
19800601,1.5,12.0
19800602,0.0,13.6
19800603,0.0,11.9
19800604,3.9,10.3
19800605,0.5,14.1
19800606,1.3,12.5
19800607,10.5,13.0
19800608,0.0,14.7
19800609,0.0,17.3
19800610,3.7,16.6
19800611,27.7,15.4
19800612,0.0,19.2
19800613,0.0,18.2
19800614,0.0,19.5
19800615,0.0,20.0
19800616,0.0,16.9
19800617,3.4,15.5
19800618,0.0,16.8
19800619,0.1,17.6
19800620,8.1,15.9
19800621,0.1,17.4
19800622,0.0,18.9
19800623,3.1,20.1
19800624,2.9,18.9
19800625,5.8,18.2
19800626,13.8,16.0
19800627,1.8,15.1
19800628,7.7,12.3
19800629,0.1,14.5
19800630,3.8,13.1
19800701,0.0,13.4
19800702,5.4,13.6
19800703,11.5,15.2
19800704,0.0,14.0
19800705,0.0,15.3
19800706,0.0,16.8
19800707,1.1,16.5
19800708,0.0,19.0
19800709,0.0,21.8
19800710,0.0,21.7
19800711,0.6,17.0
19800712,11.2,13.9
19800713,0.0,15.6
19800714,0.0,15.9
19800715,0.0,18.5
19800716,0.0,22.1
19800717,0.0,19.8
19800718,0.0,17.1
19800719,0.0,17.9
19800720,0.0,18.9
19800721,0.0,21.4
19800722,26.2,13.6
19800723,15.6,13.9
19800724,19.3,14.7
19800725,10.1,16.6
19800726,7.0,18.3
19800727,13.2,17.8
19800728,2.0,20.0
19800729,1.3,18.4
19800730,2.6,19.3
19800731,6.5,17.8
19800801,0.0,19.0
19800802,0.7,20.4
19800803,0.0,20.9
19800804,0.0,21.4
19800805,0.0,22.8
19800806,0.0,22.6
19800807,0.0,20.3
19800808,0.0,21.1
19800809,0.1,20.4
19800810,0.0,18.2
19800811,0.0,15.3
19800812,0.0,16.9
19800813,30.8,14.8
19800814,0.5,13.5
19800815,0.5,15.5
19800816,0.0,18.8
19800817,0.0,17.5
19800818,0.0,15.0
19800819,0.0,15.3
19800820,0.0,15.4
19800821,0.0,17.5
19800822,0.5,18.1
19800823,0.0,15.2
19800824,0.0,12.5
19800825,0.0,12.0
19800826,0.2,12.6
19800827,0.0,13.0
19800828,0.0,15.4
19800829,0.0,17.0
19800830,0.0,18.5
19800831,0.0,17.6
19800901,7.5,15.8
19800902,0.1,12.5
19800903,0.0,13.0
19800904,0.0,12.7
19800905,0.0,14.2
19800906,0.0,14.6
19800907,0.0,15.9
19800908,0.0,17.3
19800909,0.0,15.4
19800910,0.0,15.6
19800911,8.7,13.8
19800912,0.0,12.5
19800913,0.0,14.7
19800914,0.9,14.3
19800915,0.3,13.9
19800916,0.2,10.8
19800917,0.0,12.0
19800918,0.0,10.5
19800919,0.0,11.9
19800920,0.0,11.3
19800921,0.0,12.5
19800922,0.0,14.3
19800923,0.0,15.5
19800924,0.0,13.0
19800925,0.0,13.4
19800926,0.0,12.1
19800927,3.5,10.9
19800928,3.7,8.4
19800929,0.0,9.5
19800930,2.8,9.9
19801001,8.9,8.5
19801002,0.0,8.6
19801003,2.6,7.7
19801004,0.1,7.4
19801005,0.0,7.1
19801006,5.0,10.8
19801007,0.0,9.7
19801008,0.0,15.5
19801009,0.0,17.6
19801010,5.4,14.6
19801011,8.8,9.6
19801012,0.0,10.9
19801013,1.4,13.9
19801014,11.4,11.6
19801015,1.0,8.4
19801016,0.1,13.3
19801017,0.0,14.6
19801018,0.0,18.3
19801019,2.3,13.6
19801020,5.6,9.4
19801021,4.4,6.8
19801022,0.0,6.6
19801023,0.0,6.9
19801024,0.0,7.2
19801025,0.2,10.6
19801026,0.0,8.6
19801027,0.0,6.0
19801028,0.0,7.4
19801029,0.0,8.1
19801030,0.0,8.9
19801031,0.0,5.3
19801101,0.0,1.9
19801102,0.0,-0.8
19801103,2.2,-0.9
19801104,0.2,1.0
19801105,4.5,5.4
19801106,8.2,8.6
19801107,10.3,8.8
19801108,0.3,1.8
19801109,0.0,3.0
19801110,13.0,2.8
19801111,0.3,-0.4
19801112,0.0,0.9
19801113,4.6,1.5
19801114,1.9,2.3
19801115,0.0,0.4
19801116,0.9,3.3
19801117,0.0,7.1
19801118,0.0,5.3
19801119,3.2,5.0
19801120,0.0,1.2
19801121,0.0,0.5
19801122,0.0,0.5
19801123,0.0,1.2
19801124,0.0,1.9
19801125,0.0,-0.1
19801126,0.2,0.2
19801127,0.0,4.1
19801128,1.8,7.9
19801129,6.7,4.4
19801130,0.0,3.1
19801201,8.0,0.1
19801202,8.1,-3.6
19801203,0.2,-6.7
19801204,0.0,-5.0
19801205,0.8,-5.4
19801206,0.3,-4.7
19801207,0.0,-1.5
19801208,4.6,-5.5
19801209,1.0,-8.0
19801210,0.1,-7.5
19801211,0.0,-5.1
19801212,0.4,-0.4
19801213,0.0,2.5
19801214,0.0,-1.2
19801215,0.0,-1.5
19801216,0.0,0.3
19801217,4.7,1.3
19801218,1.0,0.4
19801219,0.1,0.1
19801220,0.0,4.0
19801221,0.0,2.1
19801222,0.0,0.9
19801223,9.3,1.5
19801224,0.0,-0.4
19801225,0.0,-0.1
19801226,0.0,-1.2
19801227,0.0,-0.5
19801228,3.9,0.6
19801229,0.3,0.1
