DATE,PRCP,TAVG
19800101,4.7,1.4
19800102,0.0,0.4
19800103,29.4,-0.1
19800104,4.0,-1.5
19800105,0.1,-7.8
19800106,0.0,-11.6
19800107,0.3,-2.6
19800108,23.1,-1.9
19800109,10.2,-2.8
19800110,0.0,-5.2
19800111,0.0,-6.1
19800112,0.3,-5.8
19800113,1.3,-8.6
19800114,0.0,-12.4
19800115,0.0,-17.1
19800116,0.0,-8.9
19800117,3.7,-3.7
19800118,0.0,-9.2
19800119,0.0,-8.9
19800120,0.0,-2.9
19800121,1.0,-0.7
19800122,0.0,-4.6
19800123,0.0,-2.9
19800124,0.0,-1.2
19800125,3.0,1.1
19800126,9.1,0.8
19800127,0.0,-2.4
19800128,3.4,-5.8
19800129,0.0,-10.3
19800130,0.0,-6.9
19800131,0.0,-1.4
19800201,0.0,2.6
19800202,0.0,1.6
19800203,0.0,-0.2
19800204,0.0,0.5
19800205,0.0,1.8
19800206,1.8,1.5
19800207,0.0,-0.8
19800208,0.3,0.4
19800209,0.2,0.7
19800210,0.0,-0.6
19800211,0.0,-0.6
19800212,3.2,1.0
19800213,1.9,-0.2
19800214,0.0,-2.6
19800215,5.2,-1.3
19800216,0.1,-0.9
19800217,0.0,-0.4
19800218,0.0,-1.4
19800219,0.0,-1.8
19800220,0.0,-3.1
19800221,0.2,-3.5
19800222,0.0,-1.1
19800223,0.0,-0.4
19800224,0.0,0.7
19800225,0.0,-0.4
19800226,0.0,-2.1
19800227,0.1,-1.9
19800228,1.1,-4.1
19800229,0.0,-3.7
19800301,1.0,-3.6
19800302,0.0,0.5
19800303,0.0,2.5
19800304,7.4,-1.1
19800305,0.0,-1.2
19800306,0.0,-2.8
19800307,2.0,-0.6
19800308,0.0,1.5
19800309,1.4,1.8
19800310,0.0,4.3
19800311,0.0,4.1
19800312,0.0,2.9
19800313,0.0,-0.6
19800314,0.0,-1.5
19800315,0.0,-1.4
19800316,0.0,0.1
19800317,0.0,1.3
19800318,0.0,2.3
19800319,0.0,2.5
19800320,0.0,2.7
19800321,1.0,4.9
19800322,7.6,4.1
19800323,7.5,1.9
19800324,7.6,2.2
19800325,10.8,4.1
19800326,0.0,6.4
19800327,0.0,3.9
19800328,0.0,7.9
19800329,0.0,8.4
19800330,0.0,11.4
19800331,4.8,8.6
19800401,0.0,9.6
19800402,0.0,9.9
19800403,0.0,9.8
19800404,12.7,5.6
19800405,18.2,5.8
19800406,0.0,5.8
19800407,10.0,5.7
19800408,1.2,6.7
19800409,0.0,7.8
19800410,0.0,8.2
19800411,0.5,6.2
19800412,0.1,7.3
19800413,0.0,7.3
19800414,0.7,10.2
19800415,0.0,11.1
19800416,0.0,12.6
19800417,0.2,12.1
19800418,0.0,16.1
19800419,0.0,16.7
19800420,0.0,16.9
19800421,0.0,13.0
19800422,11.0,9.5
19800423,0.6,9.1
19800424,0.0,9.6
19800425,0.1,10.4
19800426,0.9,10.9
19800427,0.0,10.9
19800428,0.0,13.3
19800429,0.2,11.6
19800430,0.0,14.2
19800501,0.0,14.4
19800502,0.5,13.4
19800503,1.8,12.8
19800504,0.0,12.6
19800505,0.0,17.8
19800506,0.6,16.4
19800507,0.0,16.9
19800508,0.0,17.9
19800509,12.0,17.6
19800510,0.3,17.2
19800511,0.4,15.4
19800512,0.0,13.2
19800513,0.0,10.1
19800514,0.4,9.8
19800515,6.9,9.2
19800516,0.2,12.4
19800517,5.4,12.7
19800518,0.0,14.3
19800519,0.0,16.3
19800520,21.0,12.6
19800521,9.8,11.7
19800522,0.3,11.7
19800523,2.2,10.5
19800524,7.1,11.4
19800525,21.7,12.4
19800526,0.1,15.5
19800527,0.0,16.3
19800528,0.0,16.1
19800529,0.0,18.9
19800530,0.0,19.4
19800531,1.2,18.1
19800601,0.0,16.3
19800602,0.0,16.1
19800603,19.8,14.3
19800604,0.0,14.4
19800605,2.6,15.4
19800606,0.0,16.4
19800607,0.0,16.3
19800608,0.2,17.1
19800609,0.0,18.7
19800610,35.0,20.2
19800611,1.4,19.7
19800612,0.0,22.1
19800613,0.0,23.0
19800614,0.0,22.0
19800615,0.0,21.3
19800616,10.3,19.1
19800617,2.5,18.6
19800618,1.6,18.3
19800619,0.0,18.9
19800620,0.0,20.1
19800621,0.0,22.3
19800622,0.0,22.9
19800623,0.0,23.9
19800624,0.0,25.1
19800625,0.0,25.2
19800626,0.0,24.2
19800627,0.4,21.2
19800628,3.6,18.2
19800629,0.0,18.8
19800630,0.0,20.7
19800701,0.0,19.2
19800702,0.0,21.0
19800703,5.8,19.8
19800704,0.0,18.3
19800705,7.3,19.4
19800706,0.0,21.0
19800707,0.0,21.8
19800708,0.0,23.6
19800709,0.0,26.2
19800710,0.0,27.2
19800711,0.0,27.0
19800712,30.6,19.9
19800713,15.0,19.7
19800714,0.0,21.1
19800715,0.0,22.8
19800716,0.0,25.2
19800717,0.0,24.1
19800718,0.0,21.9
19800719,9.4,21.3
19800720,0.0,22.9
19800721,0.0,25.6
19800722,0.3,19.6
19800723,0.0,16.8
19800724,0.8,19.4
19800725,0.0,21.3
19800726,0.0,22.6
19800727,0.0,23.3
19800728,8.0,21.1
19800729,0.2,21.6
19800730,0.0,22.3
19800731,0.0,21.1
19800801,0.0,22.9
19800802,0.0,23.1
19800803,0.0,23.3
19800804,0.0,23.6
19800805,0.0,25.9
19800806,0.0,26.9
19800807,0.0,25.9
19800808,0.0,25.9
19800809,0.0,25.7
19800810,0.0,22.7
19800811,2.8,20.6
19800812,0.0,19.4
19800813,0.0,20.4
19800814,23.7,16.3
19800815,5.6,16.3
19800816,0.0,20.6
19800817,1.1,21.1
19800818,0.4,18.7
19800819,1.1,16.9
19800820,11.6,18.4
19800821,0.0,20.7
19800822,0.0,20.6
19800823,0.4,17.9
19800824,1.9,14.4
19800825,5.3,15.8
19800826,0.0,15.7
19800827,0.0,16.7
19800828,0.0,18.2
19800829,0.0,18.7
19800830,0.0,19.0
19800831,0.0,20.3
19800901,0.0,19.9
19800902,16.5,15.6
19800903,12.0,15.1
19800904,0.0,15.5
19800905,0.0,16.9
19800906,0.0,18.6
19800907,0.0,18.3
19800908,0.0,17.7
19800909,0.0,18.9
19800910,0.0,19.9
19800911,2.1,16.8
19800912,0.0,17.2
19800913,0.0,15.9
19800914,0.0,18.6
19800915,7.4,16.8
19800916,0.0,15.2
19800917,0.0,14.8
19800918,0.0,15.2
19800919,0.0,14.8
19800920,0.0,14.3
19800921,0.0,15.1
19800922,0.0,16.3
19800923,0.0,17.8
19800924,0.0,15.6
19800925,0.0,14.9
19800926,0.0,15.2
19800927,0.0,16.3
19800928,2.8,13.4
19800929,0.0,12.6
19800930,0.0,12.1
19801001,4.2,10.5
19801002,3.9,9.6
19801003,0.0,11.4
19801004,1.7,9.7
19801005,0.0,9.0
19801006,0.1,11.3
19801007,0.0,12.7
19801008,0.0,15.7
19801009,0.0,16.6
19801010,0.0,18.4
19801011,2.4,13.1
19801012,0.0,13.5
19801013,0.0,17.5
19801014,5.3,14.6
19801015,0.0,13.4
19801016,0.0,13.3
19801017,0.0,14.8
19801018,0.0,15.1
19801019,1.9,16.4
19801020,11.8,15.2
19801021,1.3,10.9
19801022,0.1,9.9
19801023,1.6,11.4
19801024,0.0,10.9
19801025,0.0,12.6
19801026,0.0,12.5
19801027,0.0,7.7
19801028,0.0,8.3
19801029,0.0,10.1
19801030,0.0,12.9
19801031,0.0,10.2
19801101,0.0,3.9
19801102,3.0,-0.8
19801103,9.8,-0.2
19801104,0.0,0.6
19801105,0.0,0.9
19801106,4.1,2.1
19801107,3.0,5.1
19801108,1.7,2.7
19801109,0.0,2.4
19801110,13.6,3.4
19801111,8.0,0.2
19801112,1.0,0.8
19801113,0.2,2.3
19801114,1.7,3.6
19801115,0.0,5.4
19801116,0.0,8.4
19801117,0.0,8.9
19801118,0.0,8.1
19801119,7.6,8.6
19801120,0.0,4.6
19801121,0.0,1.7
19801122,0.0,4.9
19801123,0.0,6.1
19801124,0.0,8.4
19801125,0.0,8.7
19801126,0.0,10.0
19801127,0.0,7.8
19801128,0.0,5.6
19801129,0.1,5.3
19801130,3.3,4.8
19801201,0.5,3.8
19801202,5.8,-2.4
19801203,0.0,-2.7
19801204,1.8,-1.2
19801205,2.0,-1.9
19801206,0.0,-3.9
19801207,4.5,-0.2
19801208,16.0,-4.3
19801209,4.1,-6.6
19801210,0.0,-6.4
19801211,0.0,-1.5
19801212,0.0,2.4
19801213,0.0,0.6
19801214,0.0,-2.4
19801215,0.0,-0.8
19801216,0.0,0.3
19801217,0.0,0.6
19801218,0.3,0.8
19801219,0.0,0.8
19801220,7.6,3.6
19801221,2.8,5.1
19801222,17.9,5.3
19801223,21.7,5.4
19801224,7.8,3.5
19801225,0.0,0.9
19801226,0.0,-0.5
19801227,0.7,1.1
19801228,5.2,2.6
19801229,1.0,2.1
19801230,0.0,0.1
19801231,0.0,0.9
19810101,0.0,0.9
19810102,0.0,2.6
19810103,0.0,0.4
19810104,0.0,4.7
19810105,9.8,1.9
19810106,5.3,-1.6
19810107,0.5,-7.7
19810108,0.0,-6.2
19810109,5.8,-4.6
19810110,5.8,-4.7
19810111,0.0,-5.2
19810112,0.0,-8.8
19810113,0.0,-5.1
19810114,1.6,-0.3
19810115,0.2,-0.2
19810116,0.0,-0.5
19810117,14.6,0.1
19810118,0.7,-0.6
19810119,1.0,-1.7
19810120,12.3,-0.7
19810121,0.4,-0.4
19810122,0.7,-0.6
19810123,0.0,0.8
19810124,1.8,-0.4
19810125,1.6,-1.6
19810126,0.0,-5.2
19810127,0.0,-3.1
19810128,0.0,-1.0
19810129,9.1,-2.0
19810130,2.3,-1.3
19810131,0.0,-4.9
19810201,0.0,0.6
19810202,0.0,1.4
19810203,0.0,0.1
19810204,0.0,1.8
19810205,0.0,2.3
19810206,15.3,1.1
19810207,0.2,1.6
19810208,0.0,1.6
19810209,0.0,3.3
19810210,0.0,1.9
19810211,0.0,3.3
19810212,2.9,3.1
19810213,20.5,-1.2
19810214,0.0,-2.9
19810215,0.0,-5.3
19810216,0.0,-2.7
19810217,0.0,-1.9
19810218,0.2,-2.8
19810219,0.3,-1.2
19810220,0.0,-3.4
19810221,0.0,-3.3
19810222,0.0,1.8
19810223,0.0,1.4
19810224,0.0,-0.6
19810225,0.0,-2.1
19810226,0.0,-3.8
19810227,0.3,-3.6
19810228,5.2,-3.1
19810301,0.3,-2.7
19810302,0.0,-2.5
19810303,1.9,0.1
19810304,5.7,3.1
19810305,2.7,3.6
19810306,0.0,4.1
19810307,0.0,4.0
19810308,0.0,6.7
19810309,0.0,9.6
19810310,0.1,11.0
19810311,0.1,10.1
19810312,0.0,14.1
19810313,3.0,4.1
19810314,18.7,3.0
19810315,0.0,7.8
19810316,0.0,10.2
19810317,0.8,11.6
19810318,0.0,8.4
19810319,1.5,7.3
19810320,29.0,5.8
19810321,0.0,7.9
19810322,0.0,8.7
19810323,0.0,6.9
19810324,0.0,9.4
19810325,0.0,11.4
19810326,0.0,13.4
19810327,0.0,14.1
19810328,2.6,11.1
19810329,0.0,5.0
19810330,0.0,5.3
19810331,0.0,5.2
19810401,0.0,4.8
19810402,0.0,5.7
19810403,0.0,5.3
19810404,0.0,6.2
19810405,0.0,8.6
19810406,0.0,11.0
19810407,0.0,11.0
19810408,0.0,12.9
19810409,0.0,13.2
19810410,0.0,14.1
19810411,6.9,8.8
19810412,0.0,10.9
19810413,0.0,14.5
19810414,0.0,15.8
19810415,0.0,12.7
19810416,0.0,10.7
19810417,0.0,5.1
19810418,23.6,1.9
19810419,13.4,2.9
19810420,0.0,7.7
19810421,0.0,8.3
19810422,0.0,12.4
19810423,0.0,13.9
19810424,0.0,13.7
19810425,3.4,10.2
19810426,0.8,11.5
19810427,1.9,11.0
19810428,0.0,13.6
19810429,0.0,9.3
19810430,0.0,10.2
19810501,0.0,13.7
19810502,0.0,16.1
19810503,0.0,14.1
19810504,0.5,15.1
19810505,4.1,12.9
19810506,16.8,10.4
19810507,1.2,13.1
19810508,5.4,12.3
19810509,11.5,11.2
19810510,0.8,13.6
19810511,1.2,14.7
19810512,1.6,11.8
19810513,0.0,12.4
19810514,7.4,11.6
19810515,0.0,11.4
19810516,0.0,13.4
19810517,0.0,15.1
19810518,0.0,16.4
19810519,0.0,18.0
19810520,0.0,17.9
19810521,0.0,14.3
19810522,0.0,15.1
19810523,0.0,16.1
19810524,0.0,16.3
19810525,0.0,17.7
19810526,0.0,18.4
19810527,0.0,19.1
19810528,0.0,19.3
19810529,5.3,19.5
19810530,0.0,19.7
19810531,0.0,20.2
19810601,0.0,21.3
