DATE,PRCP,TAVG
19800101,22.6,-1.3
19800102,1.7,-3.1
19800103,0.3,-3.5
19800104,0.7,-5.9
19800105,0.4,-10.6
19800106,0.0,-3.8
19800107,1.4,-2.4
19800108,1.1,-3.6
19800109,0.6,-3.8
19800110,0.0,-3.5
19800111,0.0,-8.6
19800112,0.0,-8.7
19800113,0.1,-9.4
19800114,0.0,-10.8
19800115,0.0,-6.0
19800116,0.1,1.2
19800117,0.8,-2.5
19800118,0.0,-3.3
19800119,0.0,-4.5
19800120,0.0,-1.1
19800121,0.0,2.2
19800122,0.0,0.0
19800123,0.0,-0.4
19800124,3.7,1.5
19800125,7.8,1.6
19800126,1.9,0.4
19800127,0.5,-2.3
19800128,3.2,-6.0
19800129,1.7,-6.9
19800130,2.4,-0.3
19800131,0.0,4.8
19800201,0.0,6.0
19800202,4.8,1.7
19800203,0.0,2.9
19800204,0.5,3.0
19800205,1.9,3.8
19800206,17.6,5.3
19800207,2.4,6.9
19800208,0.0,5.1
19800209,0.0,2.0
19800210,0.0,5.3
19800211,0.1,3.4
19800212,4.7,1.7
19800213,0.0,0.7
19800214,0.0,0.4
19800215,0.0,-1.9
19800216,0.0,-0.7
19800217,0.0,-1.4
19800218,0.8,0.9
19800219,0.0,1.0
19800220,0.0,0.7
19800221,0.0,-2.0
19800222,0.0,-0.8
19800223,0.0,0.3
19800224,0.0,-1.3
19800225,0.0,-1.4
19800226,0.0,-2.2
19800227,0.2,-1.5
19800228,0.0,-3.1
19800229,1.4,-4.2
19800301,0.1,-1.0
19800302,3.6,1.2
19800303,4.3,2.2
19800304,1.6,-1.1
19800305,0.0,-2.8
19800306,0.0,0.9
19800307,0.4,2.1
19800308,0.4,5.1
19800309,6.4,4.6
19800310,0.0,3.4
19800311,0.2,2.8
19800312,0.0,3.2
19800313,0.2,4.8
19800314,0.0,2.4
19800315,0.0,3.1
19800316,0.0,5.3
19800317,0.0,4.0
19800318,0.0,6.0
19800319,0.0,6.4
19800320,0.2,6.4
19800321,11.6,6.1
19800322,2.6,6.7
19800323,11.0,7.4
19800324,0.2,7.4
19800325,0.2,7.3
19800326,0.0,7.6
19800327,0.0,10.0
19800328,0.0,10.0
19800329,0.6,12.8
19800330,1.0,11.5
19800331,2.1,8.0
19800401,0.0,8.5
19800402,0.0,11.8
19800403,17.8,5.0
19800404,3.2,4.5
19800405,0.5,3.6
19800406,0.2,5.8
19800407,3.2,5.7
19800408,6.2,5.5
19800409,0.0,5.4
19800410,1.8,5.3
19800411,0.6,7.7
19800412,0.0,7.1
19800413,0.0,6.4
19800414,0.0,8.1
19800415,0.0,10.4
19800416,0.0,11.5
19800417,0.0,12.8
19800418,0.0,14.5
19800419,3.7,10.9
19800420,15.0,7.4
19800421,4.2,8.6
19800422,4.4,7.4
19800423,0.0,4.7
19800424,0.5,6.6
19800425,0.4,8.7
19800426,0.3,10.3
19800427,0.2,11.9
19800428,0.0,10.8
19800429,0.0,10.5
19800430,0.0,12.3
19800501,0.0,14.7
19800502,1.7,12.5
19800503,0.4,9.4
19800504,0.2,13.3
19800505,0.0,17.7
19800506,36.6,13.1
19800507,0.0,14.0
19800508,0.0,14.9
19800509,2.2,14.0
19800510,3.4,13.4
19800511,0.1,14.6
19800512,14.2,12.0
19800513,2.6,10.9
