DATE,PRCP,TAVG
19800101,-9999.0,-9999.0
19800102,-9999.0,-9999.0
19800103,-9999.0,-9999.0
19800104,-9999.0,-9999.0
19800105,-9999.0,-9999.0
19800106,-9999.0,-9999.0
19800107,-9999.0,-9999.0
19800108,-9999.0,-9999.0
19800109,-9999.0,-9999.0
19800110,-9999.0,-9999.0
19800111,-9999.0,-9999.0
19800112,-9999.0,-9999.0
19800113,-9999.0,-9999.0
19800114,-9999.0,-9999.0
19800115,-9999.0,-9999.0
19800116,-9999.0,-9999.0
19800117,-9999.0,-9999.0
19800118,-9999.0,-9999.0
19800119,-9999.0,-9999.0
19800120,-9999.0,-9999.0
19800121,-9999.0,-9999.0
19800122,-9999.0,-9999.0
19800123,-9999.0,-9999.0
19800124,-9999.0,-9999.0
19800125,-9999.0,-9999.0
19800126,-9999.0,-9999.0
19800127,-9999.0,-9999.0
19800128,-9999.0,-9999.0
19800129,-9999.0,-9999.0
19800130,-9999.0,-9999.0
19800131,-9999.0,-9999.0
19800201,-9999.0,-9999.0
19800202,-9999.0,-9999.0
19800203,-9999.0,-9999.0
19800204,-9999.0,-9999.0
19800205,-9999.0,-9999.0
19800206,-9999.0,-9999.0
19800207,-9999.0,-9999.0
19800208,-9999.0,-9999.0
19800209,-9999.0,-9999.0
19800210,-9999.0,-9999.0
19800211,-9999.0,-9999.0
19800212,-9999.0,-9999.0
19800213,-9999.0,-9999.0
19800214,-9999.0,-9999.0
19800215,-9999.0,-9999.0
19800216,-9999.0,-9999.0
19800217,-9999.0,-9999.0
19800218,-9999.0,-9999.0
19800219,-9999.0,-9999.0
19800220,-9999.0,-9999.0
19800221,-9999.0,-9999.0
19800222,-9999.0,-9999.0
19800223,-9999.0,-9999.0
19800224,-9999.0,-9999.0
19800225,-9999.0,-9999.0
19800226,-9999.0,-9999.0
19800227,-9999.0,-9999.0
19800228,-9999.0,-9999.0
19800229,-9999.0,-9999.0
19800301,-9999.0,-9999.0
19800302,-9999.0,-9999.0
19800303,-9999.0,-9999.0
19800304,-9999.0,-9999.0
19800305,-9999.0,-9999.0
19800306,-9999.0,-9999.0
19800307,-9999.0,-9999.0
19800308,-9999.0,-9999.0
19800309,-9999.0,-9999.0
19800310,-9999.0,-9999.0
19800311,-9999.0,-9999.0
19800312,-9999.0,-9999.0
19800313,-9999.0,-9999.0
19800314,-9999.0,-9999.0
19800315,-9999.0,-9999.0
19800316,-9999.0,-9999.0
19800317,-9999.0,-9999.0
19800318,-9999.0,-9999.0
19800319,-9999.0,-9999.0
19800320,-9999.0,-9999.0
19800321,-9999.0,-9999.0
19800322,-9999.0,-9999.0
19800323,-9999.0,-9999.0
19800324,-9999.0,-9999.0
19800325,-9999.0,-9999.0
19800326,-9999.0,-9999.0
19800327,-9999.0,-9999.0
19800328,-9999.0,-9999.0
19800329,-9999.0,-9999.0
19800330,-9999.0,-9999.0
19800331,-9999.0,-9999.0
19800401,-9999.0,-9999.0
19800402,-9999.0,-9999.0
19800403,-9999.0,-9999.0
