DATE,PRCP,TAVG
19800101,0.2,6.6
19800102,0.0,2.4
19800103,7.9,5.6
19800104,0.1,-0.1
19800105,0.0,-2.5
19800106,0.0,-1.5
19800107,0.0,4.4
19800108,22.5,4.0
19800109,7.7,-3.9
19800110,0.6,-5.0
19800111,0.0,-5.5
19800112,0.0,-5.4
19800113,0.0,-7.8
19800114,0.0,-9.4
19800115,0.0,-1.2
19800116,0.0,1.4
19800117,0.0,-2.0
19800118,0.0,-2.8
19800119,0.0,0.7
19800120,0.0,3.8
19800121,0.0,2.3
19800122,0.0,0.4
19800123,0.0,2.5
19800124,0.0,2.8
19800125,0.3,4.4
19800126,11.2,1.5
19800127,0.0,-0.1
19800128,0.0,-4.2
19800129,0.0,-4.8
19800130,0.0,-3.3
19800131,0.0,4.5
19800201,0.0,6.5
19800202,0.0,4.5
19800203,0.0,2.4
19800204,0.0,2.4
19800205,0.0,3.6
19800206,1.6,2.0
19800207,0.0,1.5
19800208,0.2,3.5
19800209,0.0,2.9
19800210,0.0,2.7
19800211,0.0,2.4
19800212,0.0,2.4
19800213,0.4,0.2
19800214,0.2,-3.2
19800215,1.8,-1.8
19800216,1.4,-1.0
19800217,0.0,-0.3
19800218,0.0,-1.3
19800219,0.0,-1.5
19800220,0.0,-1.3
19800221,0.0,-3.0
19800222,0.0,-0.9
19800223,0.0,0.4
19800224,0.0,0.4
19800225,0.0,-1.0
19800226,0.0,-1.8
19800227,0.0,-1.4
19800228,0.0,-3.1
19800229,0.0,-2.8
19800301,0.0,-3.7
19800302,0.0,0.6
19800303,0.0,4.3
19800304,3.0,-0.5
19800305,0.0,-1.4
19800306,0.0,-0.1
19800307,0.4,3.1
19800308,0.5,5.0
19800309,1.5,5.6
19800310,0.0,5.2
19800311,0.0,3.1
19800312,0.0,1.3
19800313,0.4,-1.2
19800314,0.1,-0.9
19800315,0.3,0.6
19800316,0.0,1.9
19800317,0.0,1.9
19800318,0.0,0.9
19800319,0.0,2.2
19800320,0.0,3.4
19800321,0.1,8.0
19800322,5.8,5.4
19800323,3.6,3.5
19800324,0.9,4.0
19800325,1.1,4.0
19800326,0.0,3.6
19800327,2.7,2.9
19800328,0.9,4.0
19800329,0.0,4.4
19800330,0.0,4.9
19800331,0.2,6.7
19800401,0.3,5.4
19800402,0.0,5.7
19800403,0.0,5.2
19800404,0.0,6.5
19800405,4.2,6.5
19800406,0.0,6.5
19800407,12.3,5.8
19800408,0.2,6.7
19800409,0.0,7.8
19800410,0.0,6.4
19800411,0.0,8.1
19800412,1.6,7.7
19800413,3.0,5.9
19800414,0.0,9.5
19800415,0.0,10.0
19800416,0.0,8.5
19800417,1.0,9.4
19800418,0.0,13.3
19800419,0.0,18.6
19800420,0.0,13.5
19800421,1.5,9.6
19800422,0.0,12.5
19800423,2.8,11.0
19800424,1.5,9.6
19800425,0.0,7.9
19800426,0.0,9.3
19800427,0.0,9.7
19800428,0.0,10.1
19800429,0.0,11.4
19800430,0.0,14.2
19800501,0.0,13.4
19800502,4.0,11.9
19800503,0.0,15.0
19800504,0.0,13.6
19800505,0.0,14.8
19800506,0.0,14.5
19800507,1.1,16.1
19800508,0.0,15.4
19800509,0.0,13.3
19800510,0.0,14.4
19800511,0.0,15.4
19800512,7.3,14.1
19800513,0.0,10.5
19800514,0.9,10.8
19800515,0.9,11.6
19800516,0.0,12.8
19800517,0.0,13.4
19800518,0.0,14.9
19800519,0.0,15.4
19800520,1.8,13.6
19800521,7.8,13.5
19800522,0.0,12.7
19800523,0.0,13.2
19800524,0.7,13.6
19800525,5.1,14.2
19800526,0.1,15.7
19800527,0.0,17.4
19800528,0.0,16.0
19800529,0.0,16.1
19800530,0.0,17.7
19800531,0.0,19.5
19800601,0.0,18.6
19800602,1.7,16.4
19800603,1.7,15.2
19800604,0.0,15.6
19800605,20.8,15.3
19800606,2.8,16.0
19800607,23.6,16.2
19800608,0.0,16.8
19800609,0.0,17.6
