DATE,PRCP,TAVG
19800101,0.2,0.6
19800102,0.0,-0.2
19800103,18.0,-1.5
19800104,7.3,-4.1
19800105,0.0,-8.7
19800106,0.0,-9.8
19800107,8.6,-5.4
19800108,22.8,-1.0
19800109,0.1,-2.6
19800110,0.0,-4.3
19800111,0.2,-5.8
19800112,0.0,-6.1
19800113,0.7,-9.4
19800114,0.0,-16.9
19800115,0.0,-17.7
19800116,0.0,-8.9
19800117,9.8,-4.6
19800118,0.0,-7.3
19800119,0.0,-8.8
19800120,0.0,-8.2
19800121,1.5,-3.7
19800122,0.3,-4.0
19800123,0.0,-3.6
19800124,0.4,-2.0
19800125,3.0,0.4
19800126,0.2,0.7
19800127,0.0,-1.0
19800128,0.0,-6.6
19800129,0.0,-11.0
19800130,0.2,-4.7
19800131,0.0,-2.4
19800201,0.0,-1.0
19800202,0.0,0.7
19800203,0.0,-0.9
19800204,0.0,0.1
19800205,0.0,1.3
19800206,2.9,4.1
19800207,0.0,3.0
19800208,0.0,-0.1
19800209,0.2,1.2
19800210,0.0,0.8
19800211,0.0,1.2
19800212,8.2,0.3
19800213,8.1,0.0
19800214,3.8,-2.4
19800215,0.0,0.1
19800216,0.4,1.8
19800217,0.0,-0.3
19800218,0.0,-0.3
19800219,0.1,-0.3
19800220,0.0,-2.6
19800221,0.0,-3.3
19800222,0.2,-1.9
19800223,0.0,-0.5
19800224,0.0,-0.3
19800225,0.0,-1.4
19800226,0.1,-2.7
19800227,0.0,-1.1
19800228,0.7,-3.1
19800229,0.0,-3.3
19800301,0.0,-1.6
19800302,0.2,1.1
19800303,1.0,2.3
19800304,0.9,1.3
19800305,0.0,-1.0
19800306,0.0,-0.8
19800307,0.2,0.1
19800308,0.0,1.2
19800309,8.0,2.4
19800310,0.0,5.1
19800311,0.0,3.8
19800312,0.0,4.4
19800313,0.8,1.2
19800314,0.0,-1.0
19800315,0.0,-1.0
19800316,0.0,0.5
19800317,0.0,1.6
19800318,0.0,4.7
19800319,0.0,3.6
19800320,0.0,4.4
19800321,7.4,3.7
19800322,9.0,7.7
19800323,13.7,3.1
19800324,18.6,3.3
19800325,0.4,4.2
19800326,0.0,7.1
19800327,1.7,5.7
19800328,0.0,8.6
19800329,0.0,11.4
19800330,0.0,11.1
19800331,3.3,11.3
19800401,0.0,8.9
19800402,0.0,8.7
19800403,3.2,8.0
19800404,11.0,6.6
19800405,0.1,5.5
19800406,0.0,6.2
19800407,6.6,6.8
19800408,1.5,5.9
19800409,0.0,7.2
19800410,0.0,7.9
19800411,1.1,7.2
19800412,2.3,6.4
19800413,0.5,7.4
19800414,0.0,11.1
19800415,0.0,11.2
19800416,0.0,11.2
19800417,0.0,13.6
19800418,0.0,15.3
19800419,0.0,14.6
19800420,0.0,16.3
19800421,2.7,12.1
19800422,15.9,9.4
19800423,0.0,6.8
19800424,0.0,8.6
19800425,0.0,10.0
19800426,0.6,11.2
19800427,0.0,12.4
19800428,0.0,13.4
19800429,0.0,12.7
19800430,0.2,14.4
