DATE,PRCP,TAVG
19800101,13.3,2.1
19800102,0.0,0.3
19800103,15.3,0.3
19800104,0.2,-2.9
19800105,0.1,-5.0
19800106,0.0,-8.1
19800107,0.0,-1.5
19800108,1.4,-2.9
19800109,1.9,-6.0
19800110,0.3,-6.9
19800111,0.0,-7.1
19800112,0.0,-8.1
19800113,0.0,-10.0
19800114,0.0,-11.8
19800115,0.0,-10.0
19800116,0.0,-5.6
19800117,0.0,-5.4
19800118,0.0,-9.5
19800119,0.0,-5.2
19800120,0.0,-1.2
19800121,0.1,-1.4
19800122,0.0,-4.6
19800123,0.0,-1.8
19800124,0.0,-0.1
19800125,2.3,0.9
19800126,2.8,0.3
19800127,0.0,-2.8
19800128,0.0,-7.5
19800129,0.0,-8.3
19800130,0.0,-7.4
19800131,0.0,-0.9
19800201,0.0,3.5
19800202,0.2,1.4
19800203,0.0,-1.0
19800204,0.1,0.2
19800205,0.0,0.5
19800206,1.0,0.4
19800207,0.2,-0.9
19800208,0.3,0.4
19800209,0.2,1.2
19800210,0.1,-0.6
19800211,0.0,-0.9
19800212,0.1,1.5
19800213,0.0,-1.3
19800214,0.0,-4.7
19800215,0.5,-3.1
19800216,0.0,-1.6
19800217,0.0,-2.3
19800218,0.0,-1.5
19800219,0.0,-3.9
19800220,0.0,-2.4
19800221,0.1,-3.4
19800222,0.0,-1.2
19800223,0.1,-0.9
19800224,0.0,0.3
19800225,0.0,-2.5
19800226,0.0,-2.9
19800227,0.7,-3.1
19800228,0.3,-4.2
19800229,0.0,-4.1
19800301,0.4,-4.7
19800302,0.0,0.0
19800303,0.0,2.4
19800304,0.0,-0.1
19800305,0.0,-1.5
19800306,0.0,-1.0
19800307,4.3,1.0
19800308,1.4,2.8
19800309,2.7,4.0
19800310,0.3,3.1
19800311,0.0,2.0
19800312,0.0,0.0
19800313,0.4,-4.3
19800314,0.1,-3.1
19800315,0.2,-1.8
19800316,0.1,-0.6
19800317,0.0,0.6
19800318,0.0,0.1
19800319,0.0,0.7
19800320,0.1,1.1
19800321,0.0,5.8
19800322,1.2,1.0
19800323,5.2,1.0
19800324,5.9,1.4
19800325,7.8,1.5
19800326,0.0,3.4
19800327,0.0,2.2
19800328,0.0,2.4
19800329,0.0,4.4
19800330,0.0,6.6
19800331,4.3,6.1
19800401,0.0,6.1
19800402,0.0,8.6
19800403,0.0,6.9
19800404,4.0,6.6
19800405,30.2,5.8
19800406,1.6,5.9
19800407,15.2,4.1
19800408,2.1,5.2
19800409,0.4,6.7
19800410,0.2,7.2
19800411,0.0,6.1
19800412,0.0,6.1
19800413,1.1,5.7
19800414,0.6,9.0
19800415,0.4,10.4
19800416,2.5,9.3
19800417,8.2,10.0
19800418,0.0,13.6
19800419,4.2,14.4
19800420,0.0,15.0
19800421,0.0,12.3
19800422,0.3,12.4
19800423,0.8,9.9
19800424,0.0,9.7
19800425,0.0,10.9
19800426,0.0,11.1
19800427,0.0,11.9
19800428,0.0,13.0
19800429,0.0,13.1
19800430,1.4,13.4
19800501,0.0,14.5
19800502,0.0,13.3
19800503,1.6,13.1
19800504,0.0,11.8
19800505,0.0,17.1
19800506,0.2,15.9
19800507,3.7,15.2
19800508,0.1,16.8
19800509,0.0,18.5
19800510,0.0,18.9
19800511,0.0,15.3
19800512,0.0,12.6
19800513,0.0,10.5
19800514,4.6,8.2
19800515,0.0,9.6
19800516,0.8,12.3
19800517,0.3,13.4
19800518,0.0,14.6
19800519,3.4,15.0
19800520,5.7,13.3
19800521,13.3,11.4
19800522,0.1,12.5
19800523,1.4,11.2
19800524,1.4,11.8
19800525,25.6,11.9
19800526,1.9,15.0
19800527,0.0,16.1
19800528,0.0,17.1
19800529,0.0,17.2
19800530,0.0,17.8
19800531,0.0,20.0
19800601,0.0,16.6
19800602,0.0,17.3
19800603,6.3,14.6
19800604,2.2,12.7
19800605,4.9,15.5
19800606,4.9,15.8
19800607,5.7,15.9
19800608,0.0,16.2
19800609,0.0,18.4
19800610,0.0,19.4
19800611,5.8,20.4
19800612,1.1,20.9
19800613,6.8,20.5
19800614,1.4,20.0
19800615,0.0,18.3
19800616,4.6,17.1
19800617,3.5,16.2
19800618,0.0,17.9
19800619,0.0,19.1
19800620,0.0,19.6
19800621,3.1,19.5
19800622,0.0,21.8
19800623,0.0,22.3
19800624,0.0,24.2
19800625,0.0,23.5
19800626,0.2,22.0
19800627,0.0,21.6
19800628,23.7,17.8
19800629,0.0,18.2
19800630,1.8,20.0
19800701,0.0,17.8
19800702,0.0,20.1
19800703,12.6,18.9
19800704,1.2,18.1
19800705,0.0,19.7
19800706,0.0,20.3
19800707,0.0,22.1
19800708,0.0,23.8
19800709,0.0,25.1
19800710,0.0,26.6
19800711,0.0,25.4
19800712,15.4,20.6
19800713,8.3,19.1
19800714,0.0,21.1
19800715,0.0,22.1
19800716,0.0,24.5
19800717,0.0,23.8
19800718,0.0,20.8
19800719,0.0,20.5
19800720,0.0,23.1
19800721,0.0,24.6
19800722,0.0,21.4
19800723,0.0,18.4
19800724,2.3,15.7
19800725,0.0,21.2
19800726,0.1,21.8
19800727,2.2,22.0
19800728,0.1,21.6
19800729,2.4,20.4
19800730,0.0,20.6
19800731,3.2,20.6
19800801,0.0,24.4
19800802,0.0,22.6
19800803,0.0,23.4
19800804,0.0,23.9
19800805,0.0,25.6
19800806,0.0,26.5
19800807,0.0,24.8
19800808,0.0,24.8
19800809,0.0,26.5
19800810,0.0,22.6
19800811,0.0,20.3
19800812,0.0,20.7
19800813,0.0,22.5
19800814,19.5,16.6
19800815,0.0,16.5
19800816,0.0,18.2
19800817,0.0,19.9
19800818,0.3,17.4
19800819,0.0,16.0
19800820,0.0,17.5
19800821,0.0,20.2
19800822,0.0,21.0
19800823,0.0,20.5
19800824,0.0,16.9
19800825,1.0,16.0
19800826,0.0,15.2
19800827,0.0,17.0
19800828,0.0,18.9
19800829,0.0,18.9
19800830,0.0,19.6
19800831,0.0,20.6
19800901,0.0,20.0
19800902,2.3,17.3
19800903,0.0,14.4
19800904,0.0,15.2
19800905,0.0,15.9
19800906,0.0,18.4
19800907,0.0,18.9
19800908,0.0,19.8
19800909,0.0,19.5
19800910,0.0,20.6
19800911,1.8,17.2
19800912,0.0,17.0
19800913,0.0,15.3
19800914,0.0,16.6
19800915,14.8,15.9
19800916,3.0,13.0
19800917,0.1,13.9
19800918,0.0,14.9
19800919,0.0,15.4
19800920,0.0,14.6
19800921,0.0,15.0
19800922,0.0,17.5
19800923,0.0,15.4
19800924,0.0,13.9
19800925,0.0,15.3
19800926,0.0,14.5
19800927,0.2,14.5
19800928,5.7,13.0
19800929,0.6,11.3
19800930,0.0,11.8
19801001,6.5,8.9
19801002,3.3,8.9
19801003,5.7,10.9
19801004,0.0,8.1
19801005,0.0,9.8
19801006,1.6,11.8
19801007,0.0,13.6
19801008,0.0,17.8
19801009,0.0,18.4
19801010,0.0,18.2
19801011,0.9,14.1
19801012,0.0,11.4
19801013,0.0,14.6
19801014,9.0,16.0
19801015,0.0,13.1
19801016,0.0,14.5
19801017,0.0,14.9
19801018,0.0,15.5
19801019,1.1,15.1
19801020,1.8,14.8
19801021,0.2,10.3
19801022,0.0,8.1
19801023,0.0,10.0
19801024,0.0,12.2
19801025,0.0,12.6
19801026,0.0,13.4
19801027,0.0,6.5
19801028,0.0,6.0
19801029,0.0,11.2
19801030,0.0,11.4
19801031,0.1,10.0
19801101,0.0,2.7
19801102,2.4,-1.4
19801103,13.8,-1.3
19801104,0.0,-1.4
19801105,0.5,0.3
19801106,5.6,1.1
19801107,5.5,5.9
19801108,0.3,1.0
19801109,0.0,0.6
19801110,12.5,2.4
19801111,0.0,1.1
19801112,0.0,1.0
19801113,0.0,2.3
19801114,1.4,2.6
19801115,0.0,4.4
19801116,0.0,4.6
19801117,0.1,9.0
19801118,0.0,8.0
19801119,5.6,8.2
19801120,0.4,3.5
19801121,0.0,0.8
19801122,0.0,0.1
19801123,0.0,4.7
19801124,0.0,6.9
19801125,0.0,7.5
19801126,0.0,7.1
19801127,0.0,7.0
19801128,0.0,6.3
19801129,0.0,8.4
19801130,6.4,5.8
19801201,8.2,2.2
19801202,12.9,-2.6
19801203,0.0,-2.6
19801204,9.8,-0.6
19801205,4.4,-3.8
19801206,0.0,-4.7
19801207,0.8,0.5
19801208,2.8,-6.1
19801209,1.8,-7.1
19801210,0.0,-4.1
19801211,0.0,-1.9
19801212,0.0,2.1
19801213,0.0,2.0
19801214,0.4,-1.4
19801215,0.0,-1.5
19801216,0.0,1.0
19801217,0.2,1.7
19801218,1.0,0.4
19801219,0.0,3.4
19801220,4.7,5.5
19801221,1.3,8.0
19801222,6.5,6.1
19801223,20.1,5.1
19801224,1.2,4.3
19801225,0.0,1.7
19801226,0.0,-1.0
19801227,0.0,1.6
19801228,1.6,3.1
19801229,0.5,1.4
19801230,0.0,0.1
19801231,0.0,0.0
19810101,0.0,1.1
19810102,0.0,2.2
19810103,0.0,-0.8
19810104,0.0,3.2
19810105,10.5,1.2
19810106,0.0,-2.7
19810107,0.0,-6.0
19810108,0.0,-9.5
19810109,0.4,-9.1
19810110,0.9,-7.1
19810111,0.0,-3.8
19810112,0.0,-3.6
19810113,0.0,-2.4
19810114,0.1,1.1
19810115,1.6,-0.5
19810116,0.0,-0.8
19810117,3.7,-0.6
19810118,4.7,-2.4
19810119,0.4,-4.0
19810120,18.9,-0.4
19810121,0.1,0.4
19810122,0.0,-1.4
19810123,0.0,-0.8
19810124,0.1,-1.5
19810125,0.1,-1.6
19810126,0.2,-4.7
19810127,0.0,-3.6
19810128,0.1,-1.0
19810129,0.8,-4.0
19810130,0.0,-6.0
19810131,0.0,-3.1
19810201,0.0,1.7
19810202,0.0,2.5
19810203,0.0,1.3
19810204,0.0,1.1
19810205,0.0,3.4
19810206,5.3,1.8
19810207,0.2,1.2
19810208,0.1,1.3
19810209,0.0,4.1
19810210,0.0,3.4
19810211,0.0,3.6
19810212,2.8,3.2
19810213,5.6,-1.4
19810214,0.0,-2.7
19810215,0.0,-3.5
19810216,0.1,-1.0
19810217,2.2,-4.4
19810218,0.9,-2.9
19810219,0.1,-1.2
19810220,0.0,-3.6
19810221,0.0,-1.5
19810222,0.0,2.4
19810223,0.0,2.4
19810224,0.0,-1.5
19810225,0.0,-4.4
19810226,0.0,-5.0
19810227,1.2,-5.3
19810228,1.1,-3.9
19810301,0.0,-3.8
19810302,0.0,-3.8
19810303,0.6,0.9
19810304,2.4,3.4
19810305,2.5,2.9
19810306,0.0,1.4
19810307,0.0,2.8
19810308,0.0,6.0
19810309,0.0,7.6
19810310,0.2,9.3
19810311,1.4,5.6
19810312,0.4,10.7
19810313,1.4,2.9
19810314,4.2,1.4
19810315,0.0,4.9
19810316,0.0,9.0
19810317,0.6,9.2
19810318,2.9,6.5
19810319,0.2,7.2
19810320,24.5,4.9
19810321,0.4,7.8
19810322,0.0,8.0
19810323,0.0,5.9
19810324,0.0,7.6
19810325,0.0,9.8
19810326,0.0,12.2
19810327,0.0,12.5
19810328,0.0,9.1
19810329,0.0,4.9
19810330,0.0,4.5
19810331,0.0,4.6
19810401,0.0,4.7
19810402,0.0,5.5
19810403,0.0,4.3
19810404,0.0,4.5
19810405,0.0,6.9
19810406,0.0,9.6
19810407,0.0,10.8
19810408,0.0,11.9
19810409,0.0,11.4
19810410,0.0,11.1
19810411,13.0,10.4
19810412,0.0,11.1
19810413,0.0,14.6
19810414,0.0,13.6
19810415,0.0,10.8
19810416,2.0,6.7
19810417,2.9,3.2
19810418,3.0,3.1
19810419,9.2,2.0
19810420,0.2,5.5
19810421,0.0,7.3
19810422,0.0,11.0
19810423,0.0,12.3
19810424,0.0,13.6
19810425,6.8,9.1
19810426,0.0,8.3
19810427,0.2,11.4
19810428,4.5,10.3
19810429,0.8,8.6
19810430,0.0,8.0
19810501,0.1,10.5
19810502,0.0,15.4
19810503,0.0,13.0
19810504,0.0,14.7
19810505,12.9,13.8
19810506,11.0,12.9
19810507,9.8,11.6
19810508,11.1,11.9
19810509,11.6,12.0
19810510,4.2,13.4
19810511,1.4,13.8
19810512,0.0,13.2
19810513,0.0,14.4
19810514,6.9,11.6
19810515,0.0,11.9
19810516,0.0,14.4
19810517,0.0,15.6
19810518,0.0,17.0
19810519,0.0,17.9
19810520,0.2,16.9
19810521,0.0,16.6
19810522,0.0,14.6
19810523,0.0,16.4
19810524,0.0,17.0
19810525,0.0,17.1
19810526,0.0,18.2
19810527,0.0,17.8
19810528,0.0,19.1
19810529,3.5,18.8
19810530,0.0,19.8
19810531,0.0,21.0
19810601,0.0,20.7
19810602,0.0,22.4
19810603,0.0,21.8
19810604,0.0,21.9
19810605,0.0,21.9
19810606,0.0,22.1
19810607,0.0,22.5
19810608,0.0,22.8
19810609,0.0,23.6
19810610,0.0,24.5
19810611,0.0,26.8
19810612,0.0,26.2
19810613,2.6,21.0
19810614,0.0,15.5
19810615,0.0,17.3
19810616,0.0,21.6
19810617,6.0,18.1
19810618,1.6,15.4
19810619,0.0,21.5
19810620,3.6,20.6
19810621,27.7,15.1
19810622,5.9,17.0
19810623,0.0,22.0
19810624,0.2,22.6
19810625,0.3,22.4
19810626,0.0,22.7
19810627,0.0,25.2
19810628,0.0,24.6
19810629,0.0,25.4
19810630,0.0,25.7
19810701,0.0,20.7
19810702,0.0,20.1
19810703,0.0,21.4
19810704,0.0,22.4
19810705,3.5,16.9
19810706,0.0,15.1
19810707,0.0,17.3
19810708,0.0,17.1
19810709,1.8,18.5
19810710,0.0,20.9
19810711,3.7,20.2
19810712,0.2,21.4
19810713,0.0,22.0
19810714,0.0,22.1
19810715,0.0,22.1
19810716,0.0,21.5
19810717,0.0,22.3
19810718,0.0,24.2
19810719,0.0,24.4
19810720,0.0,26.1
19810721,0.4,20.2
19810722,0.2,19.9
19810723,0.0,22.3
19810724,0.0,23.2
19810725,0.0,24.2
19810726,0.0,25.3
19810727,0.0,23.4
19810728,0.0,19.8
19810729,0.0,20.0
19810730,0.0,20.6
19810731,0.1,22.1
19810801,0.0,21.6
19810802,0.0,24.8
19810803,0.0,27.8
19810804,0.0,23.3
19810805,0.0,21.9
19810806,0.0,23.9
19810807,0.0,25.2
19810808,0.0,24.6
19810809,0.0,26.7
19810810,0.0,25.5
19810811,0.0,25.8
19810812,0.1,23.6
19810813,24.5,21.0
19810814,0.0,21.8
19810815,0.0,22.6
19810816,0.0,23.1
19810817,0.0,23.9
19810818,0.0,20.1
19810819,1.4,18.1
19810820,0.0,20.1
19810821,0.0,22.6
19810822,0.0,23.2
19810823,0.0,19.1
19810824,0.0,19.5
19810825,19.1,13.1
19810826,0.2,15.9
19810827,0.0,16.8
19810828,2.6,15.4
19810829,3.7,14.7
19810830,0.0,16.1
19810831,0.0,16.0
19810901,0.0,19.0
19810902,0.0,19.9
19810903,0.0,17.8
19810904,0.0,17.1
19810905,0.0,18.1
19810906,0.0,17.8
19810907,0.0,17.4
19810908,0.1,17.9
19810909,0.0,18.4
19810910,0.0,19.3
19810911,0.0,19.9
19810912,3.0,16.3
19810913,0.2,15.0
19810914,0.0,15.9
19810915,2.4,16.2
19810916,9.6,10.4
19810917,0.0,11.8
19810918,0.0,11.2
19810919,0.0,13.0
19810920,0.0,16.8
19810921,0.0,19.8
19810922,0.0,19.5
19810923,0.0,19.6
19810924,0.0,19.3
19810925,0.0,16.9
19810926,0.0,19.1
19810927,0.0,19.3
19810928,0.1,17.9
19810929,0.0,18.6
19810930,0.0,17.4
19811001,6.5,15.8
19811002,4.4,15.7
19811003,0.0,17.5
19811004,0.0,16.4
19811005,0.0,18.4
19811006,0.0,18.8
19811007,0.0,19.1
19811008,0.0,17.1
19811009,0.0,14.0
19811010,0.0,15.5
19811011,0.0,17.1
