DATE,PRCP,TAVG
19800101,4.8,-1.9
19800102,0.0,-2.4
19800103,4.2,-4.9
19800104,2.9,-2.0
19800105,4.5,-4.4
19800106,0.1,-10.3
19800107,0.0,-8.8
19800108,0.1,-4.3
19800109,0.1,-8.5
19800110,0.1,-9.4
19800111,0.2,-8.9
19800112,0.1,-10.7
19800113,0.4,-9.3
19800114,0.0,-12.4
19800115,0.0,-8.9
19800116,0.0,-9.3
19800117,0.0,-8.0
19800118,0.0,-13.1
19800119,0.0,-12.3
19800120,0.0,-11.1
19800121,0.1,-4.8
19800122,0.0,-7.2
19800123,0.0,-3.6
19800124,0.1,1.1
19800125,0.2,0.0
19800126,0.0,-2.4
19800127,0.1,-4.8
19800128,0.3,-11.0
19800129,0.0,-8.1
19800130,0.0,-9.2
19800131,0.0,-0.4
19800201,0.0,0.8
19800202,4.0,-1.4
19800203,0.0,-2.8
19800204,0.0,0.4
19800205,0.0,0.3
19800206,0.0,0.2
19800207,0.0,0.2
19800208,0.0,-0.3
19800209,0.0,0.9
19800210,0.0,0.0
19800211,0.0,-0.2
19800212,0.2,1.2
19800213,0.0,-2.8
19800214,0.0,-6.9
19800215,0.0,-5.2
19800216,0.0,-6.1
19800217,0.0,-3.4
19800218,0.0,-2.0
19800219,0.0,-3.4
19800220,0.0,-5.5
19800221,0.1,-2.8
19800222,0.0,-1.9
19800223,0.2,-1.8
19800224,0.0,-2.2
19800225,0.0,-3.7
19800226,0.2,-3.8
19800227,3.4,-4.6
19800228,0.8,-5.1
19800229,5.2,-8.4
19800301,0.2,-9.6
19800302,0.0,-1.6
19800303,0.0,-0.5
19800304,0.0,-1.9
19800305,0.0,-3.6
19800306,0.0,-1.6
19800307,0.0,1.3
19800308,0.1,0.9
19800309,2.7,1.0
19800310,4.7,0.9
19800311,0.0,0.0
19800312,0.0,-0.5
19800313,2.6,-4.6
19800314,1.1,-3.6
19800315,0.4,-2.9
19800316,0.0,-0.1
19800317,0.0,1.8
19800318,0.0,1.2
19800319,1.2,-1.6
19800320,5.9,-2.9
19800321,0.0,2.2
19800322,2.5,-1.0
19800323,8.0,-1.1
19800324,5.2,0.0
19800325,9.4,0.9
19800326,0.0,1.2
19800327,0.0,1.0
19800328,0.0,0.3
19800329,0.0,3.0
19800330,0.0,5.7
19800331,9.6,5.8
19800401,0.0,5.8
19800402,0.0,9.2
19800403,0.0,6.3
19800404,2.7,6.0
19800405,15.6,6.1
19800406,7.5,3.9
19800407,24.7,4.4
19800408,2.8,4.0
19800409,0.0,6.1
19800410,0.0,7.9
19800411,0.0,5.2
19800412,0.2,3.7
19800413,1.3,6.8
19800414,0.3,10.0
19800415,1.8,10.0
19800416,0.0,8.8
19800417,0.0,11.6
19800418,0.0,13.3
19800419,0.0,13.1
19800420,0.2,12.1
19800421,1.6,8.8
