DATE,PRCP,TAVG
19800101,6.1,-9999.0
19800102,2.5,-9999.0
19800103,5.4,-9999.0
19800104,3.1,-9999.0
19800105,0.4,-9999.0
19800106,0.0,-9999.0
19800107,0.0,-9999.0
19800108,3.4,-9999.0
19800109,1.9,-9999.0
19800110,0.0,-9999.0
19800111,0.2,-9999.0
19800112,0.0,-9999.0
19800113,0.0,-9999.0
19800114,0.0,-9999.0
19800115,0.0,-9999.0
19800116,0.0,-9999.0
19800117,0.0,-9999.0
19800118,0.0,-9999.0
19800119,0.0,-9999.0
19800120,0.0,-9999.0
19800121,0.0,-9999.0
19800122,0.0,-9999.0
19800123,0.0,-9999.0
19800124,1.1,-9999.0
19800125,8.0,-9999.0
19800126,1.6,-9999.0
19800127,1.2,-9999.0
19800128,0.0,-9999.0
19800129,0.0,-9999.0
19800130,0.0,-9999.0
19800131,0.0,-9999.0
19800201,0.0,-9999.0
19800202,0.4,-9999.0
19800203,0.0,-9999.0
19800204,0.0,-9999.0
19800205,0.7,-9999.0
19800206,0.0,-9999.0
19800207,0.0,-9999.0
19800208,0.0,-9999.0
19800209,0.0,-9999.0
19800210,0.0,-9999.0
19800211,0.0,-9999.0
19800212,3.4,-9999.0
19800213,0.3,-9999.0
19800214,0.0,-9999.0
19800215,0.0,-9999.0
19800216,0.0,-9999.0
19800217,0.0,-9999.0
19800218,0.0,-9999.0
19800219,0.0,-9999.0
19800220,0.0,-9999.0
19800221,0.0,-9999.0
19800222,0.0,-9999.0
19800223,0.0,-9999.0
19800224,0.0,-9999.0
19800225,0.0,-9999.0
19800226,0.0,-9999.0
19800227,0.0,-9999.0
19800228,0.2,-9999.0
19800229,2.1,-9999.0
19800301,0.9,-9999.0
19800302,0.2,-9999.0
19800303,0.2,-9999.0
19800304,0.0,-9999.0
19800305,0.4,-9999.0
19800306,0.0,-9999.0
19800307,0.0,-9999.0
19800308,0.0,-9999.0
19800309,4.2,-9999.0
19800310,4.4,-9999.0
19800311,0.0,-9999.0
19800312,0.0,-9999.0
19800313,0.0,-9999.0
19800314,0.0,-9999.0
19800315,0.0,-9999.0
19800316,0.0,-9999.0
19800317,0.0,-9999.0
19800318,0.0,-9999.0
19800319,0.0,-9999.0
19800320,7.4,-9999.0
19800321,4.7,-9999.0
19800322,0.0,-9999.0
19800323,3.1,-9999.0
19800324,13.5,-9999.0
19800325,3.8,-9999.0
19800326,0.0,-9999.0
19800327,0.0,-9999.0
19800328,0.0,-9999.0
19800329,0.0,-9999.0
19800330,0.0,-9999.0
19800331,0.2,-9999.0
19800401,0.0,-9999.0
19800402,0.0,-9999.0
19800403,1.4,-9999.0
19800404,9.7,-9999.0
19800405,13.3,-9999.0
19800406,3.5,-9999.0
19800407,5.1,-9999.0
19800408,0.0,-9999.0
19800409,0.1,-9999.0
19800410,0.0,-9999.0
19800411,1.1,-9999.0
19800412,1.0,-9999.0
19800413,0.0,-9999.0
19800414,0.0,-9999.0
19800415,0.0,-9999.0
19800416,0.0,-9999.0
19800417,0.5,-9999.0
19800418,0.0,-9999.0
19800419,0.9,-9999.0
19800420,0.5,-9999.0
19800421,0.2,-9999.0
19800422,5.3,-9999.0
19800423,3.3,-9999.0
19800424,0.0,-9999.0
19800425,0.0,-9999.0
19800426,0.0,-9999.0
19800427,0.0,-9999.0
19800428,0.0,-9999.0
19800429,0.0,-9999.0
19800430,0.8,-9999.0
19800501,0.0,-9999.0
19800502,0.0,-9999.0
19800503,1.2,-9999.0
19800504,0.0,-9999.0
19800505,0.0,-9999.0
19800506,3.4,-9999.0
19800507,3.0,-9999.0
19800508,0.0,-9999.0
19800509,0.0,-9999.0
19800510,1.0,-9999.0
19800511,2.4,-9999.0
19800512,0.0,-9999.0
19800513,1.1,-9999.0
19800514,0.9,-9999.0
19800515,0.2,-9999.0
19800516,3.8,-9999.0
19800517,3.2,-9999.0
19800518,6.4,-9999.0
19800519,0.7,-9999.0
19800520,10.9,-9999.0
19800521,1.7,-9999.0
19800522,0.0,-9999.0
19800523,0.3,-9999.0
19800524,8.0,-9999.0
19800525,2.9,-9999.0
19800526,0.0,-9999.0
19800527,0.0,-9999.0
19800528,0.0,-9999.0
19800529,0.0,-9999.0
19800530,3.0,-9999.0
19800531,25.6,-9999.0
19800601,0.0,-9999.0
19800602,0.0,-9999.0
19800603,1.3,-9999.0
19800604,6.8,-9999.0
19800605,1.2,-9999.0
19800606,0.0,-9999.0
19800607,2.8,-9999.0
19800608,0.2,-9999.0
19800609,0.0,-9999.0
19800610,1.7,-9999.0
19800611,2.9,-9999.0
19800612,0.0,-9999.0
19800613,0.0,-9999.0
19800614,0.0,-9999.0
19800615,0.0,-9999.0
19800616,23.7,-9999.0
19800617,9.4,-9999.0
19800618,0.5,-9999.0
19800619,0.7,-9999.0
19800620,0.0,-9999.0
19800621,2.4,-9999.0
19800622,0.0,-9999.0
19800623,0.0,-9999.0
19800624,10.8,-9999.0
19800625,3.3,-9999.0
19800626,0.1,-9999.0
19800627,4.9,-9999.0
19800628,0.5,-9999.0
19800629,0.0,-9999.0
19800630,5.4,-9999.0
19800701,0.0,-9999.0
19800702,0.0,-9999.0
19800703,4.2,-9999.0
19800704,0.0,-9999.0
19800705,0.0,-9999.0
19800706,0.0,-9999.0
19800707,0.0,-9999.0
19800708,0.0,-9999.0
19800709,0.0,-9999.0
19800710,0.0,-9999.0
19800711,0.0,-9999.0
19800712,35.7,-9999.0
19800713,22.3,-9999.0
19800714,0.0,-9999.0
19800715,0.0,-9999.0
19800716,0.0,-9999.0
19800717,0.0,-9999.0
19800718,3.5,-9999.0
19800719,0.0,-9999.0
19800720,0.0,-9999.0
19800721,0.0,-9999.0
19800722,22.8,-9999.0
19800723,0.0,-9999.0
19800724,4.6,-9999.0
19800725,2.5,-9999.0
19800726,12.5,-9999.0
19800727,1.5,-9999.0
19800728,5.3,-9999.0
19800729,1.0,-9999.0
19800730,9.8,-9999.0
19800731,0.4,-9999.0
19800801,1.9,-9999.0
19800802,2.9,-9999.0
19800803,0.0,-9999.0
19800804,0.0,-9999.0
19800805,0.0,-9999.0
19800806,0.0,-9999.0
19800807,1.9,-9999.0
19800808,0.0,-9999.0
19800809,0.0,-9999.0
19800810,0.0,-9999.0
19800811,0.0,-9999.0
19800812,0.0,-9999.0
19800813,9.2,-9999.0
19800814,14.0,-9999.0
19800815,18.2,-9999.0
19800816,0.5,-9999.0
19800817,0.0,-9999.0
19800818,0.0,-9999.0
19800819,1.4,-9999.0
19800820,2.8,-9999.0
19800821,0.0,-9999.0
19800822,0.0,-9999.0
19800823,0.0,-9999.0
19800824,0.0,-9999.0
19800825,1.1,-9999.0
19800826,3.7,-9999.0
19800827,0.0,-9999.0
19800828,0.0,-9999.0
19800829,0.0,-9999.0
19800830,0.0,-9999.0
19800831,0.0,-9999.0
19800901,3.8,-9999.0
19800902,6.2,-9999.0
19800903,1.1,-9999.0
19800904,0.0,-9999.0
19800905,0.0,-9999.0
19800906,0.0,-9999.0
19800907,0.0,-9999.0
19800908,0.0,-9999.0
19800909,0.0,-9999.0
19800910,0.0,-9999.0
19800911,1.0,-9999.0
19800912,1.0,-9999.0
19800913,0.0,-9999.0
19800914,0.0,-9999.0
19800915,2.4,-9999.0
19800916,1.0,-9999.0
19800917,0.1,-9999.0
19800918,0.0,-9999.0
19800919,0.0,-9999.0
19800920,0.0,-9999.0
19800921,0.0,-9999.0
19800922,0.0,-9999.0
19800923,0.0,-9999.0
19800924,0.0,-9999.0
19800925,0.0,-9999.0
19800926,1.5,-9999.0
