DATE,PRCP,TAVG
19800101,20.0,-9999.0
19800102,3.4,-9999.0
19800103,0.8,-9999.0
19800104,0.0,-9999.0
19800105,2.2,-9999.0
19800106,0.0,-9999.0
19800107,0.0,-9999.0
19800108,2.9,-9999.0
19800109,0.0,-9999.0
19800110,0.0,-9999.0
19800111,0.0,-9999.0
19800112,0.0,-9999.0
19800113,0.0,-9999.0
19800114,0.0,-9999.0
19800115,0.0,-9999.0
19800116,0.0,-9999.0
19800117,0.0,-9999.0
19800118,0.0,-9999.0
19800119,0.0,-9999.0
19800120,0.0,-9999.0
19800121,0.0,-9999.0
19800122,0.0,-9999.0
19800123,0.0,-9999.0
19800124,3.8,-9999.0
19800125,13.6,-9999.0
19800126,2.7,-9999.0
19800127,0.2,-9999.0
19800128,0.0,-9999.0
19800129,0.0,-9999.0
19800130,0.0,-9999.0
19800131,0.5,-9999.0
19800201,0.4,-9999.0
19800202,6.4,-9999.0
19800203,0.0,-9999.0
19800204,0.0,-9999.0
19800205,1.8,-9999.0
19800206,0.8,-9999.0
19800207,0.0,-9999.0
19800208,0.0,-9999.0
19800209,0.0,-9999.0
19800210,0.0,-9999.0
19800211,0.0,-9999.0
19800212,0.8,-9999.0
19800213,0.0,-9999.0
19800214,0.0,-9999.0
19800215,0.0,-9999.0
19800216,0.0,-9999.0
19800217,0.0,-9999.0
19800218,0.0,-9999.0
19800219,0.0,-9999.0
19800220,0.0,-9999.0
19800221,0.0,-9999.0
19800222,0.0,-9999.0
19800223,0.0,-9999.0
19800224,0.0,-9999.0
19800225,0.0,-9999.0
19800226,0.0,-9999.0
19800227,0.0,-9999.0
19800228,0.0,-9999.0
19800229,0.1,-9999.0
19800301,0.5,-9999.0
19800302,1.9,-9999.0
19800303,1.9,-9999.0
19800304,1.0,-9999.0
19800305,0.0,-9999.0
19800306,0.0,-9999.0
19800307,0.0,-9999.0
19800308,0.0,-9999.0
19800309,1.0,-9999.0
19800310,7.2,-9999.0
19800311,0.0,-9999.0
19800312,0.0,-9999.0
19800313,0.0,-9999.0
19800314,0.0,-9999.0
19800315,0.0,-9999.0
19800316,0.0,-9999.0
19800317,0.0,-9999.0
19800318,0.0,-9999.0
19800319,1.6,-9999.0
19800320,3.2,-9999.0
19800321,6.3,-9999.0
19800322,3.8,-9999.0
19800323,0.0,-9999.0
19800324,1.9,-9999.0
19800325,0.5,-9999.0
19800326,1.7,-9999.0
19800327,0.0,-9999.0
19800328,0.0,-9999.0
19800329,0.0,-9999.0
19800330,14.9,-9999.0
19800331,6.0,-9999.0
19800401,0.0,-9999.0
19800402,0.1,-9999.0
19800403,6.4,-9999.0
19800404,10.8,-9999.0
19800405,9.7,-9999.0
19800406,4.1,-9999.0
19800407,0.8,-9999.0
19800408,0.0,-9999.0
19800409,0.2,-9999.0
19800410,4.4,-9999.0
19800411,0.0,-9999.0
19800412,0.4,-9999.0
19800413,0.0,-9999.0
19800414,0.0,-9999.0
19800415,0.0,-9999.0
19800416,0.0,-9999.0
19800417,0.0,-9999.0
19800418,0.0,-9999.0
19800419,7.5,-9999.0
19800420,11.1,-9999.0
19800421,7.0,-9999.0
19800422,9.9,-9999.0
19800423,0.2,-9999.0
19800424,2.0,-9999.0
19800425,0.7,-9999.0
19800426,0.0,-9999.0
19800427,0.6,-9999.0
19800428,0.0,-9999.0
19800429,0.4,-9999.0
19800430,1.1,-9999.0
19800501,0.0,-9999.0
19800502,3.1,-9999.0
19800503,10.3,-9999.0
19800504,1.9,-9999.0
19800505,17.8,-9999.0
19800506,14.3,-9999.0
19800507,4.7,-9999.0
19800508,0.2,-9999.0
19800509,0.0,-9999.0
19800510,9.8,-9999.0
19800511,0.4,-9999.0
19800512,0.0,-9999.0
19800513,0.0,-9999.0
19800514,1.6,-9999.0
19800515,0.0,-9999.0
19800516,1.2,-9999.0
19800517,0.1,-9999.0
19800518,3.2,-9999.0
19800519,9.9,-9999.0
19800520,0.0,-9999.0
19800521,0.0,-9999.0
19800522,5.1,-9999.0
19800523,6.7,-9999.0
19800524,3.9,-9999.0
19800525,2.7,-9999.0
19800526,0.0,-9999.0
19800527,0.0,-9999.0
19800528,0.0,-9999.0
19800529,0.5,-9999.0
19800530,12.9,-9999.0
19800531,23.5,-9999.0
19800601,6.2,-9999.0
19800602,0.0,-9999.0
19800603,0.0,-9999.0
19800604,4.3,-9999.0
19800605,4.4,-9999.0
19800606,4.0,-9999.0
19800607,3.3,-9999.0
19800608,0.7,-9999.0
19800609,0.0,-9999.0
19800610,0.6,-9999.0
19800611,2.0,-9999.0
19800612,10.3,-9999.0
19800613,0.3,-9999.0
