DATE,PRCP,TAVG
19800101,13.9,-2.0
19800102,0.0,-4.9
19800103,13.3,-5.6
19800104,10.5,-5.1
19800105,0.9,-11.7
19800106,0.0,-15.8
19800107,0.0,-9.4
19800108,2.0,-4.6
19800109,0.6,-2.6
19800110,0.5,-2.7
19800111,0.1,-4.2
19800112,0.0,-12.6
19800113,0.0,-19.4
19800114,0.0,-19.4
19800115,0.0,-17.3
19800116,0.3,-6.7
19800117,4.5,-2.7
19800118,0.0,-8.5
19800119,0.0,-12.8
19800120,0.0,-14.8
19800121,0.0,-10.3
19800122,0.0,-5.6
19800123,0.0,-8.6
19800124,0.0,0.5
19800125,2.1,1.2
19800126,0.0,0.1
19800127,0.0,-2.4
19800128,1.6,-8.9
19800129,0.2,-12.9
19800130,0.8,-7.3
19800131,0.0,-1.7
19800201,0.0,1.9
19800202,0.0,0.7
19800203,0.0,-1.6
19800204,0.0,0.7
19800205,0.0,2.1
19800206,0.0,3.4
19800207,0.0,3.6
19800208,0.0,-0.2
19800209,0.0,-0.8
19800210,0.0,-1.8
19800211,0.0,-1.2
19800212,7.7,0.4
19800213,0.0,0.6
19800214,0.7,-3.4
19800215,0.0,-2.8
19800216,0.0,-2.7
19800217,0.0,-2.7
19800218,0.0,-2.0
19800219,0.0,-0.7
19800220,0.0,-2.8
19800221,0.0,-3.1
19800222,0.0,-2.2
19800223,0.0,-1.3
19800224,0.0,-2.9
19800225,0.0,-2.3
19800226,0.0,-2.4
19800227,0.3,-2.9
19800228,0.0,-5.6
19800229,0.0,-5.2
19800301,5.4,-3.6
19800302,0.8,-1.6
19800303,0.0,2.1
19800304,0.0,-2.2
19800305,0.0,-2.8
19800306,0.0,-0.4
19800307,0.0,3.0
19800308,0.0,2.3
19800309,7.3,2.6
19800310,3.2,3.9
19800311,1.9,2.7
19800312,0.7,3.9
19800313,3.4,1.4
19800314,0.0,-0.2
19800315,0.0,0.6
19800316,0.0,3.5
19800317,0.0,3.7
19800318,0.0,4.8
19800319,0.0,4.7
19800320,0.0,6.2
19800321,0.0,8.8
19800322,0.0,6.0
19800323,0.5,7.6
19800324,1.7,5.6
19800325,10.3,5.1
19800326,0.0,7.4
19800327,0.0,9.0
19800328,0.0,9.4
19800329,1.2,9.8
19800330,0.0,9.0
19800331,6.3,8.4
19800401,0.0,4.3
19800402,0.0,7.6
19800403,10.4,4.8
19800404,10.0,3.0
19800405,4.7,2.4
19800406,0.3,4.1
19800407,11.8,3.5
19800408,1.2,3.7
19800409,0.0,4.9
19800410,4.6,4.8
19800411,1.9,4.3
19800412,0.0,3.8
19800413,0.0,5.1
19800414,0.0,8.8
19800415,0.0,10.1
19800416,0.0,10.8
19800417,0.0,12.0
19800418,0.0,13.6
19800419,0.4,10.8
19800420,4.0,7.0
19800421,0.6,9.2
19800422,7.6,7.5
19800423,3.3,5.0
19800424,2.0,4.0
19800425,0.2,5.9
19800426,0.0,9.6
19800427,0.0,10.6
19800428,0.0,8.2
19800429,0.0,9.0
19800430,0.0,12.1
19800501,0.0,12.8
19800502,0.9,11.9
19800503,0.3,11.6
19800504,0.0,11.8
19800505,0.0,18.2
19800506,0.1,13.5
19800507,5.8,11.8
19800508,0.0,14.8
19800509,1.4,13.7
19800510,2.6,12.8
19800511,22.8,11.8
19800512,1.4,11.2
19800513,8.5,7.4
19800514,0.0,5.7
19800515,0.1,6.4
19800516,2.6,10.2
19800517,1.7,8.7
19800518,3.6,12.4
19800519,8.4,12.2
19800520,13.8,10.3
19800521,8.3,11.0
19800522,0.1,10.7
19800523,0.1,11.4
19800524,3.4,10.2
19800525,9.7,10.3
19800526,0.0,12.4
19800527,0.0,14.6
19800528,0.0,18.7
19800529,3.0,16.0
19800530,12.3,16.9
19800531,18.5,14.0
19800601,0.0,13.4
19800602,0.0,13.7
19800603,0.2,12.5
19800604,0.8,11.4
19800605,0.5,14.0
19800606,0.0,13.8
19800607,15.5,13.3
19800608,0.0,15.6
19800609,0.0,17.0
19800610,2.0,19.2
19800611,7.7,18.3
19800612,0.0,18.1
19800613,1.0,19.8
19800614,0.0,18.6
19800615,0.0,19.4
19800616,14.9,16.3
19800617,9.8,15.5
19800618,0.0,17.0
19800619,0.0,15.9
19800620,4.6,17.3
19800621,9.2,17.4
19800622,0.0,19.8
19800623,6.4,20.0
19800624,0.0,20.5
19800625,3.3,19.4
19800626,0.0,17.1
19800627,7.5,14.8
19800628,0.4,12.7
19800629,0.0,14.9
19800630,0.4,13.8
19800701,0.0,12.8
19800702,0.0,15.7
19800703,4.5,14.5
19800704,0.1,13.9
19800705,0.0,15.0
19800706,0.0,16.9
19800707,18.8,15.8
19800708,0.0,18.1
19800709,0.0,23.0
19800710,0.0,24.9
19800711,0.0,21.8
19800712,39.3,13.8
19800713,0.6,15.0
19800714,0.0,15.6
19800715,0.0,18.0
19800716,0.0,21.4
19800717,0.0,22.0
19800718,10.0,18.5
19800719,0.0,16.8
19800720,0.0,18.7
19800721,0.0,20.3
19800722,21.6,14.0
19800723,4.5,13.2
19800724,29.4,14.3
19800725,5.5,15.8
19800726,0.1,19.1
19800727,0.9,18.0
19800728,0.2,17.9
19800729,0.0,20.2
19800730,0.0,19.1
19800731,23.1,17.3
19800801,0.0,18.1
19800802,0.0,19.1
19800803,0.0,21.1
19800804,0.0,21.8
19800805,0.0,21.6
19800806,0.0,24.1
19800807,12.0,22.5
19800808,0.0,20.3
19800809,0.0,21.8
19800810,14.5,19.1
19800811,0.0,16.4
19800812,0.0,17.2
19800813,4.2,15.4
19800814,11.9,12.7
19800815,14.3,13.8
19800816,0.0,18.2
19800817,0.0,18.9
19800818,0.0,16.7
19800819,0.2,15.9
19800820,4.7,15.8
19800821,0.0,16.4
19800822,0.4,16.2
19800823,0.2,16.0
19800824,5.7,11.2
19800825,0.1,11.7
19800826,0.0,11.7
19800827,0.0,12.6
19800828,0.0,15.6
19800829,0.0,17.2
19800830,0.0,17.4
19800831,0.0,18.0
19800901,4.4,16.5
19800902,13.8,14.1
19800903,4.9,13.4
