DATE,PRCP,TAVG
19800101,-9999.0,-4.3
19800102,-9999.0,-5.6
19800103,-9999.0,-9.5
19800104,-9999.0,-6.2
19800105,2.0,-5.2
19800106,0.5,-12.6
19800107,-9999.0,-12.3
19800108,-9999.0,-5.6
19800109,-9999.0,-8.3
19800110,-9999.0,-11.6
19800111,-9999.0,-7.5
19800112,0.0,-10.6
19800113,-9999.0,-11.2
19800116,0.0,-13.5
19800117,0.0,-6.3
19800118,0.0,-15.3
19800119,0.0,-13.8
19800120,-9999.0,-14.7
19800121,0.0,-8.8
19800122,0.0,-6.3
19800123,0.0,-5.8
19800124,0.0,-1.3
19800125,-9999.0,-0.2
19800126,0.0,-2.2
19800127,1.5,-7.2
19800128,-9999.0,-10.3
19800129,-9999.0,-11.6
19800130,-9999.0,-11.6
19800131,-9999.0,5.3
19800201,0.0,6.1
19800202,-9999.0,-2.0
19800203,0.0,-5.4
19800204,-9999.0,-3.6
19800205,0.0,-1.4
19800206,-9999.0,0.7
19800207,0.0,0.6
19800208,0.0,-1.8
19800210,0.0,-0.3
19800211,-9999.0,1.5
19800212,0.5,1.4
19800214,-9999.0,-9.0
19800215,0.0,-7.4
19800216,0.0,-6.8
19800217,-9999.0,-4.4
19800218,0.3,-2.2
19800219,0.0,-2.5
19800220,0.0,-6.3
19800221,-9999.0,-4.2
19800222,-9999.0,-4.2
19800223,-9999.0,-4.0
19800224,-9999.0,-4.2
19800225,-9999.0,-3.8
19800227,-9999.0,-6.2
19800229,-9999.0,-6.5
19800301,-9999.0,-5.8
19800302,-9999.0,-0.4
19800303,-9999.0,-3.0
19800304,-9999.0,-5.2
19800305,0.3,-11.3
19800306,0.0,-7.0
19800307,-9999.0,-1.2
19800309,-9999.0,0.2
19800310,-9999.0,-0.3
19800311,-9999.0,0.3
19800312,-9999.0,-0.8
19800313,-9999.0,-5.7
19800314,1.3,-6.1
19800315,0.0,-4.4
19800316,0.0,-2.4
19800317,-9999.0,-2.6
19800318,0.0,-2.0
19800319,2.0,-0.7
19800320,-9999.0,-4.6
19800321,-9999.0,-3.4
19800322,-9999.0,-3.4
19800323,-9999.0,-2.8
19800324,-9999.0,-1.8
19800325,3.0,-2.2
19800326,-9999.0,-0.5
19800327,-9999.0,0.0
19800328,-9999.0,-1.8
19800329,-9999.0,1.6
19800401,-9999.0,4.7
19800402,-9999.0,4.2
19800403,-9999.0,4.0
19800404,3.3,4.0
19800405,11.9,1.6
19800406,-9999.0,2.4
19800408,-9999.0,3.3
19800409,-9999.0,3.7
19800410,-9999.0,5.2
19800411,-9999.0,4.0
19800412,-9999.0,2.0
19800413,2.0,4.8
19800415,0.0,9.8
19800416,0.0,8.4
19800417,-9999.0,7.8
19800418,0.0,10.1
19800419,-9999.0,9.6
19800420,3.0,3.0
19800422,-9999.0,6.4
19800423,10.9,5.2
19800425,-9999.0,4.7
19800426,-9999.0,6.8
19800427,-9999.0,11.0
19800428,-9999.0,10.4
19800429,0.0,10.4
19800430,-9999.0,8.0
19800502,-9999.0,10.8
19800505,-9999.0,8.3
19800506,1.0,7.3
19800507,3.6,10.9
19800509,-9999.0,14.7
19800510,-9999.0,12.3
19800511,1.0,9.8
19800512,-9999.0,8.2
19800517,-9999.0,8.2
19800521,-9999.0,10.5
19800522,-9999.0,4.7
19800528,-9999.0,16.4
19800529,-9999.0,15.3
19800530,-9999.0,16.2
19800531,-9999.0,16.2
19800601,0.0,14.0
19800604,-9999.0,11.0
19800606,-9999.0,12.5
19800607,-9999.0,11.2
19800608,-9999.0,16.3
19800610,0.0,17.6
19800611,4.6,15.2
19800612,-9999.0,15.3
19800613,-9999.0,14.4
19800614,-9999.0,15.8
19800618,-9999.0,15.5
19800619,-9999.0,11.7
19800620,0.0,17.6
19800621,-9999.0,16.8
19800623,-9999.0,19.0
19800625,-9999.0,16.2
19800627,-9999.0,14.7
19800628,-9999.0,15.2
19800629,0.0,14.8
19800630,-9999.0,14.0
19800701,-9999.0,14.2
19800702,-9999.0,17.8
19800703,4.3,15.2
19800704,0.0,15.0
19800707,0.0,17.7
19800708,0.0,19.2
19800709,-9999.0,19.4
19800710,-9999.0,24.0
19800711,-9999.0,21.0
19800712,-9999.0,16.0
19800715,0.0,17.4
19800716,-9999.0,19.8
19800717,-9999.0,18.2
19800718,-9999.0,16.7
19800719,-9999.0,17.3
19800721,-9999.0,22.0
19800722,-9999.0,17.0
19800723,2.0,14.5
19800725,-9999.0,16.5
19800726,0.5,18.2
19800727,-9999.0,19.8
19800729,-9999.0,17.8
19800730,-9999.0,17.8
19800731,0.0,17.7
19800801,-9999.0,20.7
19800802,0.0,20.5
19800803,0.0,19.8
19800804,-9999.0,23.3
19800809,0.0,21.0
19800811,0.0,15.7
19800812,-9999.0,15.3
19800813,-9999.0,16.3
19800814,-9999.0,13.4
19800815,-9999.0,16.2
19800816,-9999.0,18.6
19800817,-9999.0,16.8
19800818,-9999.0,12.2
19800819,-9999.0,13.7
19800820,0.0,15.2
19800821,-9999.0,15.3
19800822,-9999.0,15.0
19800823,-9999.0,12.5
19800824,-9999.0,13.6
19800826,-9999.0,10.3
19800827,-9999.0,14.0
19800828,0.0,11.8
19800829,-9999.0,17.7
19800830,-9999.0,18.0
19800902,0.0,12.0
19800903,2.0,11.3
19800904,-9999.0,13.0
19800905,0.0,14.2
19800906,0.0,15.7
19800907,-9999.0,15.4
19800910,-9999.0,13.5
19800912,-9999.0,13.5
19800913,-9999.0,13.0
19800915,-9999.0,12.2
19800916,0.5,8.4
19800917,-9999.0,11.7
19800918,-9999.0,13.3
19800919,-9999.0,11.5
19800921,-9999.0,12.6
19800922,-9999.0,17.2
19800923,0.0,12.8
19800924,-9999.0,10.2
19800925,0.0,12.3
19800926,-9999.0,11.6
19800928,0.3,8.0
19800929,-9999.0,8.8
19800930,-9999.0,8.6
19801001,-9999.0,7.0
19801002,-9999.0,10.0
19801003,-9999.0,8.0
19801004,0.0,6.0
19801005,-9999.0,6.0
19801006,-9999.0,8.6
19801007,-9999.0,11.8
19801008,0.0,15.0
19801009,0.0,13.3
19801010,0.5,14.5
19801011,-9999.0,13.8
19801013,-9999.0,12.2
19801014,3.0,12.3
19801015,-9999.0,9.2
19801016,0.0,13.8
19801017,-9999.0,15.5
19801018,-9999.0,12.5
19801019,0.3,12.5
19801021,9.9,5.2
19801022,-9999.0,5.0
19801024,-9999.0,11.3
19801025,-9999.0,9.6
19801026,-9999.0,6.4
19801027,-9999.0,2.2
19801028,-9999.0,4.6
19801029,-9999.0,11.0
19801030,0.0,9.7
19801031,0.5,3.5
19801101,-9999.0,-1.3
19801102,-9999.0,-4.2
19801103,8.9,-4.0
19801104,0.5,-5.1
19801105,-9999.0,-2.0
19801106,-9999.0,-0.7
19801109,-9999.0,-1.2
19801111,-9999.0,-2.8
19801112,0.0,-5.7
19801113,-9999.0,-3.3
19801116,0.0,5.2
19801117,-9999.0,9.5
19801118,-9999.0,5.8
19801119,-9999.0,5.8
19801120,-9999.0,1.2
19801121,0.0,-1.7
19801122,0.0,3.2
19801123,0.0,8.2
19801124,0.0,11.2
19801125,0.0,9.2
19801126,7.9,8.0
19801127,0.0,3.0
19801128,0.0,2.3
19801129,0.0,2.2
19801130,3.0,1.4
19801201,5.1,-5.6
19801202,8.1,-8.8
19801203,-9999.0,-8.3
19801204,0.0,-6.2
19801205,-9999.0,-8.2
19801206,-9999.0,-11.8
19801207,-9999.0,-5.2
19801208,-9999.0,-8.4
19801209,1.3,-7.0
19801210,-9999.0,-0.8
19801211,-9999.0,1.6
19801212,-9999.0,3.2
19801213,-9999.0,2.2
19801214,-9999.0,0.5
19801215,-9999.0,3.0
19801216,-9999.0,5.2
19801217,1.5,2.3
19801218,-9999.0,-0.3
19801219,-9999.0,-1.4
19801220,-9999.0,2.0
19801221,-9999.0,3.0
19801222,-9999.0,3.0
19801223,6.1,0.0
19801224,0.0,1.0
19801225,0.0,2.8
19801226,0.0,1.2
19801227,7.9,-1.5
19801228,1.3,0.6
19801229,-9999.0,-0.6
19801230,0.0,1.7
19801231,-9999.0,2.6
19810101,0.0,2.2
19810103,-9999.0,-2.0
19810104,0.0,3.0
19810105,19.1,-1.7
19810106,4.1,-7.2
19810107,0.0,-14.4
19810108,1.5,-13.0
19810109,-9999.0,-11.4
19810110,0.0,-13.6
19810111,0.0,-9.6
19810112,0.0,-4.8
19810113,-9999.0,-7.2
19810115,0.0,-3.8
19810116,-9999.0,-2.8
19810117,-9999.0,-6.8
19810118,-9999.0,-8.8
19810119,-9999.0,-11.0
19810120,3.0,-7.3
19810121,1.5,-3.4
19810122,-9999.0,-5.0
19810123,-9999.0,-4.5
19810124,3.0,-6.0
19810125,0.0,-6.8
19810126,0.0,-3.4
19810128,-9999.0,-5.5
19810129,-9999.0,-6.0
19810130,0.0,-9.0
19810131,-9999.0,-0.2
19810201,-9999.0,3.0
19810202,-9999.0,3.2
19810204,-9999.0,4.7
19810205,-9999.0,2.6
19810206,-9999.0,-0.7
19810207,0.0,-2.0
19810208,0.0,3.0
19810210,-9999.0,2.2
19810211,0.0,3.7
19810212,6.1,-2.4
19810213,0.0,-4.0
19810214,0.0,-7.0
19810215,-9999.0,-5.3
19810216,-9999.0,-3.2
19810217,-9999.0,-5.5
19810218,-9999.0,-6.6
19810219,-9999.0,-5.8
19810220,0.0,-7.2
19810221,-9999.0,-7.7
19810222,-9999.0,-3.0
19810223,-9999.0,-0.6
19810224,0.0,-3.2
19810225,-9999.0,-8.2
19810226,0.0,-11.8
19810227,-9999.0,-9.3
19810228,-9999.0,-7.3
19810301,-9999.0,-6.8
19810302,0.0,-7.8
19810303,0.5,-3.8
19810304,-9999.0,0.8
19810305,6.1,-1.2
