DATE,PRCP,TAVG
19800101,7.9,-1.8
19800102,1.5,-4.5
19800103,0.0,-4.0
19800104,0.5,-4.1
19800105,1.5,-9.6
19800106,0.0,-14.9
19800107,0.0,-8.0
19800108,0.3,-1.5
19800109,0.0,-6.9
19800110,-9999.0,-4.2
19800111,0.0,-6.6
19800112,0.0,-10.3
19800113,0.0,-15.0
19800114,0.0,-18.6
19800115,-9999.0,-16.0
19800116,0.0,-8.1
19800117,0.0,-3.4
19800118,0.0,-9.4
19800119,0.0,-12.9
19800120,0.0,-12.9
19800121,0.0,-7.6
19800122,0.0,-3.2
19800123,0.0,-6.2
19800124,1.0,0.6
19800125,6.1,0.3
19800126,3.6,-0.9
19800127,0.3,-4.3
19800128,0.0,-12.5
19800129,0.0,-17.2
19800130,0.0,-12.3
19800131,0.0,0.2
19800201,0.0,4.6
19800202,5.1,0.3
19800203,0.0,-1.0
19800204,0.0,1.1
19800205,3.0,1.3
19800206,3.0,0.7
19800207,1.0,1.5
19800208,0.0,1.1
19800209,0.0,-1.6
19800210,-9999.0,0.4
19800211,0.0,-0.8
19800212,2.0,0.2
19800213,0.0,0.4
19800214,0.0,-1.5
19800215,0.0,-3.9
19800216,0.0,-2.3
19800217,0.0,-2.9
19800218,-9999.0,-1.6
19800219,0.0,0.0
19800220,0.0,-1.8
19800221,0.0,-2.8
19800222,0.0,-0.9
19800223,0.0,-1.1
19800224,0.0,-3.8
19800225,0.0,-3.1
19800226,0.0,-1.6
19800227,0.0,-4.5
19800228,0.0,-5.8
19800229,0.3,-5.7
19800301,-9999.0,-5.3
19800302,1.3,-1.4
19800303,0.0,-0.5
19800304,0.5,-4.5
19800305,0.3,-6.8
19800306,0.0,-2.6
19800307,0.0,2.8
19800308,0.3,1.7
19800309,2.0,3.2
19800310,5.1,2.5
19800311,0.5,2.5
19800312,0.0,4.7
19800313,0.0,3.5
19800314,0.0,2.2
19800315,0.0,2.3
19800316,0.0,1.5
19800317,0.0,3.0
19800318,0.0,0.3
19800319,0.0,2.8
19800320,1.0,1.2
19800321,7.1,4.7
19800322,1.0,4.3
19800323,0.5,5.5
19800324,3.0,5.6
19800325,-9999.0,7.2
19800326,-9999.0,7.0
19800327,0.0,8.4
19800328,0.0,7.7
19800329,0.5,9.3
19800330,7.9,9.4
19800331,6.1,7.8
19800401,0.0,6.3
19800402,-9999.0,7.0
19800403,-9999.0,6.5
19800404,16.3,3.5
19800405,13.0,3.9
19800406,1.3,4.8
19800407,0.5,6.4
19800408,0.0,4.8
19800409,0.0,4.9
19800410,0.5,5.7
19800411,1.0,4.6
19800412,0.0,3.0
19800413,0.0,5.4
19800414,0.0,8.7
19800415,0.0,8.7
19800416,0.0,9.5
19800417,0.0,10.5
19800418,0.0,10.0
19800419,3.0,8.8
19800420,10.9,7.6
19800421,5.3,9.7
19800422,-9999.0,8.5
19800423,7.9,5.0
19800424,4.6,4.5
19800425,0.5,5.6
19800426,0.3,10.8
19800427,0.0,10.0
19800428,1.0,9.6
19800429,0.0,11.6
19800430,0.0,11.8
19800501,-9999.0,13.0
19800502,0.0,13.2
19800503,0.0,10.4
19800504,0.0,7.4
19800505,-9999.0,-9999.0
19800506,13.0,13.3
19800507,1.3,11.6
19800508,0.0,13.8
19800509,5.1,14.4
19800510,4.1,13.8
19800511,2.0,12.8
19800512,-9999.0,10.8
19800513,0.0,7.5
19800514,7.9,4.4
19800515,0.0,7.6
19800516,3.0,9.7
19800517,0.5,10.0
19800518,0.3,11.6
19800519,0.0,12.0
19800520,0.0,11.0
19800521,0.0,13.0
19800522,2.0,9.7
19800523,0.0,11.3
19800524,5.1,9.4
19800525,54.1,11.5
19800526,0.0,11.4
19800527,0.0,13.0
19800528,0.0,18.7
19800529,0.5,16.4
19800530,2.0,17.7
19800531,11.9,16.4
19800601,-9999.0,10.7
19800602,0.0,12.8
19800603,-9999.0,12.4
19800604,3.0,10.3
19800605,2.5,12.7
19800606,3.0,10.6
19800607,1.0,13.7
19800608,0.0,14.2
19800609,0.0,17.3
19800610,1.0,19.3
19800611,21.1,16.4
19800612,14.0,17.9
19800613,0.0,17.7
19800614,0.0,17.7
19800615,-9999.0,18.6
19800616,7.9,17.2
19800617,0.0,13.8
19800618,-9999.0,16.5
19800619,0.0,17.4
19800620,0.3,17.6
19800621,2.3,18.0
19800622,1.0,21.2
19800623,0.5,19.3
19800624,16.0,20.7
19800625,7.9,18.4
19800626,0.0,15.5
19800627,-9999.0,14.6
19800628,-9999.0,11.8
19800629,2.0,14.0
19800630,9.9,13.7
