DATE,PRCP,TAVG
19800101,17.0,-0.7
19800102,0.0,-5.1
19800103,0.3,-3.4
19800104,1.3,-6.9
19800105,0.0,-11.8
19800106,0.5,-5.7
19800107,3.0,-3.0
19800108,2.0,-2.9
19800109,0.0,-3.3
19800110,-9999.0,-4.8
19800111,0.0,-5.0
19800112,0.0,-7.6
19800113,0.3,-9.1
19800114,0.0,-11.2
19800115,0.0,-7.5
19800116,0.3,-1.9
19800117,0.0,-2.6
19800118,0.0,-2.8
19800119,0.0,-4.3
19800120,0.0,-3.3
19800121,0.0,-1.4
19800122,0.0,-0.2
19800123,-9999.0,0.0
19800124,4.1,2.1
19800125,2.0,1.6
19800126,1.0,0.2
19800127,-9999.0,-2.8
19800128,0.3,-4.6
19800129,2.0,-6.8
19800130,0.8,-0.8
19800131,0.0,3.8
19800201,0.3,8.2
19800202,6.1,1.6
19800203,3.0,1.6
19800204,0.8,3.8
19800205,1.0,3.3
19800206,7.1,5.4
19800207,-9999.0,6.6
19800208,0.0,2.5
19800209,0.0,3.1
19800210,0.0,4.3
19800211,0.0,3.2
19800212,3.3,3.9
19800213,0.0,1.2
19800214,0.0,1.1
19800215,0.0,0.2
19800216,0.0,-0.5
19800217,0.0,-1.0
19800218,0.5,0.8
19800219,0.0,1.7
19800220,0.0,0.9
19800221,0.0,0.0
19800222,0.0,0.1
19800223,0.0,0.8
19800224,-9999.0,-0.9
19800225,0.0,-0.2
19800226,0.0,-1.6
19800227,0.0,-1.6
19800228,-9999.0,-1.7
19800229,-9999.0,-3.5
19800301,-9999.0,-0.3
19800302,-9999.0,1.9
19800303,-9999.0,2.6
19800304,0.0,-0.6
19800305,0.0,-1.8
19800306,0.0,2.3
19800307,0.0,3.8
19800308,3.0,5.9
19800309,1.3,6.2
19800310,0.0,3.6
19800311,0.0,3.7
19800312,-9999.0,4.3
19800313,0.0,3.2
19800314,0.0,2.8
19800315,-9999.0,4.3
19800316,0.0,6.2
19800317,0.0,5.5
19800318,0.0,6.6
19800319,0.0,5.2
19800320,0.0,8.8
19800321,7.9,8.7
19800322,5.1,6.7
19800323,13.0,7.7
19800324,6.1,7.9
19800325,7.1,6.9
19800326,0.0,9.8
19800327,0.0,8.6
19800328,0.0,9.8
19800329,2.0,13.4
19800330,0.3,11.8
19800331,1.0,9.8
19800401,0.0,7.8
19800402,-9999.0,13.1
19800403,5.1,7.0
19800404,1.0,4.4
19800405,0.3,5.3
19800406,0.3,5.9
19800407,2.3,6.3
19800408,0.5,5.8
19800409,0.0,6.0
19800410,0.5,6.7
19800411,0.0,5.3
19800412,0.0,4.9
19800413,0.0,9.0
19800414,0.0,11.8
19800415,0.0,9.2
19800416,0.0,14.2
19800417,-9999.0,13.2
19800418,0.3,12.6
19800419,2.5,10.6
19800420,-9999.0,7.6
19800421,6.4,8.3
19800422,8.9,5.6
19800423,1.0,5.3
19800424,1.0,6.2
19800425,4.1,8.0
19800426,1.0,9.2
19800427,1.3,10.1
19800428,4.1,10.0
19800429,0.0,10.3
19800430,0.0,12.4
19800501,0.0,13.5
19800502,0.3,14.6
19800503,0.0,12.2
19800504,1.0,12.9
19800505,-9999.0,15.9
19800506,3.0,12.9
19800507,0.0,13.3
19800508,-9999.0,14.6
19800509,0.0,14.8
19800510,21.6,14.4
19800511,4.1,13.7
19800512,-9999.0,14.0
19800513,0.0,9.4
19800514,0.0,8.1
19800515,-9999.0,6.5
19800516,7.9,10.6
19800517,5.1,11.8
19800518,3.0,13.6
19800519,0.3,13.6
19800520,9.9,13.0
19800521,0.0,12.6
19800522,-9999.0,13.1
19800523,-9999.0,14.0
19800524,19.1,11.3
19800525,1.0,13.6
19800526,-9999.0,15.3
19800527,0.0,16.7
19800528,0.0,18.7
19800529,1.0,19.0
19800530,13.0,17.4
19800531,7.9,14.2
19800601,7.9,15.1
19800602,0.0,14.8
19800603,-9999.0,14.6
19800604,0.5,13.1
19800605,0.3,16.0
19800606,2.3,16.3
19800607,2.0,15.5
19800608,0.0,18.2
19800609,0.0,19.6
19800610,0.5,21.6
19800611,3.6,19.1
19800612,0.0,22.4
19800613,-9999.0,21.2
19800614,0.0,23.2
19800615,-9999.0,23.0
19800616,0.0,21.0
19800617,-9999.0,19.8
19800618,4.1,19.7
19800619,-9999.0,17.8
19800620,0.0,19.0
19800621,0.0,19.3
19800622,0.0,23.7
19800623,0.0,24.3
19800624,-9999.0,23.4
19800625,0.8,19.9
19800626,11.2,17.2
19800627,4.1,15.9
19800628,-9999.0,15.4
19800629,0.0,15.9
19800630,0.0,15.6
19800701,0.0,16.3
19800702,1.0,17.0
19800703,1.0,15.1
19800704,0.0,15.7
19800705,0.0,18.0
19800706,-9999.0,18.7
19800707,7.9,18.6
19800708,0.3,20.2
19800709,0.0,25.1
19800710,0.0,22.5
19800711,0.0,18.2
19800712,0.8,16.1
19800713,0.5,17.2
19800714,0.0,17.9
19800715,0.0,20.8
19800716,-9999.0,24.4
19800717,0.0,20.1
19800718,0.5,17.5
19800719,0.0,20.1
19800720,-9999.0,22.4
19800721,-9999.0,21.2
19800722,8.9,13.3
19800723,4.1,15.6
19800724,1.5,17.1
19800725,0.0,20.9
19800726,14.0,19.8
19800727,0.0,21.6
19800728,1.0,19.8
19800729,4.1,20.5
19800730,2.0,21.4
19800731,8.4,21.1
19800801,0.0,20.9
19800802,0.0,22.3
19800803,-9999.0,24.0
19800804,0.0,24.6
19800805,0.0,25.0
19800806,0.0,25.2
19800807,-9999.0,24.0
19800808,0.0,25.8
19800809,-9999.0,23.8
19800810,-9999.0,20.5
19800811,0.0,19.6
19800812,0.0,19.9
19800813,7.9,18.4
19800814,0.0,14.6
19800815,-9999.0,17.0
19800816,0.0,19.7
19800817,0.0,20.4
19800818,0.0,17.9
19800819,0.0,15.7
19800820,0.0,17.6
19800821,0.0,19.6
19800822,-9999.0,17.0
19800823,-9999.0,15.8
19800824,5.1,11.5
19800825,0.0,12.1
19800826,-9999.0,13.1
19800827,0.0,16.4
19800828,0.0,18.8
19800829,0.0,19.4
19800830,0.0,22.6
19800831,0.0,18.6
19800901,7.1,17.4
19800902,1.0,15.5
19800903,0.0,14.6
19800904,0.0,15.3
19800905,-9999.0,14.8
19800906,0.0,17.8
19800907,0.0,17.0
19800908,0.0,19.8
19800909,3.0,17.1
19800910,0.0,16.9
19800911,9.9,13.7
19800912,1.0,16.5
19800913,0.0,18.5
19800914,0.0,14.9
19800915,0.0,14.6
19800916,0.0,13.9
19800917,0.0,13.2
19800918,0.0,15.4
19800919,0.0,15.5
19800920,0.0,13.9
19800921,0.0,16.2
19800922,0.0,18.1
19800923,0.0,19.1
19800924,0.0,15.5
19800925,0.0,16.6
19800926,0.0,16.8
19800927,0.0,14.0
19800928,0.0,12.3
19800929,0.0,11.9
19800930,-9999.0,12.4
19801001,4.1,12.8
19801002,0.0,10.6
19801003,-9999.0,10.8
19801004,0.0,8.7
19801005,0.0,12.3
19801006,0.5,12.4
19801007,0.0,13.9
19801008,0.0,16.9
19801009,5.1,17.7
19801010,36.1,9.7
19801011,2.0,11.1
19801012,0.5,15.4
19801013,0.0,15.4
19801014,0.0,11.1
19801015,-9999.0,10.8
19801016,0.0,15.1
19801017,0.0,17.5
19801018,-9999.0,18.6
19801019,4.3,16.4
19801020,1.0,10.9
19801021,0.0,8.0
19801022,0.0,10.2
19801023,0.0,11.2
19801024,0.0,10.4
19801025,0.0,13.9
19801026,2.5,10.8
19801027,0.0,6.4
19801028,0.0,8.2
19801029,0.0,9.2
19801030,0.0,9.9
19801031,0.0,5.7
19801101,0.0,3.4
19801102,1.0,4.8
19801103,4.1,1.4
19801104,-9999.0,4.4
19801105,8.9,6.6
19801106,6.1,9.4
19801108,0.3,3.5
19801109,0.0,4.4
19801110,13.0,4.2
19801111,0.0,1.6
19801112,0.0,2.7
19801113,17.0,3.8
19801114,4.1,3.7
19801115,0.0,4.3
19801116,0.0,9.1
19801117,-9999.0,11.0
19801118,0.0,9.9
19801119,7.1,6.3
19801120,-9999.0,1.7
19801121,0.0,0.7
19801122,0.0,2.1
19801123,0.0,4.6
19801124,0.0,5.0
19801125,0.0,5.2
19801126,0.0,8.5
19801127,0.0,9.8
19801128,-9999.0,5.6
19801129,3.0,1.8
19801130,22.1,3.7
19801201,1.0,-1.3
19801202,-9999.0,-4.5
19801203,0.0,-4.9
19801204,7.9,-2.4
19801205,1.0,-10.0
19801206,0.0,-3.8
19801207,8.9,-0.9
19801208,7.9,-4.3
19801209,-9999.0,-7.8
19801210,0.0,-8.0
19801211,0.0,-2.8
19801212,0.0,0.6
19801213,0.0,-1.6
19801214,0.0,-0.7
19801215,0.0,1.2
19801216,0.0,2.7
19801217,4.1,1.8
19801218,0.5,1.4
19801219,0.0,3.3
19801220,3.0,4.5
19801221,0.0,5.4
19801222,-9999.0,4.5
19801223,0.3,2.0
19801224,0.3,0.3
19801225,0.0,2.6
19801226,0.0,1.0
19801227,-9999.0,1.6
19801228,3.6,2.1
19801229,0.0,0.4
19801230,0.0,-1.6
19801231,0.0,-1.3
19810101,0.0,0.0
19810102,0.0,0.8
19810103,1.3,2.1
19810104,8.9,4.9
19810105,-9999.0,1.6
19810106,-9999.0,-2.9
19810107,3.0,-4.6
19810108,0.0,-7.0
19810109,0.0,-10.6
19810110,0.0,-10.1
19810111,-9999.0,-9.2
19810112,0.0,-5.4
19810113,-9999.0,0.1
19810114,13.0,1.3
19810115,1.5,-2.0
19810116,-9999.0,-3.3
19810117,-9999.0,-9.1
19810118,0.0,-4.8
19810119,0.0,-4.0
19810120,0.0,-5.1
19810121,0.0,-4.5
19810122,0.0,-4.3
19810123,0.0,-6.8
19810124,0.3,-5.4
19810125,0.0,-5.6
19810126,0.3,-4.0
19810127,-9999.0,-4.3
19810128,0.0,-6.6
19810129,0.0,-6.2
19810130,0.0,-5.5
19810131,0.0,-6.2
19810201,0.0,-3.6
19810202,0.0,-2.3
19810203,0.0,-0.9
19810204,0.3,1.2
19810205,-9999.0,1.7
19810206,0.0,0.9
19810207,-9999.0,-0.9
19810208,2.0,2.0
19810209,0.0,3.6
19810210,-9999.0,4.1
19810211,-9999.0,3.8
19810212,1.0,1.4
19810213,0.0,-1.4
19810214,-9999.0,-2.6
19810215,0.0,-3.4
19810216,0.0,-1.5
19810217,0.0,-0.7
19810218,0.0,-1.8
19810219,-9999.0,-1.6
19810220,0.0,-1.0
19810221,0.0,2.7
19810222,0.0,4.7
19810223,0.0,6.5
19810224,0.0,1.6
19810225,0.0,-1.2
19810226,0.0,-1.4
19810227,0.0,-2.4
19810228,0.0,-1.8
19810301,0.0,-0.1
19810302,0.0,1.8
19810303,7.9,3.7
19810304,21.1,3.3
19810305,6.1,1.5
19810306,0.0,3.1
19810307,0.0,7.4
19810308,0.0,7.8
19810309,0.0,6.9
19810310,0.3,9.4
19810311,2.0,11.1
19810312,4.3,11.8
19810313,0.5,9.1
19810314,0.0,8.3
19810315,0.0,7.8
19810316,0.0,8.6
19810317,1.0,9.0
19810318,6.1,7.1
19810319,11.9,5.8
19810320,-9999.0,5.6
19810321,-9999.0,8.4
19810322,0.0,9.6
19810323,0.0,9.3
19810324,1.0,8.5
19810325,-9999.0,10.6
19810326,0.0,11.1
19810327,1.0,14.6
19810328,0.0,8.4
19810329,0.0,8.4
19810330,0.0,9.3
19810331,0.0,11.8
19810401,0.0,7.9
19810402,0.0,11.2
19810403,1.0,6.7
19810404,0.0,5.9
19810405,0.0,9.3
19810406,-9999.0,8.1
19810407,0.0,9.4
19810408,-9999.0,10.9
19810409,0.0,12.3
19810410,9.9,11.2
19810411,0.0,9.4
19810412,0.0,12.2
19810413,0.0,11.4
19810414,0.0,12.5
19810415,0.0,11.7
19810416,-9999.0,8.6
19810417,0.0,4.8
19810418,16.0,3.7
19810419,5.1,4.4
19810420,0.3,3.7
19810421,0.0,6.4
19810422,0.0,9.4
19810423,0.0,11.1
19810424,-9999.0,11.4
19810425,6.1,9.5
19810426,1.3,11.2
19810427,9.9,11.9
19810428,1.0,7.7
19810429,0.0,6.6
19810430,0.3,9.3
19810501,0.0,13.4
19810502,3.3,11.6
19810503,0.0,8.6
19810504,-9999.0,11.4
19810505,13.0,10.6
19810506,-9999.0,10.7
19810507,0.0,10.0
19810508,-9999.0,11.0
19810509,2.0,11.6
19810510,0.0,13.2
19810511,0.0,13.8
19810512,8.9,13.3
19810513,0.0,11.8
19810514,0.3,14.3
19810515,0.0,14.0
19810516,0.0,13.2
19810517,-9999.0,14.6
19810518,0.0,17.1
19810519,0.0,16.7
19810520,0.0,18.4
19810521,-9999.0,14.2
