DATE,PRCP,TAVG
19800101,35.1,-8.5
19800102,0.2,-16.0
19800103,31.1,-14.4
19800104,6.7,-18.0
19800105,2.1,-18.6
19800106,0.0,-12.9
19800107,3.4,-10.8
19800108,13.3,-11.8
19800109,1.3,-11.7
19800110,0.0,-11.6
19800111,0.0,-12.1
19800112,0.0,-12.6
19800113,0.0,-15.2
19800114,0.0,-11.5
19800115,0.0,-6.8
19800116,0.0,-5.3
19800117,6.4,-8.1
19800118,0.0,-8.8
19800119,0.0,-6.9
19800120,0.0,-6.4
19800121,0.0,-9.8
19800122,0.0,-10.0
19800123,0.0,-8.0
19800124,0.0,-7.4
19800125,1.3,-5.9
19800126,1.8,-13.7
19800127,2.0,-16.0
19800128,1.2,-23.3
19800129,0.2,-20.1
19800130,0.0,-11.9
19800131,0.0,-5.4
19800201,0.0,-5.7
19800202,1.5,-7.8
19800203,0.0,-9.4
19800204,0.0,-8.5
19800205,0.6,-9.6
19800206,0.5,-6.9
19800207,0.0,-6.2
19800208,0.0,-6.4
19800209,0.0,-6.0
19800210,0.0,-3.0
19800211,0.0,-2.6
19800212,5.6,-9.5
19800213,10.6,-13.0
19800214,1.7,-13.8
19800215,3.0,-12.8
19800216,2.9,-10.3
19800217,0.0,-7.8
19800218,0.0,-9.8
19800219,0.0,-10.9
19800220,0.0,-8.3
19800221,0.0,-10.0
19800222,0.0,-10.3
19800223,0.0,-9.9
19800224,0.0,-9.8
19800225,0.0,-8.5
19800226,0.0,-12.9
19800227,2.3,-18.8
19800228,6.3,-22.6
19800229,1.7,-21.2
19800301,0.3,-18.3
19800302,1.0,-13.4
19800303,0.0,-10.8
19800304,1.3,-17.8
19800305,1.1,-20.4
19800306,0.0,-10.4
19800307,0.0,-6.7
19800308,0.3,-4.1
19800309,7.3,-5.5
19800310,2.3,-7.5
19800311,0.0,-9.0
19800312,0.0,-9.2
19800313,0.0,-10.4
19800314,0.0,-8.6
19800315,0.0,-6.9
19800316,0.0,-6.9
19800317,0.0,-7.5
19800318,0.0,-8.3
19800319,0.0,-7.4
19800320,1.1,-8.3
19800321,3.7,-7.2
19800322,0.3,-7.0
19800323,0.4,-3.6
19800324,14.4,-3.8
19800325,4.1,-4.1
19800326,0.2,-5.0
19800327,0.0,-5.4
19800328,0.0,-5.8
19800329,0.0,-3.0
19800330,0.0,-1.1
19800331,11.9,-4.6
19800401,0.2,-7.9
19800402,0.0,-3.2
19800403,0.4,-3.1
19800404,12.3,-4.7
19800405,5.7,-8.9
19800406,0.7,-5.7
19800407,10.1,-8.6
19800408,3.8,-7.6
19800409,1.6,-8.4
19800410,0.1,-5.5
