DATE,PRCP,TAVG
19800101,4.7,6.0
19800102,0.0,2.5
19800103,11.2,5.4
19800104,2.5,0.5
19800105,0.0,-1.1
19800106,0.0,-0.4
19800107,0.0,3.8
19800108,2.6,2.6
19800109,1.9,-2.7
19800110,1.2,-3.4
19800111,0.0,-5.0
19800112,0.0,-5.8
19800113,0.0,-8.0
19800114,0.0,-6.7
19800115,0.0,-0.8
19800116,0.0,3.0
19800117,0.0,-1.5
19800118,0.0,-3.0
19800119,0.0,0.9
19800120,0.0,2.0
19800121,0.0,-0.1
19800122,0.0,-1.0
19800123,0.0,0.0
19800124,0.6,1.8
19800125,0.5,1.7
19800126,0.6,0.4
19800127,0.0,-1.0
19800128,0.0,-5.8
19800129,0.0,-5.0
19800130,0.0,-3.1
19800131,0.0,3.1
19800201,0.0,4.6
19800202,0.0,3.6
19800203,0.0,1.0
19800204,0.0,2.0
19800205,0.0,2.1
19800206,0.5,1.0
19800207,0.1,1.2
19800208,0.0,2.4
19800209,0.0,2.6
19800210,0.0,1.6
19800211,0.0,3.4
19800212,0.0,2.0
19800213,0.0,-0.8
19800214,0.2,-3.0
19800215,0.1,-0.5
19800216,0.0,-0.7
19800217,0.0,-0.6
19800218,0.0,-1.5
19800219,0.0,-1.8
19800220,0.0,-1.7
19800221,0.0,-2.7
19800222,0.0,-0.5
19800223,0.0,0.8
19800224,0.0,-0.4
19800225,0.0,-1.0
19800226,0.1,-1.7
19800227,1.2,-2.3
19800228,0.0,-3.0
19800229,0.0,-2.8
19800301,0.2,-1.6
19800302,0.0,0.9
19800303,0.0,2.1
19800304,0.3,0.3
19800305,0.0,-0.2
19800306,0.0,0.6
19800307,0.0,3.1
19800308,6.3,3.8
19800309,4.1,4.8
19800310,0.0,4.2
19800311,0.0,2.7
19800312,0.6,0.0
19800313,0.5,-1.6
19800314,0.1,0.0
19800315,0.1,2.9
19800316,0.0,2.4
19800317,0.0,2.4
19800318,0.0,0.4
19800319,0.0,2.0
19800320,0.0,2.9
19800321,0.0,4.4
19800322,7.4,3.8
19800323,4.1,3.5
19800324,0.5,3.8
19800325,5.3,2.4
19800326,0.2,2.9
19800327,0.2,3.2
19800328,0.0,3.8
19800329,0.0,3.9
19800330,0.0,6.2
19800331,0.0,6.6
19800401,0.0,5.1
19800402,0.0,6.6
19800403,0.0,6.7
19800404,0.0,7.0
19800405,9.6,6.9
19800406,0.0,7.5
19800407,6.5,5.7
19800408,0.0,5.3
19800409,0.0,7.2
19800410,0.0,6.5
19800411,0.3,7.7
19800412,0.0,7.6
19800413,0.2,5.9
19800414,0.0,8.9
19800415,0.3,8.1
19800416,0.0,8.2
19800417,0.0,8.8
19800418,0.0,9.9
19800419,0.0,12.2
19800420,0.0,10.7
19800421,0.3,11.1
19800422,0.0,11.4
19800423,3.5,10.5
19800424,0.0,11.6
19800425,0.0,10.2
19800426,0.0,11.0
19800427,0.0,11.6
19800428,0.0,12.6
19800429,0.0,13.1
19800430,0.2,14.0
19800501,0.0,14.8
19800502,0.0,12.6
19800503,0.0,13.7
19800504,0.0,11.7
19800505,0.0,14.4
19800506,0.4,12.4
19800507,1.6,14.2
19800508,0.0,15.1
19800509,0.0,16.5
19800510,0.0,16.8
19800511,0.0,15.6
19800512,1.5,13.2
19800513,0.0,10.2
19800514,0.0,10.0
19800515,2.4,10.5
19800516,0.0,12.0
19800517,0.0,13.3
19800518,0.0,14.6
19800519,0.0,14.2
19800520,0.6,14.6
19800521,8.2,13.2
19800522,1.0,11.8
19800523,0.0,13.3
19800524,0.0,12.9
19800525,12.9,13.6
19800526,3.0,15.0
19800527,0.0,15.9
19800528,0.0,16.0
