DATE,PRCP,TAVG
19800101,25.5,-5.8
19800102,0.4,-8.8
19800103,7.5,-9999.0
19800104,17.7,-8.4
19800105,3.7,-9999.0
19800106,0.0,-12.0
19800107,0.0,-16.0
19800108,0.6,-7.8
19800109,0.0,-7.7
19800110,0.0,-14.2
19800111,0.2,-9.2
19800112,0.4,-13.5
19800113,0.2,-17.0
19800114,0.0,-20.5
19800115,0.0,-17.2
19800116,0.0,-9999.0
19800117,0.4,-9999.0
19800118,0.0,-16.8
19800119,0.0,-17.2
19800120,0.0,-9999.0
19800121,0.0,-14.0
19800122,0.0,-17.2
19800123,0.0,-12.8
19800124,0.3,-4.2
19800125,7.0,-1.5
19800126,0.3,-8.6
19800127,10.7,-8.3
19800128,1.1,-14.0
19800129,0.0,-15.5
19800130,0.0,-14.4
19800131,0.0,-9999.0
19800201,0.0,5.3
19800202,4.4,-2.2
19800203,0.0,-6.0
19800204,0.0,-3.3
19800205,0.0,-9999.0
19800206,0.3,0.5
19800207,0.0,0.7
19800208,0.0,-9999.0
19800209,0.0,-9999.0
19800210,0.0,-9999.0
19800211,0.0,-9999.0
19800212,0.9,-9999.0
19800213,1.3,-4.4
19800214,0.0,-8.4
19800215,0.0,-9999.0
19800216,0.0,-10.4
19800217,0.0,-7.6
19800218,0.7,-5.2
19800219,0.2,-5.5
19800220,0.0,-9999.0
19800221,0.0,-4.6
19800222,0.0,-9999.0
19800223,0.0,-6.0
19800224,0.0,-9999.0
19800225,0.0,-9999.0
19800226,0.9,-7.2
19800227,4.7,-8.5
19800228,3.8,-9.2
19800229,1.9,-9999.0
19800301,1.2,-7.0
19800302,0.0,-9999.0
19800303,0.8,-9999.0
19800304,0.0,-9999.0
19800305,0.7,-8.0
19800306,0.0,-11.8
19800307,0.0,-4.2
19800308,0.4,-0.3
19800309,0.0,-1.0
19800310,8.8,-9999.0
19800311,0.2,-1.8
19800312,0.0,-9999.0
19800313,0.0,-4.0
19800314,0.4,-6.0
19800315,0.0,-4.3
19800316,0.0,-3.3
19800317,0.0,-3.4
19800318,0.0,-9999.0
19800319,2.5,-3.5
19800320,2.8,-7.0
19800321,6.0,-4.5
19800322,1.6,-4.0
19800323,0.3,-9999.0
19800324,1.9,-2.2
19800325,0.2,-0.5
19800326,0.0,0.6
19800327,0.0,-2.5
19800328,0.0,0.0
19800329,0.0,3.8
19800330,6.5,-9999.0
19800331,5.6,2.0
19800401,0.0,2.0
19800402,0.0,-9999.0
19800403,7.5,1.8
19800404,9.4,2.0
19800405,10.9,0.5
19800406,2.1,-9999.0
19800407,7.8,1.4
19800408,1.3,0.3
19800409,0.3,2.8
19800410,1.6,2.5
19800411,5.2,0.2
19800412,4.2,-0.3
19800413,0.8,2.3
19800414,0.0,6.0
19800415,0.0,-9999.0
19800416,0.0,-9999.0
19800417,0.0,-9999.0
19800418,0.0,6.2
19800419,1.0,5.4
19800420,6.2,2.5
19800421,1.0,-9999.0
19800422,14.5,4.0
19800423,12.8,3.5
19800424,3.7,-9999.0
19800425,0.0,1.2
19800426,0.0,2.0
19800427,0.0,4.0
19800428,0.0,5.5
19800429,0.0,7.3
19800430,1.7,4.4
19800501,0.3,9.5
19800502,0.0,-9999.0
19800503,5.7,5.6
19800504,2.5,4.0
19800505,1.2,6.6
19800506,18.6,5.8
19800507,6.2,8.0
19800508,0.5,6.0
19800509,4.2,8.2
19800510,10.6,10.2
19800511,2.9,-9999.0
19800512,0.0,4.5
19800513,0.0,2.4
19800514,4.3,0.4
19800515,1.5,2.4
19800516,3.8,4.2
19800517,3.2,5.3
19800518,0.0,7.5
