DATE,PRCP,TAVG
19800101,4.1,5.4
19800102,0.0,1.1
19800103,22.3,2.0
19800104,0.0,-0.5
19800105,0.0,-2.3
19800106,0.0,-4.0
19800107,0.0,-0.1
19800108,4.9,-1.2
19800109,10.6,-4.5
19800110,2.1,-5.6
19800111,0.5,-6.4
19800112,0.0,-7.8
19800113,0.0,-10.3
19800114,0.0,-11.1
19800115,0.0,-6.9
19800116,0.0,0.4
19800117,0.0,-3.5
19800118,0.0,-8.0
19800119,0.0,-2.6
19800120,0.0,0.5
19800121,0.0,-0.9
19800122,0.0,-4.0
19800123,0.0,-2.2
19800124,0.0,1.6
19800125,1.2,1.3
19800126,3.4,0.2
19800127,0.0,-1.3
19800128,0.0,-7.0
19800129,0.0,-6.7
19800130,0.0,-7.4
19800131,0.0,1.8
19800201,0.0,5.2
19800202,0.3,3.2
19800203,0.0,-0.5
19800204,0.0,1.2
19800205,0.0,1.5
19800206,0.0,0.8
19800207,0.0,-0.2
19800208,0.0,1.6
19800209,0.0,2.3
19800210,0.0,0.5
19800211,0.0,0.7
19800212,1.1,1.9
19800213,0.0,-1.0
19800214,0.0,-4.9
19800215,0.4,-2.9
19800216,0.0,-1.9
19800217,0.0,-2.8
19800218,0.0,-3.6
19800219,0.0,-4.3
19800220,0.0,-3.8
19800221,0.0,-3.8
19800222,0.0,-1.3
19800223,0.0,-0.1
19800224,0.0,0.2
19800225,0.0,-2.0
19800226,0.4,-2.6
19800227,0.2,-2.5
19800228,0.9,-4.0
19800229,0.2,-3.6
19800301,0.0,-3.2
19800302,0.0,-0.3
19800303,0.0,4.2
19800304,0.2,0.2
19800305,0.0,-0.8
19800306,0.0,-0.7
19800307,1.2,1.4
19800308,2.7,3.9
19800309,2.9,5.1
19800310,0.0,4.5
19800311,0.0,1.3
19800312,0.2,0.0
19800313,2.6,-3.5
19800314,0.2,-2.2
19800315,0.9,-0.8
19800316,0.0,-0.6
19800317,0.0,0.4
19800318,0.0,-0.5
19800319,0.0,0.7
19800320,0.0,1.4
19800321,0.0,5.5
19800322,10.3,4.2
19800323,6.9,1.9
19800324,2.7,2.8
19800325,2.0,2.0
19800326,0.0,3.3
19800327,0.5,2.7
19800328,0.0,3.2
19800329,0.0,4.5
19800330,0.0,7.0
19800331,2.1,6.7
19800401,0.0,5.5
19800402,0.0,8.1
19800403,0.0,6.7
19800404,0.0,7.3
19800405,16.0,6.8
19800406,1.7,7.2
19800407,13.5,5.5
19800408,4.9,4.5
19800409,1.0,7.7
19800410,0.0,7.2
19800411,0.0,4.9
19800412,0.0,6.4
19800413,4.6,5.6
19800414,0.4,8.4
19800415,0.3,9.1
19800416,0.0,8.0
19800417,0.0,11.0
19800418,0.0,14.2
19800419,2.5,16.9
19800420,0.0,15.3
19800421,0.0,13.0
19800422,0.0,13.8
19800423,3.6,11.5
19800424,0.0,11.3
19800425,0.0,11.1
19800426,0.0,10.8
19800427,0.0,11.2
19800428,0.0,13.4
19800429,0.0,12.6
19800430,5.7,13.0
19800501,0.0,14.5
19800502,0.0,12.6
19800503,0.4,14.0
19800504,0.0,11.0
19800505,0.0,15.8
19800506,0.0,16.1
19800507,2.0,15.4
19800508,0.3,16.0
19800509,0.0,17.5
19800510,0.0,18.5
19800511,2.3,16.0
19800512,0.9,13.5
19800513,0.0,9.8
19800514,5.1,7.7
19800515,2.0,9.5
19800516,0.0,11.9
19800517,3.3,12.9
19800518,0.0,14.0
19800519,0.0,16.0
19800520,1.2,14.8
19800521,18.7,12.8
19800522,2.8,12.5
19800523,0.3,12.0
19800524,0.3,12.4
19800525,15.3,13.0
19800526,6.9,14.9
19800527,0.0,16.0
19800528,0.0,16.8
19800529,0.0,17.3
19800530,0.0,17.0
19800531,3.2,19.5
19800601,0.0,19.0
19800602,0.0,17.3
19800603,9.1,15.2
19800604,4.4,14.0
19800605,4.0,15.1
19800606,2.1,15.9
19800607,0.0,16.7
19800608,1.0,16.8
19800609,0.0,18.0
19800610,0.0,19.3
19800611,1.2,21.1
19800612,0.0,21.6
19800613,0.0,22.1
19800614,2.2,20.0
19800615,0.0,17.5
19800616,10.3,18.1
19800617,8.1,15.8
19800618,0.7,17.3
19800619,0.0,18.7
19800620,0.0,18.7
19800621,0.0,19.7
19800622,0.0,21.2
19800623,0.0,21.7
19800624,0.0,21.6
19800625,0.0,22.2
19800626,3.2,24.0
19800627,0.0,23.3
19800628,36.8,18.3
19800629,0.0,18.6
19800630,0.0,20.7
19800701,5.0,18.4
19800702,0.0,19.2
19800703,16.7,19.5
19800704,0.6,17.9
19800705,0.0,19.5
19800706,0.0,20.0
19800707,0.0,21.8
19800708,0.0,21.6
19800709,0.0,22.5
19800710,0.0,23.1
19800711,0.0,24.1
19800712,5.3,23.6
19800713,0.0,20.9
19800714,0.0,21.8
19800715,0.0,21.6
19800716,0.0,22.9
19800717,0.0,23.1
19800718,0.0,22.7
19800719,0.0,22.1
19800720,0.0,21.9
19800721,0.0,23.6
19800722,0.0,23.1
19800723,0.0,19.0
19800724,0.8,17.8
19800725,0.0,19.9
19800726,1.3,21.6
19800727,20.1,21.8
19800728,0.0,22.5
19800729,0.0,21.1
19800730,0.0,20.9
19800731,0.0,21.0
19800801,0.3,22.5
19800802,0.0,22.1
19800803,0.0,22.2
19800804,0.0,23.1
19800805,0.0,24.2
19800806,0.0,25.4
19800807,0.0,24.9
19800808,0.0,23.6
19800809,0.0,25.2
19800810,0.0,23.1
19800811,0.0,20.2
19800812,0.0,19.0
19800813,0.0,20.8
19800814,15.6,19.4
19800815,0.3,18.0
19800816,0.0,18.9
19800817,0.0,20.3
19800818,0.1,18.0
19800819,0.0,17.1
19800820,0.0,17.6
19800821,0.0,18.7
19800822,0.0,21.6
19800823,0.0,20.0
19800824,0.1,17.5
19800825,1.8,17.2
19800826,0.0,14.9
19800827,0.0,17.1
19800828,0.0,17.1
19800829,0.0,17.5
19800830,0.0,17.5
19800831,0.0,18.4
19800901,0.3,21.3
19800902,11.7,17.2
19800903,0.0,15.3
19800904,0.0,14.7
19800905,0.0,15.7
19800906,0.0,16.7
19800907,0.0,17.0
19800908,0.0,18.1
19800909,0.0,18.7
19800910,0.0,20.1
19800911,2.5,18.4
19800912,1.0,17.4
19800913,0.0,16.1
19800914,0.0,18.1
19800915,17.9,16.9
19800916,1.0,14.1
19800917,0.0,14.7
19800918,0.0,15.3
19800919,0.0,15.3
19800920,0.0,15.0
19800921,0.0,14.2
19800922,0.0,14.8
19800923,0.0,15.8
19800924,0.0,13.3
19800925,0.0,15.1
