DATE,PRCP,TAVG
20000101,13.0,-0.6
20000102,18.0,-4.3
20000103,-9999.0,-4.5
20000104,-9999.0,-3.4
20000105,-9999.0,-5.2
20000106,-9999.0,-1.5
20000107,5.0,0.0
20000108,-9999.0,0.8
20000109,-9999.0,-0.8
20000110,-9999.0,-1.3
20000111,-9999.0,-2.4
20000112,-9999.0,-2.3
20000113,-9999.0,-2.5
20000114,0.2,2.6
20000115,0.8,0.7
20000116,-9999.0,-2.2
20000117,-9999.0,-1.7
20000118,1.0,-0.2
20000119,1.0,-0.4
20000120,-9999.0,-4.2
20000121,-9999.0,-1.7
20000122,0.8,-5.4
20000123,-9999.0,-2.5
20000124,8.0,-0.6
20000125,14.0,-10.0
20000126,-9999.0,-7.6
20000127,-9999.0,-1.9
20000128,0.0,0.8
20000129,-9999.0,-1.7
20000130,-9999.0,1.9
20000131,0.0,3.5
20000201,0.0,4.3
20000202,-9999.0,4.8
20000203,-9999.0,3.6
20000204,0.1,1.2
20000205,-9999.0,0.5
20000206,0.4,3.7
20000207,-9999.0,6.5
20000208,-9999.0,7.1
20000216,-9999.0,1.1
20000218,-9999.0,6.1
20000219,6.0,1.3
20000220,6.0,2.7
20000221,4.0,1.7
20000222,0.4,-0.8
20000223,-9999.0,-1.3
20000224,-9999.0,-0.6
20000225,-9999.0,1.4
20000226,3.0,2.4
20000227,5.0,2.5
20000228,0.4,0.7
20000229,-9999.0,2.0
20000301,-9999.0,3.7
20000302,-9999.0,5.1
20000303,-9999.0,5.1
20000304,0.5,5.5
20000305,-9999.0,5.6
20000306,3.0,0.9
20000307,-9999.0,3.1
20000308,-9999.0,8.6
20000309,-9999.0,11.5
20000310,2.0,6.4
20000311,0.0,3.8
20000312,-9999.0,5.2
20000313,0.0,2.3
20000314,-9999.0,4.0
20000315,-9999.0,5.8
20000316,0.0,3.7
20000317,2.0,2.1
20000318,2.0,2.6
20000319,-9999.0,2.6
20000320,-9999.0,2.8
20000321,-9999.0,3.1
20000322,-9999.0,3.1
20000323,-9999.0,6.5
20000324,-9999.0,9.5
20000325,-9999.0,6.2
20000326,-9999.0,7.8
20000327,0.4,8.8
20000328,-9999.0,14.2
20000329,-9999.0,8.3
20000330,-9999.0,7.5
20000331,-9999.0,9.2
20000401,0.0,10.1
20000402,2.0,10.9
20000403,2.0,11.3
20000404,-9999.0,11.1
20000405,-9999.0,13.4
20000406,-9999.0,14.5
20000407,-9999.0,5.5
20000408,-9999.0,7.3
20000409,-9999.0,7.0
20000410,-9999.0,7.5
20000411,-9999.0,8.8
20000412,-9999.0,9.7
20000413,-9999.0,10.3
20000414,-9999.0,12.8
20000415,-9999.0,13.4
20000416,-9999.0,13.1
20000417,-9999.0,13.4
20000418,-9999.0,15.0
20000419,-9999.0,15.3
20000420,1.0,15.1
20000421,9.0,16.1
20000422,0.7,14.7
20000423,5.0,14.3
20000424,2.0,13.0
20000425,-9999.0,13.2
20000426,-9999.0,14.6
20000427,-9999.0,16.3
20000428,-9999.0,19.7
20000429,-9999.0,19.3
20000430,-9999.0,18.9
20000501,-9999.0,20.9
20000502,-9999.0,13.1
20000503,0.5,11.0
20000504,-9999.0,13.0
20000505,-9999.0,13.7
20000506,-9999.0,16.3
20000507,-9999.0,18.9
20000508,-9999.0,13.9
20000509,-9999.0,16.0
20000510,-9999.0,18.7
20000511,-9999.0,21.1
20000512,-9999.0,21.7
20000513,0.0,15.1
20000514,-9999.0,16.6
20000515,-9999.0,18.8
20000516,-9999.0,20.5
20000517,-9999.0,18.8
20000518,-9999.0,17.4
20000519,-9999.0,17.7
20000520,-9999.0,19.0
20000521,0.3,20.3
20000522,0.0,18.8
20000523,0.0,19.0
20000524,9.0,17.5
20000525,-9999.0,19.8
20000526,-9999.0,21.4
20000527,-9999.0,21.9
20000528,-9999.0,22.6
20000529,-9999.0,22.3
20000530,-9999.0,22.1
20000531,-9999.0,19.7
20000601,-9999.0,19.0
20000602,0.3,18.4
20000603,0.4,20.4
20000604,-9999.0,22.5
20000605,-9999.0,24.0
20000606,-9999.0,24.9
20000607,-9999.0,25.7
20000608,-9999.0,22.7
20000609,-9999.0,20.1
20000610,-9999.0,21.2
20000611,-9999.0,21.4
20000612,-9999.0,21.9
20000613,-9999.0,24.1
20000614,-9999.0,23.6
20000615,-9999.0,23.4
20000616,-9999.0,23.4
20000617,3.0,17.9
20000618,-9999.0,16.0
20000619,0.5,15.9
20000620,-9999.0,17.3
20000621,-9999.0,19.4
20000622,-9999.0,21.7
20000623,-9999.0,21.2
20000624,-9999.0,22.2
20000625,0.1,24.9
20000626,-9999.0,22.6
20000627,6.0,17.8
20000628,26.0,18.4
20000629,-9999.0,19.5
20000630,-9999.0,19.3
20000701,-9999.0,22.2
20000702,-9999.0,24.4
20000703,-9999.0,22.8
20000705,-9999.0,28.4
20000706,-9999.0,26.2
20000707,-9999.0,23.8
20000708,-9999.0,23.5
20000709,0.4,23.9
20000710,1.0,21.9
20000711,-9999.0,22.0
20000712,-9999.0,22.4
20000713,-9999.0,23.4
20000714,-9999.0,20.5
20000715,-9999.0,20.9
20000716,-9999.0,21.9
20000717,-9999.0,21.4
20000718,2.0,22.7
20000719,-9999.0,20.1
20000720,0.4,20.7
20000721,-9999.0,19.7
20000722,-9999.0,20.5
20000723,0.4,22.6
20000724,0.0,23.6
20000725,-9999.0,26.9
20000726,-9999.0,26.7
20000727,-9999.0,26.7
20000728,-9999.0,24.7
20000729,-9999.0,23.5
20000730,0.1,25.0
20000731,-9999.0,22.3
20000801,0.1,20.6
20000802,-9999.0,22.3
20000803,-9999.0,23.3
20000804,-9999.0,23.3
20000805,-9999.0,23.9
20000806,-9999.0,26.0
20000807,-9999.0,26.1
20000808,-9999.0,25.6
20000809,-9999.0,23.5
20000810,-9999.0,22.4
20000811,-9999.0,23.1
20000812,-9999.0,23.9
20000813,-9999.0,25.3
20000814,-9999.0,25.8
20000815,-9999.0,24.7
20000816,-9999.0,24.8
20000817,-9999.0,23.0
20000818,-9999.0,25.7
20000819,-9999.0,25.8
20000820,-9999.0,27.0
20000821,-9999.0,27.8
20000822,-9999.0,27.8
20000823,-9999.0,26.7
20000824,-9999.0,21.8
20000825,2.0,21.6
20000826,0.4,18.5
20000827,0.9,17.4
20000828,0.7,20.2
20000829,-9999.0,18.9
20000830,-9999.0,18.8
20000831,-9999.0,20.0
20000901,-9999.0,22.3
20000902,0.6,20.8
20000903,-9999.0,22.7
20000904,-9999.0,22.7
20000905,-9999.0,19.3
20000906,19.0,15.8
20000907,13.0,15.3
20000908,-9999.0,16.9
20000909,-9999.0,18.3
20000910,-9999.0,18.5
20000911,-9999.0,18.6
20000912,-9999.0,19.0
20000913,-9999.0,19.5
20000914,-9999.0,20.6
20000915,-9999.0,20.1
20000916,0.2,15.3
20000917,-9999.0,17.2
20000918,-9999.0,20.6
20000919,1.0,18.7
20000921,-9999.0,17.7
20000922,3.0,14.4
20000923,0.8,11.7
20000924,3.0,8.7
20000925,2.0,10.7
20000926,-9999.0,11.6
20000927,-9999.0,13.9
20000928,-9999.0,12.1
20000929,-9999.0,12.1
20000930,-9999.0,13.8
20001001,-9999.0,14.8
20001002,-9999.0,14.2
20001003,-9999.0,15.7
20001004,-9999.0,16.1
20001005,-9999.0,14.8
20001006,-9999.0,14.8
20001007,-9999.0,15.0
20001008,-9999.0,15.6
20001009,-9999.0,10.8
20001010,-9999.0,10.0
20001011,1.0,11.5
20001012,-9999.0,15.8
20001013,-9999.0,14.4
20001014,-9999.0,12.4
20001015,-9999.0,12.3
20001016,-9999.0,12.4
20001017,-9999.0,13.1
20001018,-9999.0,10.8
20001019,-9999.0,10.0
20001020,-9999.0,10.0
20001021,-9999.0,8.7
20001022,-9999.0,6.0
20001023,-9999.0,8.4
20001024,-9999.0,7.2
20001025,-9999.0,10.0
20001026,-9999.0,10.0
20001027,-9999.0,13.3
20001028,-9999.0,9.1
20001029,5.0,8.7
20001030,-9999.0,11.6
20001031,-9999.0,11.9
20001101,-9999.0,12.6
20001102,-9999.0,13.5
20001103,2.0,13.5
20001104,-9999.0,12.6
20001105,0.0,13.7
20001106,0.5,13.5
20001107,0.3,13.5
20001108,0.0,15.7
20001109,-9999.0,14.0
20001110,-9999.0,13.1
20001111,-9999.0,12.4
20001112,-9999.0,7.6
20001113,-9999.0,9.6
20001114,-9999.0,11.9
20001115,-9999.0,11.9
20001116,-9999.0,12.5
20001117,-9999.0,11.8
20001118,-9999.0,12.2
20001119,-9999.0,12.0
20001120,-9999.0,12.8
20001121,-9999.0,12.0
20001122,0.1,9.1
20001123,-9999.0,8.8
20001124,-9999.0,7.9
20001127,-9999.0,11.5
20001128,-9999.0,2.2
20001129,-9999.0,1.1
20001130,-9999.0,0.1
20001201,-9999.0,2.2
20001202,0.0,2.4
20001203,-9999.0,4.6
20001204,-9999.0,7.4
20001205,-9999.0,4.6
20001206,-9999.0,5.4
20001207,-9999.0,5.7
20001208,0.5,4.4
20001209,-9999.0,6.1
20001210,-9999.0,7.0
20001211,0.9,5.7
20001212,0.0,6.6
20001213,-9999.0,7.6
20001214,-9999.0,6.9
20001215,3.0,7.1
20001216,-9999.0,8.5
20001217,2.0,5.6
20001218,-9999.0,4.2
20001219,0.1,2.8
20001220,1.0,-0.4
20001221,-9999.0,-3.1
20001222,0.0,-3.5
20001223,-9999.0,-3.3
20001224,-9999.0,-2.2
20001225,-9999.0,1.5
20001226,-9999.0,6.0
20001227,-9999.0,10.9
20010101,-9999.0,2.1
20010102,3.0,0.7
20010103,-9999.0,5.5
20010104,-9999.0,2.2
20010105,0.0,1.9
20010106,-9999.0,7.8
20010107,-9999.0,5.1
20010108,-9999.0,7.9
20010109,-9999.0,11.2
20010110,0.1,5.3
20010111,0.4,4.9
20010112,1.0,2.1
20010113,-9999.0,0.3
20010114,-9999.0,-1.2
20010115,-9999.0,-2.5
20010116,-9999.0,-0.1
20010117,-9999.0,0.3
20010118,-9999.0,-0.2
20010119,-9999.0,-1.0
